master_id,year,volume,author,subject,title,year_start,year_end,notes,In PDF?
MASTER_00398,1918,NS 49,"Harding, H. L.",social customs,On a method of divination practised at Foochow,1918,1918,,
MASTER_00399,1918,NS 49,"Ottewill, H. A.",social customs,"Note on the Tu Ti'en Hui held at Chinkiang on the 31st May, 1917",1918,1918,"CHINKIANG, Zhenjiang, 镇江市",
MASTER_00400,1918,NS 49,Hutson J.,religion,"Domestic altar, The",1918,1918,,
MASTER_00401,1918,NS 49,"Ferguson, J. C.",painting,Ku K'ai - chih's scroll in the British Museum *,1918,1918,"KU K'AI-CHIH, Gu Kaizhi, 顾恺之",
MASTER_00402,1918,NS 49,"Bruce, J. P.",philosophy,"Theistic import of the Sung philosophy, The",1918,1918,,
MASTER_00403,1918,NS 49,"Morgan, E.",religion,"Case of ritualism, A",1918,1918,,
MASTER_00404,1918,NS 49,"Kliene, C.",miscellaneous,Chinese puzzledom,1918,1918,,
MASTER_00405,1919,NS 50,"Edmunds, C. K.",travel and general descriptions,Thirty thousand miles in China *,1919,1919,,
MASTER_00406,1919,NS 50,"Williams, C. A. S.",literature and language,Chinese metaphorical zoology,1919,1919,,
MASTER_00407,1919,NS 50,"Lobingier, C. S.",ethnology and anthropology,"Early Malays and their neighbours, The",1919,1919,,
MASTER_00408,1919,NS 50,"Skvortzow, B. W.","agriculture, botany and zoology","Notes on the agriculture, botany and the zoology of China, Sections i - xxxii *",1919,1919,,
MASTER_00409,1919,NS 50,"Kliene, C.",literature and language,"Land of Peach Bloom, The",1919,1919,,
MASTER_00410,1919,NS 50,"Ferguson, J. C.",literature and language,Recent books by a Chinese scholar,1919,1919,,
MASTER_00411,1919,NS 50,Yan Taz Chiu,"agriculture, industry, trade and chemistry",Chemical industry in Kwangtung Province,1919,1919,"KWANG-TUNG PROVINCE. Guangdong Province, 广东省",
MASTER_00412,1919,NS 50,"Kellogg, C. R.",zoology,"List of the birds in the Museum of the Anglo - Chinese College of Foochow, China",1919,1919,,
MASTER_00413,1919,NS 50,,travel and general descriptions,Formosa,1919,1919,,
MASTER_00414,1919,NS 50,"Moore, A.",zoology,"Attractions of entomology, The",1919,1919,,
MASTER_00415,1919,NS 50,"Gee, N. G.",botany and zoology,"Beginning of the study of the flora and fauna of Soochow and vicinity, A",1919,1919,,
MASTER_00416,1919,NS 50,"King, G. E.",travel and general descriptions,Notes on Kansu,1919,1919,"KANSU, Gansu Province, 甘肃省",
MASTER_00417,1919,NS 50,"Howell, E. B.",arts and archaeology,"Exhibition of pictures by a Russian artist, An *",1919,1919,,
MASTER_00418,1920,NS 51,"Dodd, W. C.","ethnology, anthropology and history","Relation of Chinese and Siamese, The *",1920,1920,,
MASTER_00419,1920,NS 51,"Stanley, A.",arts and archaeology,Greek and Chinese art ideals,1920,1920,,
MASTER_00420,1920,NS 51,"Morgan, E.",philosophy,"Destiny, fate",1920,1920,,
MASTER_00421,1920,NS 51,"Chatley, H.",geology,China's petrified sun - rays,1920,1920,,
MASTER_00422,1920,NS 51,Hutson J.,arts and archaeology,Chinese ideas of antiques,1920,1920,,
MASTER_00423,1920,NS 51,"Lanning, G.",history,Names and nicknames of the Shanghai settlements,1920,1920,,
MASTER_00424,1920,NS 51,"Ayscough, F. W.",literature and language,Chinese poetry and its connotations *,1920,1920,,
MASTER_00425,1920,NS 51,"Skvortzow, B. W.","agriculture, botany and zoology","Notes on the agriculture, botany and the zoology of China, Sections xxxiii- xxxviii *",1920,1920,,
MASTER_00426,1920,NS 51,"Mason, I.",Mohammedanism,"Chinese life of Mohammed, A",1920,1920,,
MASTER_00427,1921,NS 52,"Morgan, E.",Taoism,"Operations and manifestations of the Tao exemplified in history, The",1921,1921,,
MASTER_00428,1921,NS 52,"Moninger, M. M.",ethnology and anthropology,"Hainanese Miao, The *",1921,1921,"HAINANESE MIAO, 海南省苗人",
MASTER_00429,1921,NS 52,"Ayscough, F. W.","travel, government, political economy and political theory",Notes on the symbolism of the Purple Forbidden City *,1921,1921,,
MASTER_00430,1921,NS 52,"Skvortzow, B. W.","agriculture, botany and zoology","Notes on the agriculture, botany and the zoology of China, Sections xxxix - xlvi *",1921,1921,,
MASTER_00431,1921,NS 52,"Wilkinson, H. P.","ethnology, anthropology and social customs",Exogamy in China,1921,1921,,
MASTER_00432,1921,NS 52,"Morse, H. B.",geography,"Lampacao, a mystery of the Far East",1921,1921,"Lampacao, Lampacau, 	浪白澳",
MASTER_00433,1921,NS 52,"Kliene, C.",literature and language,"Marriage maker, The",1921,1921,,
MASTER_00434,1921,NS 52,"Kemp, E. G.","travel, ethnology and anthropology","Highways and byways of Kweichow, The *",1921,1921,"KWEICHOW, Guizhou, 贵州省",
MASTER_00435,1921,NS 52,"Werner, E. T. C.",Christianity,"Christ in the "" Li Tai Shen Hsien T'ung Chien """,1921,1921,"LI TAI SHEN HSIEN T’UNG CHIEN, Li Dai Shen Xian Tong Jian, 历代神仙通鉴",
MASTER_00436,1921,NS 52,"Fletcher, W. J. B.",literature and language,"Trip to Hua Kang, A",1921,1921,,
MASTER_00437,1921,NS 52,"Fletcher, W. J. B.",literature and language,"Song of a skirt, The",1921,1921,,
MASTER_00438,1922,NS 53,"Sowerby, A. de C.",zoology,"Natural history of China, The",1922,1922,,
