master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850,Natural Sciences,Agriculture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_03.txt,analysis_text,3000,799,6.992974544376519e-4,0.09554102417069175,0.0010220263447615276,0.07385058452280058,0.016534969965515945,7.77976963480291e-4,2.869700163095666e-4,1.997069514137034e-4,3.3947240465770064e-7,0.1421880512684515,0.01803090513602186,0.06754544346008608,2.959648740515257e-4,0.007317024851937341,3.455009997318838e-4,1.9927157023066512e-4,0.0012199111126264693,0.08436315051707613,0.15482028528938233,0.3146267000654513,0.006167672081938516,0.006371022289868969,9.168650128650137e-4,0.004495790801171876,0.0021835448072929304
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850,Anthropology and Social Customs,Mythology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_04.txt,analysis_text,3042,904,1.3482102841223055e-5,5.158150803057301e-6,3.7261344818049535e-5,1.3971169606867044e-4,0.0015530395426417056,7.31548740116122e-4,5.240425729297101e-5,0.19570994034959957,6.729611839038998e-8,1.8602839228247278e-4,0.0010808644759511914,0.002902706721630235,0.0581005091565109,0.5374138427529594,0.002251672703801954,2.3620730813055556e-6,0.19656775016267777,0.0018902023755954964,5.824262805640477e-6,4.936509981196234e-5,8.519206329595811e-7,1.0827540256931018e-4,5.222848063977277e-5,1.1937928519000541e-4,0.001025523253559305
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850,History and Chronology,"History, Modern (20th century)",en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_05.txt,analysis_text,19428,5230,2.9261851461609524e-8,2.3116299300756175e-7,7.201903873615986e-5,1.541970428953385e-5,1.0904866075899585e-4,2.667848851395954e-6,9.057271304740011e-4,3.3237953808909415e-6,1.9630156667447888e-11,1.5272651555393608e-4,0.013709613703439967,2.681811127521712e-5,5.190485909484328e-4,0.011053170211609935,2.4182688503457663e-4,3.832197863492448e-11,9.021113677314876e-6,0.001986494227423297,1.1703983255767603e-4,8.244278455715216e-6,3.1417587240494573e-7,3.4791854284965373e-08,4.556686706988817e-5,0.9709096983326282,1.1191570131230635e-4
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",NA,1859,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_06.txt,analysis_text,753,205,0.02084192928932379,6.341390764962704e-4,0.6328180054356869,1.6742070188653014e-4,1.5800132832710453e-4,7.652031050392442e-5,2.643678035324026e-4,3.643958159385979e-5,2.0439425291839535e-7,0.0039239643656502725,2.8605768812044294e-4,2.755545706353611e-4,2.682829412519804e-4,4.0963338300215445e-5,4.730343769609075e-4,1.7569211927469146e-6,6.694250778796337e-4,0.10914502895075891,1.6628986118912454e-4,0.00869728559218852,5.036586184140531e-4,0.006160348789266897,0.0028425518588240458,0.21148168486235763,6.708426540498717e-5
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860,Religion and Philosophy,Confucianism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_07.txt,analysis_text,9693,2853,2.4606065680501658e-5,6.588071012231434e-6,2.4830607726618965e-4,2.2587176569694635e-4,0.0028820530292585547,0.020876240032172578,6.803526942742306e-4,0.01771457659509521,2.95348871780747e-9,0.006241752316099135,4.400644813994855e-4,6.312341397142179e-4,0.3809411020092842,0.36007570781623527,0.055265610377621656,6.770366376291414e-8,0.15121426366870017,9.315547395628319e-4,1.0911803844378023e-5,4.3589971528239886e-4,1.2268545990826423e-6,9.5045685296437e-5,1.4295993844387297e-4,7.553616531316153e-4,1.5863981317581572e-4
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_08.txt,analysis_text,34485,9500,0.007219724716140797,0.0022442234118484616,0.0103258931068351,0.018160269886715628,0.16920040064850142,3.7088212447055236e-4,1.589483601119405e-4,0.029727696051629424,7.461229179984537e-8,0.11883569296447025,3.9272951816421726e-5,1.8422551371844362e-4,0.4537891883006363,0.0025396500208794194,0.007585466077632975,3.817800856362324e-5,0.02651580521319909,0.019449816731530668,1.86038204001443e-5,0.12921563198099847,1.8912481359317219e-6,5.898215495693228e-4,3.9165906010490433e-4,0.003376820587709023,2.0163052089202875e-5
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_09.txt,analysis_text,1338,394,5.5776265889999e-4,0.0011843368084349221,0.0458811329755537,0.0019585568952367417,2.690179995777748e-4,9.291190606396121e-5,1.0429429943634413e-4,4.27496836663669e-6,8.010062772677694e-9,0.02076633970318064,4.43197839966283e-4,4.980300562007899e-4,1.1372982489703449e-4,5.45385843368587e-5,4.480794951347835e-4,2.2542998490381184e-7,1.5394134699107823e-4,0.4328766666293012,0.03072834078218245,0.24427243785581784,3.368816289209175e-4,7.114983254891819e-4,0.0014828401437575482,0.21698902505560963,7.193077659620891e-5
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1860_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1860_11.txt,analysis_text,420,106,0.0032636176143185,7.583354253303776e-4,0.30466250998963784,0.002203035345587599,4.790063919708592e-4,0.00020035702247653265,2.1763690954852062e-4,4.419996730198393e-5,3.561450132209333e-8,0.08356484589265735,0.0011916877516312415,4.7158028858899676e-4,3.558553019168343e-4,1.908279435485159e-4,5.019557205059534e-4,8.877162583338704e-7,3.5020619465984005e-4,0.26796890674389195,5.680947441996317e-4,0.09252562329697261,4.4411452942141834e-4,0.0010545883419579344,0.0037370300550393894,0.23513573577905222,1.0932541902382925e-4
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_01.txt,analysis_text,13623,3942,4.698096153984111e-5,7.18919941513014e-5,5.8814223347563923e-05,0.00107494024072817,0.0372171995956122,0.10183612211917475,1.0100502391055412e-4,4.109222475455884e-4,4.20584297447501e-7,0.5052840386751761,2.2295046290284965e-4,0.013223305597933803,0.0843627107538121,0.24886271019681194,3.8331967937455446e-4,3.685867453891434e-6,7.24151110305606e-4,8.391169942564077e-4,3.4834104829509126e-5,0.0010837530526005585,1.4078220211435476e-6,5.173775414574494e-5,2.007506301301026e-5,0.004048021236990326,3.5884638064596666e-5
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",NA,1866,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1866_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1866_02.txt,analysis_text,7485,2069,8.267221991168375e-5,1.0388797199014055e-4,0.0034019546977213837,0.0481463974563106,0.02946780791068357,0.038712187761285245,0.07374834288856522,0.002235228766929743,3.0645184807804404e-5,0.41586387493942856,0.003196283394120005,0.005215811918976306,0.020055369047923682,0.021052644232176225,0.006697590429197831,4.726355610740577e-6,0.019283359846328754,0.12798010293113118,0.002184394874770205,0.058958589727518725,4.7767919966403196e-6,8.534841268567976e-6,8.353593014001515e-4,0.12251351022848415,2.1594628146254195e-4
