master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
MASTER_00249,XXIV_1890_05.txt,Prehistoric China,"Faber, E.",1889,1880,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_05.txt,analysis_text,29274,8049,8.851777644509639e-5,0.002248695023873951,2.7315482321899473e-5,0.005232134375581858,0.03299835252773432,0.738181171491256,6.162730847723251e-4,0.06083895618844306,1.436663202678594e-4,0.0013267974809089802,0.04948749468996266,0.0628217642246963,9.197314814197703e-4,0.0028870091941561814,0.04218212065815982
MASTER_00213,XXIV_1890_06.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_06.txt,analysis_text,4008,1040,2.5945935991524172e-5,1.654160929512906e-5,0.003649484962885855,1.5172673240653842e-4,0.016927261297484945,0.27191771888461347,7.471184199486248e-4,0.6206899643830956,3.408936333948837e-4,9.988408701529124e-4,0.003883275882864323,0.016606559579933372,0.05554302158959109,0.0010071778462854009,0.0074944683720561955
MASTER_00128,XXIV_1890_07.txt,Extracts from the history of Shanghai,"Schmidt, C.",1873,1870,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_07.txt,analysis_text,8514,2315,4.305970650375402e-7,3.146133036397704e-5,0.006925889961398866,2.829249153222201e-4,0.0017110972848941976,0.5610292167972959,0.027314590895624186,0.19149222784005293,0.004976706492965443,9.294686284511575e-4,0.00141826524610305,0.08991756122244808,0.10215024512589567,0.007922931301807233,0.0038969823603123956
MASTER_00250,XXIV_1890_08.txt,Chinese architecture,"Edkins, J.",1889,1880,Arts and Archaeology,Architecture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_08.txt,analysis_text,15648,4511,7.841964250781428e-5,1.6843024726993803e-5,0.0029555926557748176,3.139835565172107e-4,0.03383983891494894,0.11855238269929742,9.856759733093564e-4,0.0820611712362461,3.784754785213858e-4,0.07607383662555818,0.6773590123107711,9.558373833356517e-4,0.003826049965488523,5.238096865764456e-4,0.0020790708464197925
MASTER_00251,XXIV_1890_09.txt,Notes on the Nestorians in China,"Parker, E. H.",1889,1880,Religion and Philosophy,Christianity,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_09.txt,analysis_text,4998,1416,7.300566496859965e-7,3.7783637059444626e-5,5.5754861357091103e-05,0.04271368247103808,4.789978481649876e-4,0.022468390632558642,0.27318203919366224,0.00393793221024623,7.638983645862663e-4,0.002799410393039279,0.42966101605961743,0.12917304416812947,0.06718193709806497,0.02124119901007696,0.006304183995748767
MASTER_00250,XXIV_1890_10.txt,Chinese architecture,"Edkins, J.",1889,1880,Arts and Archaeology,Architecture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXIV_1890_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXIV_1890_10.txt,analysis_text,1560,421,0.009018896105829777,1.2855312464282967e-4,8.999199439113128e-4,7.232362328204604e-4,0.04314540802119047,0.41554495913947354,0.003930799123516537,0.010756097228194293,0.26112666138726065,0.007196496531523913,0.1928415044409532,0.021381545767016005,0.021330462108207555,0.0030237935734681557,0.008951667271991445
MASTER_00257,XXVI_1891_01.txt,The Fish - skin Tartars,"Fraser, E. H.",1891,1890,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVI_1891_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVI_1891_01.txt,analysis_text,19782,4971,1.7181705174280543e-4,3.7212992214586263e-6,1.4764836270018473e-4,8.614208441540735e-5,7.968624060337953e-5,1.287811965997537e-4,1.4745444478999107e-4,3.2733476143953147e-4,0.10494223476066003,0.0010809183601534756,5.391557178651576e-5,8.208536279709457e-5,0.020059287245959442,2.139647267944455e-4,0.8724750085303364
MASTER_00258,XXVI_1891_02.txt,A Comparative table of the ancient lunar asterisms,"Kingsmill, T. W.",1891,1890,Natural Sciences,Astronomy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVI_1891_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVI_1891_02.txt,analysis_text,15612,3860,2.7933247980605002e-5,9.237098119739445e-5,0.041613660018606134,2.212566183640882e-4,9.752734062492351e-4,0.4724407927222206,0.05196602609333518,0.41535062399205397,6.929189759388706e-4,0.004509741895435641,2.7713645158461533e-4,2.866131909907078e-4,4.955477746610317e-4,1.0418463653588335e-4,0.010945919994846265
MASTER_00259,XXVI_1891_03.txt,Wei - ch ' i *,"Volpicelli, Z. H.",1891,1890,Anthropology and Social Customs,Manners and customs,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVI_1891_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVI_1891_03.txt,analysis_text,7212,2081,3.3426182146158665e-5,3.730207915169086e-5,5.481632112166406e-5,6.413279465601592e-6,0.9984217751206124,4.128666448508841e-4,4.5817915292704915e-6,1.8323762299190965e-4,3.464073260156749e-6,4.4547394011662326e-5,1.2143435263327851e-4,8.429887490044556e-5,2.946313442324055e-5,9.146792792200792e-5,4.7090520097982965e-4
MASTER_00260,XXVI_1891_04.txt,Militant spirit of the Buddhist clergy in China,"Groot, J. J. M. de",1891,1890,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVI_1891_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVI_1891_04.txt,analysis_text,4782,1288,2.238613028987062e-8,7.020983978350523e-6,8.679439660609783e-5,0.001760265225826123,4.229141203637369e-4,0.003086251324126546,0.12150744120104823,0.4423834239905137,3.751640237207314e-4,7.591559530627006e-4,0.25639127646548804,0.032921269711004286,0.08241723120404051,0.01250201149731462,0.045379757516775886
MASTER_00261,XXVII_1892_01.txt,"Salt administration of Ssuch'uan, The","Rosthorn, A. von",1892,1890,"Politics, Government, and Law",Government,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVII_1892_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVII_1892_01.txt,analysis_text,10398,3195,4.961895257098111e-13,4.7089946523119536e-5,1.856891882985e-6,0.89353233490637,2.151893567260511e-6,1.5260786334071342e-4,1.269664364531103e-4,4.8249346169978606e-5,4.387479837363105e-5,7.887674208933918e-5,3.8216055112373187e-4,2.7373813152847256e-4,4.339770125968588e-4,0.1047321636911355,1.439517883498818e-4
MASTER_00263,XXVII_1892_02.txt,Early Portuguese commerce and settlements in China *,"Volpicelli, Z. H.",1892,1890,History and Chronology,History,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVII_1892_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVII_1892_02.txt,analysis_text,16740,3956,1.880707360936665e-7,7.439951792574923e-8,0.0075379849792462615,7.987976735750022e-4,4.518690636961663e-5,0.02531003943344222,0.07749394865822556,8.729787342153836e-4,0.0035821441892215076,0.0064503785239512475,2.143757286170664e-4,0.012690240792257902,0.862206530221465,0.0020965479105396877,7.005837786194579e-4
MASTER_00264,XXVII_1892_03.txt,"Coinage of Corea, The *","Gardener, C. T.",1892,1890,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVII_1892_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVII_1892_03.txt,analysis_text,4743,1437,3.333818441585063e-8,2.3682675764408107e-6,0.00561136154805626,5.162950431217806e-4,0.005611385912349953,0.0013530415516587414,0.05294961610002897,4.0580621193137266e-4,3.2039177400793305e-4,4.845924420497351e-4,6.378789456599279e-4,6.33005611498087e-4,0.001470287484108127,0.929959488856839,4.4446912928937505e-5
MASTER_00265,XXVII_1892_04.txt,"Family law of the Chinese, The","Mollendorf, P. G. von",1892,1890,"Politics, Government, and Law",Law,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXVII_1892_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXVII_1892_04.txt,analysis_text,24672,6695,3.785125314179472e-12,0.013809345330982842,2.146075655705085e-5,2.0814432166034184e-4,7.813311422000901e-5,0.0016295431546293937,0.005000449212105843,0.21762889823310935,0.006232773400419233,2.533100592174815e-6,0.005240360120267578,6.046454637998179e-4,0.003923256489118245,0.6619292478144337,0.08369120948431909
INDEX_00282,XXXII_1897_01.txt,"THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.",Thos. W. KINGSMILL,1898,1890,Anthropology and Social Customs,Manners and customs,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXXII_1897_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXXII_1897_01.txt,analysis_text,14571,3681,2.279023819792197e-8,8.647093354245709e-6,0.03173911451197659,4.2241138627567316e-5,0.030849191799358508,0.40743736267012104,0.0585127687716639,0.4688468790779826,3.480573455289801e-4,3.6031458494445115e-4,5.352923216129959e-4,1.9101105980159612e-4,4.913164666739897e-4,3.0316732146838513e-4,3.3461304664707253e-4
INDEX_00283,XXXII_1897_02.txt,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,BYRON BRENAN,1898,1890,"Politics, Government, and Law",Government,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXXII_1897_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXXII_1897_02.txt,analysis_text,11817,3333,1.0130807095234077e-13,1.485011810706088e-5,2.6041573317447244e-6,6.024291424069437e-4,7.222088873537195e-5,9.784539709714932e-5,3.826141217507982e-5,0.0018452792258226692,7.564466393278921e-5,8.084205692458955e-6,3.08599306374209e-4,8.22281799012308e-5,0.07793139910832135,0.794329323350631,0.12459123084336955
INDEX_00284,XXXII_1897_03.txt,ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.,NATALIS RONDOT,1898,1890,Arts and Archaeology,Art,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXXII_1897_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXXII_1897_03.txt,analysis_text,4686,1278,3.029480589689475e-7,1.7910558813036126e-6,9.666587233528499e-6,9.031081185056653e-5,0.0012174367541246051,0.0017320904409412327,6.041981454247829e-5,1.4334274390839053e-4,2.299432117528786e-4,1.6144118657964087e-5,8.852650417738845e-4,0.9948006787086937,9.087556254534687e-5,6.822228469734277e-4,3.9509353061238825e-5
INDEX_00285,XXXII_1897_04.txt,SEALING AND WHALING IN THE NORTHERN PACIFIC.,E. BRASS,1898,1890,Natural Sciences,Agriculture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXXII_1897_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXXII_1897_04.txt,analysis_text,6540,1597,0.03054347231692621,2.2076202895858471e-4,0.06891439231529474,0.0020311722049712474,0.007855724609793039,6.650402481228475e-4,5.0660414362872024e-5,3.38566715392401e-4,0.10581554040898807,0.07639765923242703,4.321026364002745e-5,5.017297913240911e-4,0.14873846676217567,0.010568472030496915,0.5473151306571263
MASTER_00276,XXXIII_1896_01.txt,Inscriptions de l'Orkho,"Parker, E. H.",1896,1890,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\XXXIII_1896_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\XXXIII_1896_01.txt,analysis_text,17016,3776,9.10884322550028e-8,7.316543340339543e-6,1.5860413895698943e-4,1.4881493954216178e-4,7.0726344283716e-5,0.3714701549291316,0.5896192902241129,8.044670375498079e-4,0.03514305805037542,1.5969669626504328e-4,8.021741255257966e-4,8.280321442508125e-4,2.3944407951990155e-4,4.187489947255017e-4,1.293806639870854e-4
