master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
NA,I_1859_07.txt,NA,NA,1859,1850,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_07.txt,analysis_text,933,234,0.0020484636583079554,9.411304881474606e-6,0.6432821500345502,7.252864834662345e-4,3.571674429461067e-4,0.25734172509056635,0.0011074662589089517,0.0023962335172103707,0.04022980412933663,0.0525022920798256
MASTER_00017,I_1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_08.txt,analysis_text,3291,823,0.9954176796011549,6.66033888306678e-4,8.429381764608578e-4,1.1611934678301742e-5,1.0828876014267807e-4,3.1716933144205643e-4,1.6832025481453326e-7,1.688899041983073e-5,2.3359008933140067e-4,0.002385630907808572
MASTER_00012,I_1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850,Natural Sciences,Hydrology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_09.txt,analysis_text,8850,2599,2.1519583879840782e-4,1.6174008067862172e-6,3.9076834082598554e-4,1.8987719740681634e-4,3.119045882087067e-5,2.1550703503924636e-4,1.011106554723913e-5,2.5503057737727376e-5,2.8572019232755013e-5,0.9988916575857842
NA,I_1859_11_record_of_occurences_in_china.txt,NA,NA,1859,1850,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1859_11_record_of_occurences_in_china.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1859_11_record_of_occurences_in_china.txt,analysis_text,4581,1299,1.2666100972391457e-4,8.183795570241953e-7,0.03547776555249076,9.97683630355663e-4,2.6916523225012677e-4,0.8446061657994505,0.0686038594485403,0.0015054014731938003,0.027274239315549578,0.021138240158888304
MASTER_00035,I_1864_01.txt,"Notes on the city of Yedo, the capital of Japan *","Lindau, R.",1864,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_01.txt,analysis_text,5214,1350,5.366313313854751e-4,5.439226768377138e-6,0.11844531599431213,5.858572362075812e-4,3.751041701675817e-4,0.16386699946829067,8.802236138306356e-4,0.002439034390976849,0.0013812776218106585,0.7114841169462501
MASTER_00036,I_1864_02.txt,Notes on some of the physical causes which modify climate,"Henderson, J.",1864,1860,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_02.txt,analysis_text,6219,1622,0.0075593520193791225,1.0515681205310386e-4,0.48913248725538533,0.0023338979505899914,6.059181166207704e-4,0.24229525083252598,2.940460667524321e-4,0.0015737337669639417,0.11801586712934763,0.13808429005038167
MASTER_00037,I_1864_03.txt,"Narrative of an overland trip, through Hunan, from Canton to Hankow","Dickson, W.",1864,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_03.txt,analysis_text,5130,1440,1.6115446566064256e-4,3.333965730410176e-5,0.001954585293628176,0.1336883365872425,5.82945263720792e-4,0.1090414194991398,7.357859026622833e-4,3.1484235098353034e-4,3.5796619793496115e-4,0.7531296247817232
MASTER_00038,I_1864_04.txt,"Overland journey from St. Petersburg to Pekin, The","Wylie, A.",1864,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_04.txt,analysis_text,7005,1798,0.020568123742310013,3.2413321587895105e-4,0.061603823865595715,0.04485003669322331,0.010806227984570814,0.4020600373775048,0.03626558609170113,9.44851998079515e-4,0.010650835729649874,0.4119263433014858
MASTER_00039,I_1864_05.txt,"Medicine and medical practice of the Chinese, The","Henderson, J.",1864,1860,Natural Sciences,Medicine,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_05.txt,analysis_text,17934,4575,0.0353457043622863,0.01809465580343618,0.006653793737112673,5.714078779469452e-4,0.08588203975523655,0.4223031912412814,3.6505587466059003e-4,0.23629389640070053,0.19284059168705897,0.001649663260279575
MASTER_00040,I_1864_06.txt,The Sea-board of Russian Manchuria,"Canny, J. M.",1864,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_06.txt,analysis_text,12840,3446,0.10126713031747223,9.211794596543131e-5,0.10199962288613151,3.7994671201470147e-4,3.4206556503147475e-4,0.42185146030531867,1.873353708079942e-4,5.076559897066194e-4,0.01573815431760235,0.3576345105899491
MASTER_00041,I_1864_07.txt,"Retrospect of events in the north of China, 1861-1864","Jamieson, R. A.",1864,1860,History and Chronology,"History, Modern (20th century)",en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\I_1864_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\I_1864_07.txt,analysis_text,11316,3173,8.562982632295484e-6,1.7518161719680037e-5,1.0141921132533387e-4,0.01851746482712451,0.004962886739299726,0.7589598813992748,0.09805923400641818,0.10144924823319092,8.409531735075743e-4,0.017082831265507067
MASTER_00047,II_1865_01.txt,Notes on the geology of the Great Plain *,Lamprey,1865,1860,Natural Sciences,Geology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_01.txt,analysis_text,8823,2578,0.009649373047423028,7.40166424364328e-5,0.0836079349884322,3.2205029364915837e-4,9.410294836826017e-5,4.95726808703417e-4,2.3062019670981895e-5,6.711361578245139e-5,7.121226743454351e-4,0.9049544969611886
MASTER_00048,II_1865_02.txt,A Sketch of the Geology of Quang -tung Province,"Kingsmill, T. W.",1865,1860,Natural Sciences,Geology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_02.txt,analysis_text,11193,3111,0.004957175712098845,2.244261825215887e-4,0.011163514711124523,4.195645698043136e-4,1.7850823905127183e-4,4.986023624257807e-4,1.518806799098213e-4,2.643088975176625e-4,0.04121627025816974,0.9409257483873765
MASTER_00049,II_1865_03.txt,Birds and beasts of Formosa,"Swinhoe, R.",1865,1860,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_03.txt,analysis_text,7845,1974,0.6065371757146772,0.02991485149022916,0.002152463567500174,7.661246652447096e-4,0.05501617808283774,0.0037796248173972355,3.052567273403728e-4,0.09462399707728827,0.003916667662454394,0.20298766019503073
MASTER_00050,II_1865_04.txt,Annals of the Western Ocean,"Brown, S. R.",1865,1860,Religion and Philosophy,Christianity,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_04.txt,analysis_text,15216,4022,2.9598838112730157e-5,7.916663577893447e-7,0.10603557757557315,2.782031001681534e-4,2.8959770156123413e-4,0.6438759358161799,0.17261826960185725,0.02767586587606187,0.03556325975571991,0.013632900068407793
MASTER_00051,II_1865_05.txt,"Sorgo, or Northern Chinese sugar cane","Collins, V. D.",1865,1860,Natural Sciences,Botany,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_05.txt,analysis_text,7371,1929,0.21542573806312418,0.23746216537879491,0.0371445434734199,0.05030517565784721,0.0031392437209749003,0.21099555075213905,5.359151041931579e-4,0.015008242515637382,0.09497719635591642,0.13500622897795292
MASTER_00052,II_1865_06.txt,A Visit to the Agricultural Mongols,"Edkins, J.",1865,1860,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_06.txt,analysis_text,7161,2017,0.0017082951785959263,1.972191872059153e-4,0.009141674677810147,0.0016010471554926988,0.019714161713492908,0.10444903212689835,0.14880497096774617,0.09713499574211633,0.06972970667146107,0.5475188965791805
MASTER_00376,II_1865_07.txt,"Dragon, The","Hodous, L.",1917,1910,Anthropology and Social Customs,Mythology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_07.txt,analysis_text,5358,1491,0.004129617325691656,0.0012723498990223794,2.6604624943306056e-4,1.916462470423422e-4,0.0706538161219178,0.001365203558722665,7.121034372109789e-4,0.18171322470128062,0.7385029607754922,0.0011930316841858581
MASTER_00054,II_1865_08.txt,The Remains of Ancient Kambodia,Bastion,1864,1860,Arts and Archaeology,Archaeology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_08.txt,analysis_text,4944,1153,7.259150692125748e-5,4.4442699939365735e-6,0.001463777635659233,0.0013963312597604232,0.024074945362949438,0.06128090390333173,0.36335707762341324,0.05871289025676103,0.2413833049815515,0.2482537331996584
MASTER_00055,II_1865_09.txt,Retrospect of events in China and Japan,"Kingsmill, T. W.",1864,1860,History and Chronology,"History, Modern (20th century)",en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\II_1865_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\II_1865_09.txt,analysis_text,20232,5755,3.2097027056152406e-6,1.9989159916174147e-6,5.720898586195397e-4,0.064097419711721,5.56084704310402e-4,0.6809890254469182,0.15880450452539713,0.002393880967422211,5.825969618498494e-4,0.09199918920506442
MASTER_00074,IV_1867_01.txt,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *","Bickmore, A. S.",1867,1860,Natural Sciences,Geology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_01.txt,analysis_text,9345,2550,0.0012747057679792725,6.074177704987314e-6,0.0028376747002850974,0.0034342819692643237,3.90971982277942e-4,0.13602894924789793,1.1236267399878484e-4,5.178911660547728e-4,3.301401202926272e-4,0.8550669481942443
NA,IV_1867_02.txt,NA,NA,1867,1860,Unknown,Unknown,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_02.txt,analysis_text,4563,1343,2.3107138843221075e-4,9.611047924082617e-5,0.002574430847565346,0.021805421737797624,0.005755972163256898,0.11604294823047161,0.03353970199595207,0.7742161923408453,0.013483245935832621,0.03225490488060574
MASTER_00076,IV_1867_03.txt,"Notes on the north of China, its productions and communications","Williamson, A.",1867,1860,Natural Sciences,Agriculture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_03.txt,analysis_text,16560,4572,0.017873199792685174,0.004599376560384103,0.008507744534414675,0.0960977864565842,0.001359589222406339,0.08276918886624524,5.412962877992972e-4,0.0012788573357390208,0.00515975411002058,0.7818132068337215
MASTER_00077,IV_1867_04.txt,"Notes on the productions, chiefly mineral of Shantung","Williamson, A.",1867,1860,Natural Sciences,Agriculture,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_04.txt,analysis_text,4716,1293,0.009461917279469472,0.0045452617556036995,0.003652360615978102,0.10631842464264492,0.05575126039410782,0.056554761708305014,0.0012820389556095922,0.008208399873443713,0.020655567136558618,0.733570007638279
MASTER_00078,IV_1867_05.txt,Entomology of Shanghai,"Pryer, W. B.",1867,1860,Natural Sciences,Zoology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_05.txt,analysis_text,2805,671,0.5427526845138209,5.126515765098389e-4,0.017024004772884422,0.0015848695248376135,0.0023316072793248747,0.22449369622098247,4.5281397389901376e-5,0.001956793059108828,0.0024101407959914987,0.2068882708591497
MASTER_00079,IV_1867_06.txt,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal,"Ellias, N.",1867,1860,Natural Sciences,Hydrology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_06.txt,analysis_text,3267,950,6.240304946268244e-4,3.283905417347763e-5,0.001574777467606738,0.004040899726442584,2.2895546249164593e-4,8.101651355502493e-4,9.73510355281468e-5,1.5145160342910715e-4,2.0635319144672503e-4,0.9922331768287045
MASTER_00081,IV_1867_08.txt,Chinese chronological tables,"Mayers, W. F.",1867,1860,History and Chronology,"Chronology, Historical",en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\IV_1867_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\IV_1867_08.txt,analysis_text,3144,890,2.7329531386601888e-5,7.04759195602873e-5,0.018882267627499515,1.626266116514622e-4,6.883408439520863e-4,0.0062336231452709764,0.4457975979151799,0.1952886501645571,0.33056582973690113,0.002283258504040639
