decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1920,stm,30,3,0.0022139032957971,2,0.016260162601626,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1930,stm,30,3,0.0019603772571619,0,0.0,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1940,stm,30,3,8.386646907906682e-05,0,0.0,"chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan","FREX: chehkiang, drought, cheo, fuhkien, roads, hupeh, remitted, honan, cart, routes | Prob: summer, road, drought, spring, cheo, autumn, roads, chihli, honan, shansi | Representative: Droughts in China, A. D. 620-1643; Inland communications in China *; Trade routes to Western China; Grand Canal of China, The"
1850,stm,30,4,0.0461825064451457,5,0.1515151515151515,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1860,stm,30,4,0.0236581448882881,9,0.173076923076923,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1870,stm,30,4,0.0225546251234456,6,0.0983606557377049,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1880,stm,30,4,0.0150575262950856,8,0.0963855421686747,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1890,stm,30,4,0.0235764190449977,4,0.1052631578947368,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1900,stm,30,4,0.0814304010636854,7,0.2333333333333333,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1910,stm,30,4,0.0630921369585522,23,0.2473118279569892,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1920,stm,30,4,0.0622725307974148,19,0.1544715447154471,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1930,stm,30,4,0.018156032595857,3,0.125,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1940,stm,30,4,0.0372400027615205,0,0.0,"wares, wear, bow, games, aborigines, garments, boys, women","FREX: wares, wear, bow, games, aborigines, garments, boys, women, design, antiques | Prob: women, white, colour, red, wares, children, green, black, porcelain, round | Representative: Chinese ideas of antiques; Chinese children's games; Hainanese Miao, The *; Sketches of the Miau - tsze"
1850,stm,30,5,0.0032477735288617,1,0.0303030303030303,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1860,stm,30,5,0.0206511795251236,2,0.0384615384615384,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1870,stm,30,5,0.0006715188352608641,0,0.0,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1880,stm,30,5,0.0045111763036677,2,0.0240963855421686,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1890,stm,30,5,0.00013743803221376438,0,0.0,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1900,stm,30,5,0.0002069642686636156,0,0.0,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1910,stm,30,5,0.0664825641195153,17,0.1827956989247312,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1920,stm,30,5,0.0467716601682648,17,0.1382113821138211,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1930,stm,30,5,0.1054277984282844,4,0.1666666666666666,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1940,stm,30,5,0.00030010184948177707,0,0.0,"kansu, thos, migration, yangtze, heude, areas, insects, fauna","FREX: kansu, thos, migration, yangtze, heude, areas, insects, fauna, cat, cocoons | Prob: species, tai, forms, kansu, soochow, shansi, lao, shensi, nanking, race | Representative: Relation of Chinese and Siamese, The *; Natural history of China, The; Beginning of the study of the flora and fauna of Soochow and vicinity, A; Bamboos in China"
1850,stm,30,6,4.809597429561328e-05,0,0.0,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1860,stm,30,6,0.0065388034409546,2,0.0384615384615384,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1870,stm,30,6,0.0989039261530383,13,0.2131147540983606,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1880,stm,30,6,0.0184380727001516,3,0.036144578313253,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1890,stm,30,6,0.0227781574702025,4,0.1052631578947368,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1900,stm,30,6,0.0008782984558035662,0,0.0,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
1910,stm,30,6,0.0048274067896891,2,0.021505376344086,"garnier, nous, tong_king, hua_ching, thou, noi, annamite, een","FREX: garnier, nous, tong_king, hua_ching, thou, noi, annamite, een, arsenic, nirvana | Prob: king, les, tong, tong_king, garnier, gate, son, des, que, thou | Representative: Narrative of recent events in Tong - king; Retrospect of events in China, 1873; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Notes on Chinese toxicology"
