master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,model,K,dominant_topic,dominant_topic_weight
MASTER_00431,_1921_08.txt,"Highways and byways of Kweichow, The *","Kemp, E. G.",1921,1920s,Geography and Travel,Travel,en,2.0222453888596925e-05,0.04508281090103258,2.0222231144142e-05,0.280113510606821,2.0222221686376257e-05,0.036054590344743925,0.0002992388435517216,2.0222492321029905e-05,0.0007881451894702971,0.25697615024674825,0.38058444214929354,2.0222319298673714e-05,lda,12,10,0.38058444214929354
MASTER_00432,_1921_09.txt,"Christ in the "" Li Tai Shen Hsien T'ung Chien ""","Werner, E. T. C.",1921,1920s,Religion and Philosophy,Christianity,en,9.218656751599892e-05,0.1650623884348025,9.218501671737309e-05,0.012758587776555771,9.218598147567642e-05,0.06857958963528184,9.218379699204579e-05,0.1449622573828807,9.21863900630086e-05,9.218772644847576e-05,0.6079918758199643,9.218547130224319e-05,lda,12,10,0.6079918758199643
MASTER_00433,_1921_10.txt,"Trip to Hua Kang, A","Fletcher, W. J. B.",1921,1920s,Literature and Language,Literature,en,0.0017007395757494609,0.0017007357148677933,0.0017007343395830938,0.16658202765292196,0.0017007349809701955,0.0017007347104878738,0.0017006827885774748,0.0017007764434268733,0.001700741296756283,0.23833355480856686,0.4762959559253777,0.10518258176271432,lda,12,10,0.4762959559253777
MASTER_00435,_1922_01.txt,"Natural history of China, The","Sowerby, A. de C.",1922,1920s,Natural Sciences,Zoology,en,2.6132150821357085e-05,0.4723810035010169,2.6132916385901992e-05,0.039186255679642866,0.002054932918442899,0.08722972987984028,2.613199569402843e-05,2.6132187032494655e-05,2.6132225772617358e-05,0.11308410944780756,2.6132576580468042e-05,0.2859071745209626,lda,12,1,0.4723810035010169
MASTER_00436,_1922_02.txt,"Growth of the Yangtze delta, The *",Heidenstem,1922,1920s,Natural Sciences,Geology,en,3.0763123561365224e-05,0.22107371830613876,0.00660642506701187,0.4950356473063333,3.076306156331873e-05,0.15157396810165463,3.076250980385791e-05,0.030676574494111222,3.076271739441823e-05,0.03683443097141791,3.076282585738865e-05,0.058045421515152004,lda,12,3,0.4950356473063333
MASTER_00437,_1922_03.txt,"Shuh country, The",Hutson J.,1922,1920s,Arts and Archaeology,Archaeology,en,0.037932534828576135,1.8735768101518996e-05,1.8735563796825174e-05,0.300850285436349,1.873544944108261e-05,1.8735799315523244e-05,0.0024738518513082062,0.47758316724838673,1.873577498065273e-05,0.018101114538979945,0.16294663187405994,1.8735866704364584e-05,lda,12,7,0.47758316724838673
MASTER_00349,_1922_04.txt,The Great wall,"Edgar, J. H.",1914,1910s,Natural Sciences,Hydrology,en,5.935666103707726e-05,0.3162038589998839,5.935556708563157e-05,0.042698165004627454,5.935624218749101e-05,5.935703856811985e-05,5.9356177772920203e-05,0.5980515634156901,5.935618525061306e-05,5.935767897719758e-05,0.04257156031540185,5.9356713517413975e-05,lda,12,7,0.5980515634156901
MASTER_00440,_1922_05.txt,""" Fir - flower Tablets ""","Ferguson, J. C.",1922,1920s,Literature and Language,Literature,en,0.008336998466266956,0.1522824843489833,3.885204663417952e-05,0.02556175402352184,3.8851445800809284e-05,0.243909708705628,3.885330310358041e-05,0.10419268977615039,3.885155307806765e-05,0.11483022525036693,0.3506918794380757,3.885164239012437e-05,lda,12,10,0.3506918794380757
MASTER_00441,_1922_06.txt,Lan - tsih *,"Hudson, E.",1922,1920s,Literature and Language,Literature,en,6.764366724237352e-05,6.764348477258335e-05,6.764230119516537e-05,0.18975511240210127,6.764263941988331e-05,6.764305432896643e-05,0.01068744734943915,0.046992464550514645,6.764289129771631e-05,0.033484016148711424,0.7186074578983078,6.764361266907583e-05,lda,12,10,0.7186074578983078
MASTER_00443,_1922_07.txt,Notes on the coal and Iron Ore deposits of Central Shansi,"Norin, E.",1922,1920s,Natural Sciences,Geology,en,6.693720432592554e-05,0.07856409039181131,0.05120436684319759,0.004958816329227798,6.693584020807897e-05,6.693734094395506e-05,6.693516304073195e-05,0.035993475761207976,6.693631856780424e-05,0.7989201980890785,6.693642825742912e-05,0.029957434290132826,lda,12,9,0.7989201980890785
