master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,model,K,dominant_topic,dominant_topic_weight
MASTER_00347,XLV_1914_01.txt,"Collection of Chinese reptiles in the Shanghai Museum, The","Stanley, A.",1914,1910s,Natural Sciences,Zoology,en,0.00011290813023717235,0.04537102872214186,0.011508802984328739,0.02561001736471516,0.0165681612471334,0.813552635131075,0.0001128724076663136,0.00011288952574755442,0.00011288916894394855,0.0869377953180109,lda,10,5,0.813552635131075
MASTER_00345,XLV_1914_02.txt,On the Sources of Chinese Taoism,"Wilhelm, R.",1914,1910s,Religion and Philosophy,Taoism,en,4.390762609404418e-05,0.8088666039018224,4.390718935678784e-05,4.3906610108289494e-05,0.006050299800794222,0.010630549241652233,0.0010590754737734135,0.17317393234310713,4.3909431223188704e-05,4.390838206818624e-05,lda,10,1,0.8088666039018224
MASTER_00346,XLV_1914_03.txt,""" Ink Remains "", by An I - chou","Ferguson, J. C.",1914,1910s,Arts and Archaeology,Painting,en,8.447800789285348e-05,0.08972420677914832,8.448637045312319e-05,0.05729296721999677,8.446886520589134e-05,0.3520526926340372,8.446638342992442e-05,0.3965574767339857,8.448125248913075e-05,0.10395027575336106,lda,10,7,0.3965574767339857
MASTER_00347,XLV_1914_04.txt,"Collection of Chinese reptiles in the Shanghai Museum, The","Stanley, A.",1914,1910s,Natural Sciences,Zoology,en,0.00011795087262587021,0.00011795163819957494,0.00011796727961199774,0.10697299485295989,0.00011794351774572985,0.08369231804511357,0.00011792691634508021,0.00011794149966085893,0.002534434340019402,0.806092571037718,lda,10,9,0.806092571037718
MASTER_00348,XLV_1914_05.txt,from Batang to Menkong * Through the land of deep corrosions,"Edgar, J. H.",1914,1910s,Natural Sciences,Geology,en,0.005962089754676477,0.35010561113643407,0.017070909182819262,0.4884807883180757,0.005863383468374084,0.053927831715191055,4.082114663523999e-05,0.0646096881152378,4.0826211109350126e-05,0.01389805095144702,lda,10,3,0.4884807883180757
MASTER_00330,XLV_1914_06.txt,T'ai Shan *,"Moule, A. C.",1912,1910s,Religion and Philosophy,Religion,en,4.469477845942736e-05,0.2344370124606501,0.005990897098900286,0.5689239947064191,4.469033806043914e-05,0.030545243055525393,4.468636317983177e-05,0.15987938520624415,4.470241880785803e-05,4.4693573753469865e-05,lda,10,3,0.5689239947064191
MASTER_00350,XLV_1914_07.txt,Notes on temperatures in high altitudes on the Tibetan border,"Edgar, J. H.",1914,1910s,Natural Sciences,Meteorology,en,7.583206431737043e-05,0.07222264449911164,0.3908738547520839,0.4966238115984578,7.584062493824116e-05,7.583845819121033e-05,7.583077537911166e-05,0.03982468265391979,7.582681108383578e-05,7.583776251705113e-05,lda,10,3,0.4966238115984578
MASTER_00351,XLV_1914_08.txt,"Oracle - bones from Honan, The *","Couling, S.",1914,1910s,Arts and Archaeology,Archaeology,en,0.01196008405251756,0.35651458517744733,0.003254211387232363,4.848916179635251e-05,0.018494535940521768,0.4774720278792946,0.005280592068356397,0.054647508526072266,4.848402805667891e-05,0.0722794817787046,lda,10,5,0.4774720278792946
MASTER_00352,XLV_1914_09.txt,Chinese wood carving *,"Stanley, A.",1914,1910s,Arts and Archaeology,Decorative arts,en,0.0520939007268754,0.28687288350418455,4.5859715072389704e-05,0.08355658051059422,4.585560410594832e-05,0.21563654005793853,4.585863010436728e-05,4.586044862386755e-05,4.585969187472649e-05,0.36161080111062593,lda,10,9,0.36161080111062593
MASTER_00353,XLV_1914_10.txt,"Chinese sun - dial, A *","Reymond, C. du Bois",1914,1910s,Arts and Archaeology,Art,en,0.16326745768548043,0.22455648760312974,0.10073336391145209,0.09874111524037506,0.00010651686700197391,0.3185878517347595,0.00010651419072874361,0.028077814324844463,0.0001065140341396165,0.06571636440808853,lda,10,5,0.3185878517347595
,XLV_1914_11.txt,,,1914,1910s,,,en,2.8687734432814652e-05,0.7534470461030682,2.8681661238618126e-05,0.007084181263962294,2.8681910963720512e-05,0.08403436478863562,2.867974550175744e-05,0.15526230979967567,2.8684079287271656e-05,2.8682913234225286e-05,lda,10,1,0.7534470461030682
MASTER_00355,XLV_1914_12.txt,"Bibliographical introduction to the study of Chinese law, A","Lobingier, C. S.",1914,1910s,"Politics, Government, and Law",Law,en,0.12078760160839397,0.39717076398050066,3.880204496186184e-05,3.879707824158219e-05,0.059581049815989266,0.42222779841401925,3.879429986379307e-05,3.8800192883272574e-05,3.879700551165921e-05,3.87955596346657e-05,lda,10,5,0.42222779841401925
MASTER_00356,XLV_1914_13.txt,"Table of the Emperors of the Yuan Dynasty, A","Moule, A. C.",1914,1910s,History and Chronology,"Chronology, Historical",en,0.15569337327374155,0.000500114792151332,0.0005002940223395786,0.0005000780882557704,0.059611705785265735,0.04377626785833675,0.0005001220503057836,0.73791790166346,0.0005000695019217627,0.0005000729642216247,lda,10,7,0.73791790166346
,XLV_1914_14_review_of_recent_books.txt,,,1914,1910s,,,mixed,6.697767077471813e-06,0.13336644871741532,6.69733442373916e-06,6.697989987384824e-06,0.7018811046393735,0.11057957651768939,0.05413268353510592,6.698031230657298e-06,6.697459896076204e-06,6.698007800639172e-06,lda,10,4,0.7018811046393735
,XLV_1914_15_notes_and_queries.txt,,,1914,1910s,,,en,0.006944066253137452,0.262275637474219,0.0028829849752610016,0.0490562026599653,0.00010002737526453662,0.6333004980325724,0.00010000569661944952,0.045140525099056916,0.00010002220112781732,0.00010003023277617444,lda,10,5,0.6333004980325724
MASTER_00357,XLVI_1915_01.txt,Putoshan *,"Stanley, A.",1915,1910s,Arts and Archaeology,Archaeology,en,0.004459212308652184,0.44275231922356767,2.760931325743395e-05,0.3950757676380728,2.7606553967578765e-05,0.03885543981198462,2.7603320028151565e-05,0.044982620857329195,2.761026938313652e-05,0.07376421070375719,lda,10,1,0.44275231922356767
MASTER_00358,XLVI_1915_02.txt,Notices of Christianity in China. Extracted from Marco Polo *,"Moule, A. C.",1915,1910s,Religion and Philosophy,Christianity,en,2.6267273816688166e-05,0.27569255026092293,0.004553968821048656,0.04219999795692564,0.08415847870070116,2.6267928131115912e-05,2.6267262601895203e-05,0.5932636700366662,2.626510610492434e-05,2.6266653080838943e-05,lda,10,7,0.5932636700366662
MASTER_00359,XLVI_1915_03.txt,"Tone - accents of two Chinese dialects, The *","Bradley, C. B.",1915,1910s,Literature and Language,Literature,en,0.1942459699652896,0.19055195044981815,0.03268502144352971,0.07259517846397022,8.086226515721215e-05,0.40365604384841564,8.084471582435192e-05,8.08677281454824e-05,8.085497596756956e-05,0.10594240614388217,lda,10,5,0.40365604384841564
MASTER_00360,XLVI_1915_04.txt,Chinese pagodas,"Couling, S.",1915,1910s,Arts and Archaeology,Architecture,en,0.0313898128878383,0.10424026251434772,3.7790646053967325e-05,0.5035337070451567,3.7786374190978706e-05,0.2216062111417776,3.779171752522805e-05,0.13279688962485106,3.778638779266478e-05,0.00628196166046596,lda,10,3,0.5035337070451567
MASTER_00361,XLVI_1915_06.txt,"Ch'ing Ming Festival, The","Hodous, L.",1915,1910s,Anthropology and Social Customs,Manners and customs,en,0.06957622181471208,0.7101627105499253,0.00018220877399844718,0.11178531572256739,0.00018216629420950205,0.00018218290236094565,0.00018216277471718543,0.05175763621393139,0.00018218462698436764,0.055807210326593484,lda,10,1,0.7101627105499253
MASTER_00303,XLVI_1915_07.txt,Wang An - shih,"Ferguson, J. C.",1903,1900s,History and Chronology,Biography,en,3.729653710447512e-05,0.7475412301257991,3.729035873742889e-05,3.7296270146261796e-05,3.729172065265235e-05,0.16961860703661177,3.729774380619301e-05,0.08257910497222824,3.729330227812331e-05,3.729193263584994e-05,lda,10,1,0.7475412301257991
MASTER_00363,XLVI_1915_08.txt,The Wu Pan tablet,"Warren, G. G.",1915,1910s,Arts and Archaeology,Antiquities,en,0.019299695172161593,0.19129691258553322,1.9659221175165486e-05,0.004998451382551008,1.9660903294818194e-05,0.1632010878218395,1.966292177891501e-05,0.6211055505905457,1.96597965585239e-05,1.965960456163251e-05,lda,10,7,0.6211055505905457
MASTER_00344,XLVI_1915_09.txt,Appendix,"Richmond, C. W.",1913,1910s,Natural Sciences,Zoology,en,3.6679988470660594e-05,0.2506753281378805,0.02461944360220571,0.5768108306879459,3.667505314763956e-05,0.10399354206857095,3.667870641136291e-05,3.667729004406315e-05,3.667770562628024e-05,0.043717466759697,lda,10,3,0.5768108306879459
MASTER_00192,XLVI_1915_10.txt,Trade routes to Western China,"Hosie, A.",1884,1880s,"Economy, Trade, and Technology",Telecommunication,en,0.0002488035571992924,0.11880132353443978,0.022864769414585828,0.03438982239148,0.13980525926747547,0.6694440432659143,0.0002488114147333471,0.01369951176555799,0.0002488159671564327,0.0002488394214574745,lda,10,5,0.6694440432659143
MASTER_00472,XLVI_1915_11_REVIEWS OF RECENT BOOKS.txt,Who are the Northern Chinese ?,"Shirokogoroff, S. M.",1924,1920s,Anthropology and Social Customs,Ethnology,en,0.002178034201392521,0.24491968941472483,1.5022712349118138e-05,0.04726271171853462,0.024682267581856213,0.5673551840170405,0.0016012659616298512,0.03854416410013719,1.5021275038135749e-05,0.07342663901729704,lda,10,5,0.5673551840170405
MASTER_00174,XVII_1882_01.txt,Notes on Chinese composition,"Giles, H. A.",1882,1880s,Literature and Language,Literature,en,0.025667301469443796,0.6241610239868415,5.2424784444629627e-05,5.24274953621343e-05,0.010085913275720119,0.1347472954933904,5.2422439903286914e-05,0.08723579234909407,0.0032190639979977186,0.11472633470780244,lda,10,1,0.6241610239868415
MASTER_00175,XVII_1882_02.txt,On the geology of the neighbourhood of Nagasaki,"Guppy, H. B.",1882,1880s,Natural Sciences,Geology,en,6.03614319646176e-05,0.025289509358995172,0.10248883532016453,0.739133766619615,6.0359930583153764e-05,0.10676819255472773,6.035374358071556e-05,6.036207324131658e-05,6.035993603288679e-05,0.02601789903109481,lda,10,3,0.739133766619615
MASTER_00176,XVII_1882_03.txt,Notes on the south coast of Saghalien,"Anderson, G. C.",1882,1880s,Geography and Travel,Travel,en,0.00015555808137620458,0.07056253971560687,0.23751446599846207,0.6579175172058204,0.00015554089916052275,0.00015556333714602803,0.00015552805966549002,0.00015554631661740106,0.00015554068453984602,0.03307219970160537,lda,10,3,0.6579175172058204
MASTER_00177,XVII_1882_04.txt,Annam and its minor currency,"Toda, E.",1882,1880s,Arts and Archaeology,Numismatics,en,0.8046274520111986,0.03658181518705495,8.38668002308921e-06,8.387178582685751e-06,0.10143128354198934,8.387304977970664e-06,8.386114468399034e-06,0.05730912884354205,8.386472648944967e-06,8.386665514064377e-06,lda,10,0,0.8046274520111986
MASTER_00178,XVII_1882_05.txt,The Hoppo - book of 1753,"Hirth, F.",1882,1880s,"Politics, Government, and Law",Government,en,0.6554936976558094,0.0068212054393296155,0.020194010090971017,0.09377864982461243,5.331984756916949e-05,0.21478528267905114,5.331893996848285e-05,5.331654622636599e-05,0.008713878322754593,5.3320653707700877e-05,lda,10,0,0.6554936976558094
MASTER_00007,XVII_1882_misc.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.003465102619832002,0.06655677424576964,0.009762522215138033,2.6000853671882453e-05,0.2325094076287288,0.6875761908659329,2.6000321356953033e-05,2.6001339900965827e-05,2.600020584325224e-05,2.5999703825668797e-05,lda,10,5,0.6875761908659329
MASTER_00179,XVIII_1884_01.txt,What did the ancient Chinese know of the Greeks and Romans,"Edkins, J.",1883,1880s,History and Chronology,History,en,0.010297477730340069,0.12037928226977733,0.009156788319157965,0.09184912778927479,3.079607062142487e-05,0.19167510523969816,3.079074330943453e-05,0.5706109381909441,0.005938899993943253,3.079365293335749e-05,lda,10,7,0.5706109381909441
MASTER_00180,XVIII_1884_02.txt,Corea,"Scherzer, F., trans. Gould, C.",1883,1880s,Anthropology and Social Customs,Manners and customs,en,0.2753218703709601,0.5513442384330457,5.939863114702562e-05,5.9395992920671705e-05,5.939819318417279e-05,0.10988850288378925,0.013036698518390177,0.05011170173486849,5.939731485367591e-05,5.9397926840671e-05,lda,10,1,0.5513442384330457
MASTER_00181,XVIII_1884_03.txt,Researches into the geology of Formosa *,"Kleinwachter, G.",1883,1880s,Natural Sciences,Geology,en,4.21673687895127e-05,0.02130299238769763,0.01981790657646071,0.8144366160880053,4.216599597760116e-05,0.049683567624836944,4.217880872574528e-05,4.216972161100399e-05,4.2165957085474154e-05,0.09454806947080986,lda,10,3,0.8144366160880053
MASTER_00182,XVIII_1884_04.txt,Fragmens d'un voyage dans l'interieur de la Chine,"Imbault - Huart, C.",1883,1880s,Geography and Travel,Travel,fr,2.2458148681634083e-05,2.2457615576571425e-05,2.245754082199341e-05,2.245791413653547e-05,2.2458384671172964e-05,2.2457958111170366e-05,0.999797878140859,2.2458490042839025e-05,2.2458265969965813e-05,2.2457541129291968e-05,lda,10,6,0.999797878140859
