master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.0,0.24114821482592708,0.0,0.0,0.007459538372503521,0.0,0.0,0.004614224154768734,0.033625044970722856,0.0,0.35207834089510653,0.00979597702188938,0.0,0.03865753742546668,0.19080858577152737,0.0,0.12181253656208789,0.0,0.0,0.0,nmf,20,10,0.35207834089510653
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.0,0.0,0.016584259428090057,0.20460681105004083,0.0,0.0,0.21833291370407437,0.0,0.0,0.05690589730072118,0.4708094463445501,0.0,0.0,0.0,0.0,0.032760672172523465,0.0,0.0,0.0,0.0,nmf,20,10,0.4708094463445501
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.0,0.6528731894168686,0.0,0.0,0.0,0.0,0.2558930209410293,0.0,0.0,0.04598842003416256,0.0,0.0,0.0,0.045245369607939664,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,1,0.6528731894168686
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,0.9991008197112203,0.0,0.0008991802887795689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,5,0.9991008197112203
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.0,0.0,0.062020925339273524,0.19770681026631115,0.00242813297508538,0.0,0.19299700831949979,0.04757251474363446,0.00878679601207261,0.0,0.05249522149611422,0.04999056256999501,0.0,0.02555944878529068,0.04674290089120306,0.0,0.06992447235481927,0.04425655447629371,0.0,0.19951865177040706,nmf,20,19,0.19951865177040706
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0,0.05486096328392499,0.24715357146749778,0.0,0.0,0.3166652304081043,0.008658092063486325,0.0,0.0,0.0,0.0,0.0,0.05249441633046381,0.0,0.0,0.3077954921287657,0.0,0.0,0.01237223431775705,nmf,20,6,0.3166652304081043
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0766955759200003,0.056523724561380724,0.03504871596443802,0.22709809344858922,0.0013824140821677585,0.0,0.15376157818403588,0.16830235006178973,0.021611731380996334,0.0,0.0827266255942261,0.0011277465214503402,0.0,0.0,0.04049760297294815,0.007281343459869048,0.08329094072373273,0.0,0.0,0.04465155712437555,nmf,20,3,0.22709809344858922
,1869_08.txt,,,1869,1860s,,,en,0.06163548541653014,0.037267774826172204,0.15762217198144396,0.016085090214389197,0.0,0.0062338447974980135,0.02718251650708599,0.0,0.010957948996532766,0.5490605453839418,0.0,0.0,0.00036706599019331154,0.013814870478281515,0.004604744716383783,0.0,0.09753782631947833,0.017630114372069183,0.0,0.0,nmf,20,9,0.5490605453839418
MASTER_00106,1869_09.txt,Chinese chemical manufactures,"Smith, F. P.",1869,1860s,Natural Sciences,Agriculture,en,0.0,0.0045526518264608126,0.06058857331845056,0.028049591885184525,0.0,0.0,0.005019595919302149,0.0,0.18367179267598588,0.016256393185404203,0.0,0.014047463018673064,0.0,0.005557476195086986,0.15197897161912172,0.003422196005375856,0.1809045377610435,0.025480173365586237,0.03584202161235251,0.28462856161197186,nmf,20,19,0.28462856161197186
MASTER_00107,1869_10.txt,Journal of a mission to Lewchew in 1801,"Williams, S. W.",1869,1860s,History and Chronology,History,en,0.06440796465992339,0.0016472720134430476,0.0,0.02299898670132889,0.0,0.0,0.01948315577521503,0.10821542707131113,0.0,0.043692092881798344,0.15483410404165798,0.0,0.0801866645509057,0.0,0.0,0.06432828805527764,0.43594822006180717,0.0,0.004257824187331588,0.0,nmf,20,16,0.43594822006180717
