master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,model,K,dominant_topic,dominant_topic_weight
MASTER_00109,1869_12_retrospects_of_events.txt,"Retrospect of events in China and Japan, 1869, 1870",,1869,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.007999632527242702,0.900258711894144,0.0,0.0,0.0,0.03049692988008454,0.06124472569852881,nmf,8,2,0.900258711894144
MASTER_00126,1874_01.txt,Recollections of China prior to 1840,"Williams, S. W.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.0859397948487847,0.0918136850540859,0.7835810076440072,0.0,0.0,0.0,0.0,0.038665512453122323,nmf,8,2,0.7835810076440072
MASTER_00127,1874_02.txt,"The legend of Wen Wang, founder of the dynasty of the Chows in China","Kingsmill, T. W.",1873,1870s,History and Chronology,Biography,en,0.0,0.0,0.0,0.013401184027692125,0.0,0.012081394493154754,0.8523123318118876,0.12220508966726552,nmf,8,6,0.8523123318118876
MASTER_00128,1874_03.txt,Extracts from the history of Shanghai,"Schmidt, C.",1873,1870s,History and Chronology,History,en,0.0,0.15815458463178753,0.33281999331412576,0.3615234214939916,0.0,0.0,0.07862246964250653,0.06887953091758858,nmf,8,3,0.3615234214939916
MASTER_00129,1874_04.txt,Chinese fox - myths,"Watters, T.",1873,1870s,Anthropology and Social Customs,Mythology,en,0.04582837589374299,0.08923049981413159,0.03337789717339847,0.027152941544994928,0.12270827157183788,0.0,0.15864322642351156,0.5230587875783826,nmf,8,7,0.5230587875783826
MASTER_00130,1874_05.txt,Brief account of the French Expedition of 1866 into Indo - China,"Viguier, S. A.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.16589535254156015,0.32901934782398967,0.3380449026476553,0.0,0.0,0.0938573508513686,0.0731830461354262,0.0,nmf,8,2,0.3380449026476553
MASTER_00131,1874_06.txt,"Visit to the city of Confucius, A","Edkins, J.",1873,1870s,Religion and Philosophy,Confucianism,en,0.0,0.34469468306915274,0.0,0.18298131187366282,0.00544512700019592,0.0,0.0,0.4668788780569885,nmf,8,7,0.4668788780569885
MASTER_00132,1874_07.txt,Short notes on Chinese instruments of music *,"Dennys, N. B.",1873,1870s,Arts and Archaeology,Music,en,0.07866211226548948,0.04763570375696374,0.0,0.20601929717465436,0.4265115724140788,0.0,0.12227090190939575,0.11890041247941784,nmf,8,4,0.4265115724140788
MASTER_00133,1874_08.txt,"Stone drums of the Chou Dynasty, The *","Bushell, S. W.",1873,1870s,Arts and Archaeology,Archaeology,en,0.20673375306248118,0.01625654984841465,0.0,0.561771118872358,0.05651163985443919,0.06177879916592201,0.07926763101086333,0.017680508185521564,nmf,8,3,0.561771118872358
MASTER_00134,1874_09_retrospects_of_events.txt,"Retrospect of events in China, 1873",Editorial Committee,1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.24024624772566147,0.14020662287195637,0.22193324081990518,0.04258832184684731,0.022763694117745675,0.1920313523784476,0.07371285295182624,0.06651766728761027,nmf,8,0,0.24024624772566147
