master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00418,LI_1920_04.txt,China's petrified sun - rays,"Chatley, H.",1920,1920s,Natural Sciences,Geology,en,0.0,0.0,0.024213189367674037,0.0,0.0,0.0013916125888322754,0.0,0.009494885337257751,0.028005794027904117,0.020881685249241486,0.0,0.0,0.0,0.0,0.9160128334290903,nmf,15,14,0.9160128334290903
MASTER_00419,LI_1920_05.txt,Chinese ideas of antiques,Hutson J.,1920,1920s,Arts and Archaeology,Art,en,0.005447135115992996,0.0,0.0,0.09134172483117474,0.12665032817751964,0.0,0.0,0.0,0.13512856713935753,0.0,0.5434335346314487,0.06059646297551631,0.0,0.0,0.03740224712899009,nmf,15,10,0.5434335346314487
MASTER_00420,LI_1920_06.txt,Names and nicknames of the Shanghai settlements,"Lanning, G.",1920,1920s,History and Chronology,History,en,0.01582659249543562,0.14079197027929732,0.44935653624731475,0.0,0.0,0.0,0.06503238504562127,0.32899251593233103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,15,2,0.44935653624731475
MASTER_00421,LI_1920_07.txt,Chinese poetry and its connotations *,"Ayscough, F. W.",1920,1920s,Literature and Language,Literature,en,0.3322257906250931,0.0367109045791945,0.023368654758079112,0.3415914482293009,0.062217685760701226,0.0,0.0,0.0,0.0,0.051698755100032495,0.13045135473161137,0.015773697847593547,0.0,0.0,0.005961708368393471,nmf,15,3,0.3415914482293009
,LI_1920_08.txt,,,1920,1920s,,,en,0.0,0.002169093997974006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997830906002026,0.0,0.0,0.0,nmf,15,11,0.997830906002026
MASTER_00423,LI_1920_09.txt,"Chinese life of Mohammed, A","Mason, I.",1920,1920s,Religion and Philosophy,Islam,en,0.7848347243088973,0.0,0.021057603608882473,0.0008923704660127505,0.0,0.0,0.04537195690512231,0.011472446483244426,0.0,0.07652682872092487,0.0,0.0,0.0,0.05984406950691603,0.0,nmf,15,0,0.7848347243088973
MASTER_00415,LI_1920_reviews_of_recent_books.txt,"Relation of Chinese and Siamese, The *","Dodd, W. C.",1920,1920s,Anthropology and Social Customs,Ethnology,en,0.0,0.023371176506736292,0.8306867687956249,0.0,0.0,0.0,0.0,0.031232030598231424,0.0036082462187374503,0.0,0.0008163343431821712,0.0011417157486449195,0.0732414550136244,0.0359022727752185,0.0,nmf,15,2,0.8306867687956249
MASTER_00424,LII_1921_01.txt,"Operations and manifestations of the Tao exemplified in history, The","Morgan, E.",1921,1920s,Religion and Philosophy,Taoism,en,0.0,0.0,0.0,0.19988297972013977,0.004529151319482618,0.0018548247643906748,0.0,0.05286987152851109,0.0,0.7408631726674759,0.0,0.0,0.0,0.0,0.0,nmf,15,9,0.7408631726674759
MASTER_00425,LII_1921_02.txt,"Hainanese Miao, The *","Moninger, M. M.",1921,1920s,Anthropology and Social Customs,Ethnology,en,0.42154206652357024,0.2896886634209371,0.0,0.0,0.17053274990495979,0.0,0.0,0.0,0.016379861766716537,0.0,0.04258124403790639,0.05927541434590992,0.0,0.0,0.0,nmf,15,0,0.42154206652357024
MASTER_00426,LII_1921_03.txt,Notes on the symbolism of the Purple Forbidden City *,"Ayscough, F. W.",1921,1920s,Geography and Travel,Travel,en,0.1460070959022001,0.04524078847281579,0.0,0.2312429167017823,0.005615344949912975,0.012720274904658184,0.0,0.0,0.0,0.5395792930274631,0.0,0.0030989237137498053,0.016495362327417638,0.0,0.0,nmf,15,9,0.5395792930274631
