master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00561,_1930-1931_19.txt,"History of the days of the week, The","Chatley, H.",1931,1930s,History and Chronology,"Chronology, Historical",en,0.14820227794375282,0.5553336462339167,0.003654080498840506,0.0022544471999692488,4.2983135923347676e-05,0.22299686078078168,4.2983113859657276e-05,0.010061595942623866,4.2983100683965964e-05,0.005679013128764588,0.046673644350531646,4.298311733485509e-05,0.004886535299201241,4.298310884626481e-05,4.298304496966566e-05,lda,15,1,0.5553336462339167
MASTER_00529,_1930-1931_20.txt,Contributions from the Herbarium of the Shantung Christian University,"Jacot, A. P.",1928,1920s,Natural Sciences,Botany,en,3.506936227977261e-05,3.506936142827925e-05,3.506937270951511e-05,3.506934544048419e-05,3.5069324810721484e-05,3.5069342867850376e-05,3.506935229535418e-05,3.5069340285254245e-05,3.506936604488253e-05,0.9995090291438263,3.5069356567302566e-05,3.506936137980314e-05,3.506935252244846e-05,3.506933891084323e-05,3.506927863122944e-05,lda,15,9,0.9995090291438263
MASTER_00562,_1930-1931_21.txt,Chinese pottery and porcelain : an appreciation,"Abraham, R. D.",1931,1930s,Arts and Archaeology,Porcelain,en,4.415023818702639e-05,0.010195325271714935,4.4150193420744566e-05,0.027004819542639592,4.415019104999658e-05,0.19386323783533924,4.4150218643343796e-05,4.415020732496279e-05,4.415017193809958e-05,0.33782122415217947,4.415022733833748e-05,4.4150187200233175e-05,0.3866565199041522,0.04406152149272365,4.415016614811886e-05,lda,15,12,0.3866565199041522
MASTER_00563,_1930-1931_22.txt,Chinese - Moslem chronology,"Mason, I.",1931,1930s,Religion and Philosophy,Islam,en,0.000227531756425488,0.28377661499062085,0.0002275318679610214,0.00022753174934615614,0.00022753144450706343,0.5788646097966372,0.00022753169462664955,0.00022753201850078344,0.00022753150167095608,0.0002275316110285442,0.039090380125686115,0.00022753157077785648,0.0002275318361547343,0.09576554670883353,0.0002275313272231222,lda,15,5,0.5788646097966372
MASTER_00564,_1930-1931_23.txt,"Indian frontier, The","Haward, E.",1931,1930s,History and Chronology,"History | History, Modern (20th century)",en,0.03127573393211806,0.18746480526185266,4.1666773827079865e-05,4.1666752943294157e-05,4.166672441944895e-05,0.09367292124348209,0.24914065278473935,4.166680544493022e-05,4.16667208828845e-05,0.01075913087433884,0.3209534567246094,4.16667476623134e-05,0.10639996523009192,4.166674421197655e-05,4.166667937588262e-05,lda,15,10,0.3209534567246094
MASTER_00565,_1930-1931_24.txt,"Chinese nation and the doctrine of the golden mean, The",Tsai Yuen - Pei,1931,1930s,Religion and Philosophy,Philosophy,en,7.833939720758166e-05,7.833942648129608e-05,7.833938200864093e-05,0.02581373611976464,7.833933146510948e-05,7.833943665638223e-05,7.833938381541131e-05,7.833939185821231e-05,7.833931921222689e-05,7.833938906641675e-05,7.833941805277756e-05,7.833941914957328e-05,0.9702596672946765,7.833943983770915e-05,0.002986523850747501,lda,15,12,0.9702596672946765
MASTER_00566,_1930-1931_25.txt,"Western transcription of Chinese, The","Gardner, C. S.",1931,1930s,Literature and Language,East Asian languages,en,0.003300822287583666,0.13731746136347714,0.00247960441158939,4.4120979836455534e-05,4.4120979104924745e-05,0.4763318904656388,4.412099560887821e-05,0.01660810218831059,4.412100911490821e-05,4.412097599445425e-05,0.017864522720358426,4.4120956227190804e-05,0.07318730631061644,0.26587073330856775,0.006774831047970927,lda,15,5,0.4763318904656388
MASTER_00567,_1930-1931_26.txt,"Confucianism, Democracy and nationalism",Lu Yen - Ying,1931,1930s,Religion and Philosophy,China--Religion,en,0.0001279592897455693,0.00012795942004950811,0.00012795920179122644,0.00012795922234589248,0.00012795914774608647,0.08026595511083494,0.00012795935355488667,0.0001279592981638842,0.000127959162574151,0.00012795930538445926,0.00012795945317354323,0.00012795923800017618,0.918070574442292,0.00012795924743300963,0.00012795910691071091,lda,15,12,0.918070574442292
MASTER_00568,_1930-1931_27.txt,"Cosmic spirit, The","Morgan, E.",1931,1930s,Religion and Philosophy,Philosophy,en,0.04079273710053983,2.2621930898158446e-05,2.2621960991717317e-05,2.2621949915252654e-05,2.262195578443516e-05,2.2621935000360457e-05,0.047095518349111555,2.2621917203913408e-05,2.2621933905849233e-05,2.262195007125259e-05,2.2621937894467716e-05,0.004551516095455848,0.9073113871558766,2.2621940345887097e-05,2.262188700495523e-05,lda,15,12,0.9073113871558766
MASTER_00569,_1930-1931_28.txt,"Asiatic origin of South American man, The","Gapanovich, J. J.",1931,1930s,Anthropology and Social Customs,Ethnology,en,1.77920653227818e-05,0.8297848066600197,0.023318181778359554,1.7792064721305238e-05,0.024797421075226964,0.03882718708938718,0.027173544367543538,1.7792044865937437e-05,1.7792043859683096e-05,0.026710001602631553,1.7792057011906157e-05,1.7792050024391288e-05,0.026502239714564904,1.7792046877496573e-05,0.002762073339583096,lda,15,1,0.8297848066600197
