topic_id,rank,word,weight
15,10,maximum,0.4532524105593919
16,1,tai-y,0.42149805691063025
16,2,fut,0.4025417089748865
16,3,elle,0.3923358183146526
16,4,tait,0.35495997787672473
16,5,concubine,0.3455959937689456
16,6,femme,0.3413819650071007
16,7,madame,0.32601522420517975
16,8,vous,0.31663189834817423
16,9,ouang,0.30802506628315207
16,10,avait,0.3067788894665562
17,1,chinese law,0.46959217592056385
17,2,witchcraft,0.4037227601630615
17,3,penalty,0.38791989182573355
17,4,law practice,0.38519508806407216
17,5,offence,0.3844604388320815
17,6,infanticide,0.3805589060642772
17,7,offences,0.35710184087503427
17,8,penal,0.3373753311833107
17,9,district magistrate,0.32904002462889664
17,10,robbery,0.3237684153370335
18,1,family law,0.4879342868031847
18,2,law chinese,0.4770241185981829
18,3,exogamy,0.4702138074670339
18,4,patria,0.4329767311041381
18,5,marry,0.4284263338338404
18,6,contract,0.4244707178970597
18,7,bride,0.41107335909186654
18,8,widow,0.4071638850304771
18,9,husband's,0.3531990231915981
18,10,marriages,0.350861933108595
19,1,migration,0.40598301705343737
19,2,migrations,0.32829987437441543
19,3,south america,0.30592099784466803
19,4,tibetans,0.29918631108072785
19,5,philippines,0.2990207069762215
19,6,lamaism,0.29263642696371034
19,7,aryan,0.28954463484687337
19,8,anthropological,0.2799728842874915
19,9,immigrants,0.2799305950241357
19,10,lhasa,0.278127342951612
20,1,teachings,0.3619388316665302
20,2,chu hsi,0.32475864436380336
20,3,meh,0.3234770120860772
20,4,chai,0.3155929919992033
20,5,human nature,0.28956653138453564
20,6,confucianists,0.2877244296409045
20,7,micius,0.2866101543701725
20,8,ssu-ma,0.27410609509000283
20,9,disciple,0.26076594932643693
20,10,yao shun,0.2596085842130858
21,1,thou,0.48036183859595794
21,2,thy,0.381836130284291
21,3,hell,0.36119766123776476
21,4,sins,0.29851358442630815
21,5,creator,0.2712332943350559
21,6,yima,0.2659067329350351
21,7,hells,0.26064658048734923
21,8,brightness,0.26016832954582936
21,9,demon,0.25839166144576114
21,10,deus,0.25795133983490587
22,1,pawn,0.7872219327687949
22,2,games,0.7855784741622748
22,3,cannon,0.695554741539384
22,4,chess,0.665089524006336
22,5,file,0.6593694119370246
22,6,rook,0.6362859232834686
22,7,moves,0.5973560352351439
22,8,knight,0.5458502174444327
22,9,adversary,0.5432250338805786
22,10,diagram,0.5267107305423618
23,1,mohammed,0.6687509116332571
23,2,prophet,0.6427092519294137
23,3,moslem,0.5578029193802869
23,4,moslems,0.5504059765760616
23,5,islam,0.4695087838346456
23,6,koran,0.44597013495634896
23,7,mecca,0.42242928102508565
23,8,mosque,0.42170542821607165
23,9,jews,0.4001184836600762
23,10,medina,0.3725684742591178
24,1,kabaran,0.6139634876932992
24,2,iii iii,0.47551099087159604
24,3,yukan,0.4621175873821648
24,4,tze,0.4555884030742043
24,5,heen,0.44318294136313235
