decade,topic_id,count,article_count,decade_total,topic_total,share_of_decade,share_of_topic,topic_words
1850s,24,2,2,571,132,0.0035026269702276708,0.015151515151515152,"kabaran, iii iii, yukan, tze, heen, mun"
1850s,25,22,2,571,129,0.03852889667250438,0.17054263565891473,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere"
1850s,26,10,1,571,197,0.017513134851138354,0.050761421319796954,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols"
1850s,27,3,1,571,145,0.005253940455341506,0.020689655172413793,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital"
1850s,28,34,4,571,159,0.0595446584938704,0.2138364779874214,"savages, garments, women wear, men wear, taiga, waist"
1850s,29,1,1,571,106,0.0017513134851138354,0.009433962264150943,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1850s,31,6,1,571,226,0.010507880910683012,0.02654867256637168,"l'on, leurs, ses, fait, guild, quelques"
1850s,32,6,1,571,113,0.010507880910683012,0.05309734513274336,"airs, drama, actor, musical instruments, actors, chinese respecting"
1860s,0,102,20,1331,2189,0.07663410969196092,0.04659661946094107,"cochin, tab, chinensis, folio, sinensis, var"
1860s,1,390,32,1331,1664,0.2930127723516153,0.234375,"coal, limestone, mile, left bank, right bank, gorge"
1860s,2,110,23,1331,1225,0.08264462809917356,0.08979591836734693,"altar, marble, pillars, pagodas, terrace, architecture"
1860s,3,128,17,1331,868,0.09616829451540196,0.14746543778801843,"treaty, garnier, tong-king, treaties, commissioners, kweiliang"
1860s,4,71,15,1331,792,0.05334335086401202,0.08964646464646464,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1860s,5,23,7,1331,315,0.01728024042073629,0.07301587301587302,"aug, feb, mar, nov dec, jan feb, jan"
1860s,6,7,4,1331,380,0.005259203606311044,0.018421052631578946,"mint, obverse, coin, tael, coinage, annam"
1860s,7,16,5,1331,452,0.012021036814425245,0.035398230088495575,"wares, pottery, bronzes, porcelains, painting, chinese art"
1860s,8,15,6,1331,535,0.011269722013523666,0.028037383177570093,"tom, western asia, central western, mohammedan, medieval geography, history central"
1860s,9,64,8,1331,597,0.04808414725770098,0.10720268006700168,"destiny, ultimate, taoism, immortality, holy men, immaterial"
1860s,10,22,8,1331,562,0.01652892561983471,0.03914590747330961,"road shanghai, honorary, branch asiatic, election, hon, society's"
1860s,11,17,10,1331,310,0.012772351615326822,0.054838709677419356,"great drought, tls, likin, land-tax, taels year, hkiang"
1860s,12,6,4,1331,400,0.004507888805409466,0.015,"classifier, tones, shuo, corean, vowels, ideographic"
1860s,13,5,3,1331,217,0.003756574004507889,0.02304147465437788,"chinese musical, musical instruments, holes, diameter, inches long, pipe"
1860s,14,33,7,1331,324,0.024793388429752067,0.10185185185185185,"cycle, lunar, solar, eclipses, jupiter, equinox"
1860s,15,20,8,1331,197,0.015026296018031555,0.10152284263959391,"temperature, eastern asia, vapour, latitude, spring summer, celsius"
1860s,16,10,3,1331,333,0.007513148009015778,0.03003003003003003,"tai-y, fut, elle, tait, concubine, femme"
1860s,17,8,6,1331,286,0.006010518407212622,0.027972027972027972,"chinese law, witchcraft, penalty, law practice, offence, infanticide"
1860s,18,6,5,1331,220,0.004507888805409466,0.02727272727272727,"family law, law chinese, exogamy, patria, marry, contract"
1860s,19,9,5,1331,274,0.0067618332081141996,0.032846715328467155,"migration, migrations, south america, tibetans, philippines, lamaism"
1860s,20,21,6,1331,299,0.015777610818933134,0.07023411371237458,"teachings, chu hsi, meh, chai, human nature, confucianists"
1860s,21,42,9,1331,305,0.03155522163786627,0.1377049180327869,"thou, thy, hell, sins, creator, yima"
1860s,22,22,5,1331,133,0.01652892561983471,0.16541353383458646,"pawn, games, cannon, chess, file, rook"
1860s,23,11,5,1331,240,0.008264462809917356,0.04583333333333333,"mohammed, prophet, moslem, moslems, islam, koran"
1860s,24,11,3,1331,132,0.008264462809917356,0.08333333333333333,"kabaran, iii iii, yukan, tze, heen, mun"
1860s,25,9,5,1331,129,0.0067618332081141996,0.06976744186046512,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere"
1860s,26,6,5,1331,197,0.004507888805409466,0.030456852791878174,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols"
1860s,27,11,5,1331,145,0.008264462809917356,0.07586206896551724,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital"
