"from","to","author","subject_l2","subject_l1","master_id","title","year_start","year_end","time_window","subject_weight","subject_raw"
"A_1","S_6","Edkins, J.","Travel","Geography and Travel","MASTER_00128","Visit to the city of Confucius, A",1874,1874,"1868-1877",0.5,"Confucianism, travel and general descriptions"
"A_65","S_8","Dennys, N. B.","Music","Arts and Archaeology","MASTER_00129","Short notes on Chinese instruments of music *",1874,1874,"1868-1877",1,"music"
"A_66","S_24","Bushell, S. W.","Archaeology","Arts and Archaeology","MASTER_00130","Stone drums of the Chou Dynasty, The *",1874,1874,"1868-1877",1,"archaeology"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","MASTER_00131","Retrospect of events in China, 1873",1874,1874,"1868-1877",1,"contemporary history"
"A_55","S_7","Moule, G. E.","Language and languages","Literature and Language","MASTER_00132","Notes on Col. Yule's edition of Marco Polo's "" Quinsay "" *",1875,1875,"1868-1877",1,"literature and language"
"A_67","S_36","Camajee, D. N.","Religion","Religion and Philosophy","MASTER_00133","Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster",1875,1875,"1868-1877",1,"religion"
"A_68","S_3","Taintor, E. C.","Ethnology","Anthropology and Social Customs","MASTER_00134","The Aborigines of Northern Formosa",1875,1875,"1868-1877",0.5,"ethnology and anthropology"
"A_68","S_4","Taintor, E. C.","Anthropology","Anthropology and Social Customs","MASTER_00134","The Aborigines of Northern Formosa",1875,1875,"1868-1877",0.5,"ethnology and anthropology"
"A_48","S_1","Watters, T.","Buddhism","Religion and Philosophy","MASTER_00135","Notes on the "" Miao - fa - lien - hua - ching "", a Buddhist sutra in Chinese",1875,1875,"1868-1877",1,"Buddhism"
"A_69","S_18","Cordier, H.","History, Modern (20th century)","History and Chronology","MASTER_00136","Narrative of recent events in Tong - king",1875,1875,"1868-1877",1,"contemporary history"
"A_3","S_22","Macgowan, D. J.","Medicine","Natural Sciences","MASTER_00137","Notes on Chinese toxicology",1875,1875,"1868-1877",1,"medicine"
"A_70","S_37","Palladius, A.","Geography","Geography and Travel","MASTER_00138","Elucidations of Marco Polo's travels in North China, drawn from Chinese sources",1876,1876,"1868-1877",1,"geography"
"A_71","S_6","Holcombe, C.","Travel","Geography and Travel","MASTER_00139","Notes made on a tour through Shan - hsi and Shen - hsi",1876,1876,"1868-1877",1,"travel and general descriptions"
"A_29","S_3","Kingsmill, T. W.","Ethnology","Anthropology and Social Customs","MASTER_00140","Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history",1876,1876,"1868-1877",0.5,"ethnology and anthropology"
"A_29","S_4","Kingsmill, T. W.","Anthropology","Anthropology and Social Customs","MASTER_00140","Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history",1876,1876,"1868-1877",0.5,"ethnology and anthropology"
"A_72","S_3","Bretschneider, E.","Ethnology","Anthropology and Social Customs","MASTER_00141","Notices of the mediaeval geography and history of Central and Western Asia *",1876,1876,"1868-1877",0.25,"ethnology, anthropology, geography and history"
"A_72","S_4","Bretschneider, E.","Anthropology","Anthropology and Social Customs","MASTER_00141","Notices of the mediaeval geography and history of Central and Western Asia *",1876,1876,"1868-1877",0.25,"ethnology, anthropology, geography and history"
"A_72","S_37","Bretschneider, E.","Geography","Geography and Travel","MASTER_00141","Notices of the mediaeval geography and history of Central and Western Asia *",1876,1876,"1868-1877",0.25,"ethnology, anthropology, geography and history"
"A_72","S_30","Bretschneider, E.","History","History and Chronology","MASTER_00141","Notices of the mediaeval geography and history of Central and Western Asia *",1876,1876,"1868-1877",0.25,"ethnology, anthropology, geography and history"
"A_73","S_18","Little, A. J.","History, Modern (20th century)","History and Chronology","MASTER_00142","Retrospect of events in China, 1875",1876,1876,"1868-1877",1,"contemporary history"
"A_29","S_3","Kingsmill, T. W.","Ethnology","Anthropology and Social Customs","MASTER_00145","The Borderlands of geology and history",1877,1877,"1868-1877",0.25,"ethnology, anthropology, geology and zoology"
"A_29","S_4","Kingsmill, T. W.","Anthropology","Anthropology and Social Customs","MASTER_00145","The Borderlands of geology and history",1877,1877,"1868-1877",0.25,"ethnology, anthropology, geology and zoology"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","MASTER_00145","The Borderlands of geology and history",1877,1877,"1868-1877",0.25,"ethnology, anthropology, geology and zoology"
"A_29","S_12","Kingsmill, T. W.","Zoology","Natural Sciences","MASTER_00145","The Borderlands of geology and history",1877,1877,"1868-1877",0.25,"ethnology, anthropology, geology and zoology"
"A_74","S_30","Hobson, H. E.","History","History and Chronology","MASTER_00146","Fort Zelandia, and the Dutch occupation of Formosa",1877,1877,"1868-1877",1,"history"
"A_75","S_12","Mollendorf, P. G. von","Zoology","Natural Sciences","MASTER_00147","The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature",1877,1877,"1868-1877",1,"zoology"
"A_36","S_7","Martin, W. A. P.","Language and languages","Literature and Language","MASTER_00148","On the Styles of Chinese epistolary composition",1877,1877,"1868-1877",1,"literature and language"
"A_1","S_5","Edkins, J.","Meteorology","Natural Sciences","MASTER_00149","On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass",1877,1877,"1868-1877",0.5,"meteorology and navigation"
"A_1","S_39","Edkins, J.","Navigation","Geography and Travel","MASTER_00149","On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass",1877,1877,"1868-1877",0.5,"meteorology and navigation"
"A_58","S_25","Stent, G. C.","Manners and customs","Anthropology and Social Customs","MASTER_00150","Chinese eunuchs",1877,1877,"1868-1877",1,"social customs"
"A_45","S_25","Mayers, W. F.","Manners and customs","Anthropology and Social Customs","MASTER_00151","On the Stone figures at Chinese tombs and the offering of living sacrifices",1878,1878,"1878-1887",1,"social customs"
"A_76","S_7","Parker, E. H.","Language and languages","Literature and Language","MASTER_00152","The Comparative study of Chinese dialects",1878,1878,"1878-1887",1,"literature and language"
"A_77","S_5","Hosie, A.","Meteorology","Natural Sciences","MASTER_00153","Droughts in China, A. D. 620-1643",1878,1878,"1878-1887",1,"meteorology"
"A_77","S_29","Hosie, A.","Astronomy","Natural Sciences","MASTER_00154","Sunspots and sun - shadows observed in China, B. C. 28 - A. D. 1617",1878,1878,"1878-1887",1,"astronomy"
"A_29","S_36","Kingsmill, T. W.","Religion","Religion and Philosophy","MASTER_00155","The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """,1878,1878,"1878-1887",0.333333333333333,"religion, literature and language"
"A_29","S_33","Kingsmill, T. W.","Literature","Literature and Language","MASTER_00155","The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """,1878,1878,"1878-1887",0.333333333333333,"religion, literature and language"
"A_29","S_7","Kingsmill, T. W.","Language and languages","Literature and Language","MASTER_00155","The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """,1878,1878,"1878-1887",0.333333333333333,"religion, literature and language"
"A_78","S_5","Fritsche, H.","Meteorology","Natural Sciences","MASTER_00156","The Climate of Eastern Asia",1878,1878,"1878-1887",1,"meteorology"
"A_79","S_12","Fauvel, A. A.","Zoology","Natural Sciences","MASTER_00157","Alligators in China *",1879,1879,"1878-1887",1,"zoology"
"A_80","S_5","Schulze, F. W.","Meteorology","Natural Sciences","MASTER_00158","Periodical change of terrestrial magnetism *",1879,1879,"1878-1887",1,"meteorology"
"A_75","S_13","Mollendorf, P. G. von","Law","Politics, Government, and Law","MASTER_00159","The Family law of the Chinese and its comparative relations with that of other nations",1879,1879,"1878-1887",0.5,"law and social customs"
"A_75","S_25","Mollendorf, P. G. von","Manners and customs","Anthropology and Social Customs","MASTER_00159","The Family law of the Chinese and its comparative relations with that of other nations",1879,1879,"1878-1887",0.5,"law and social customs"
"A_29","S_35","Kingsmill, T. W.","Biography","History and Chronology","MASTER_00160","The story of Shun, the Emperor",1879,1879,"1878-1887",1,"biographical history and individuals of history"
"A_29","S_30","Kingsmill, T. W.","History","History and Chronology","MASTER_00161","The Intercourse of China with Central and Western Asia in the Second Century B.C.",1879,1879,"1878-1887",1,"history"
"A_81","S_2","Haas, J.","Numismatics","Arts and Archaeology","MASTER_00163","Siamese coinage *",1879,1879,"1878-1887",1,"coinage"
"A_72","S_19","Bretschneider, E.","Botany","Natural Sciences","MASTER_00164","Early European researches into the flora of China",1880,1880,"1878-1887",1,"botany"
"A_66","S_2","Bushell, S. W.","Numismatics","Arts and Archaeology","MASTER_00165","Coins of the present dynasty of China *",1880,1880,"1878-1887",1,"coinage"
"A_82","S_9","Balfour, F. H.","Philosophy","Religion and Philosophy","MASTER_00166","The "" Naturalistic "" philosophy of China",1880,1880,"1878-1887",1,"philosophy"
"A_83","S_10","Guppy, H. B.","Hydrology","Natural Sciences","MASTER_00167","Notes on the hydrology of the Yang - tse, the Yellow River, and the Pei - ho *",1881,1881,"1878-1887",1,"hydrology"
"A_83","S_20","Guppy, H. B.","Geology","Natural Sciences","MASTER_00168","Some notes on the geology of Takow, Formosa",1881,1881,"1878-1887",1,"geology"
"A_84","S_5","Dechevrens, Le P. M.","Meteorology","Natural Sciences","MASTER_00170","The Climate of Shanghai, its meteorological conditions",1881,1881,"1878-1887",1,"meteorology"
"A_85","S_7","Giles, H. A.","Language and languages","Literature and Language","MASTER_00171","Notes on Chinese composition",1882,1882,"1878-1887",1,"literature and language"
"A_83","S_20","Guppy, H. B.","Geology","Natural Sciences","MASTER_00172","On the geology of the neighbourhood of Nagasaki",1882,1882,"1878-1887",1,"geology"
"A_86","S_6","Anderson, G. C.","Travel","Geography and Travel","MASTER_00173","Notes on the south coast of Saghalien",1882,1882,"1878-1887",1,"travel and general descriptions"
"A_87","S_2","Toda, E.","Numismatics","Arts and Archaeology","MASTER_00174","Annam and its minor currency",1882,1882,"1878-1887",1,"coinage"
"A_88","S_40","Hirth, F.","Government","Politics, Government, and Law","MASTER_00175","The Hoppo - book of 1753",1882,1882,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_88","S_34","Hirth, F.","Economics","Economy, Trade, and Technology","MASTER_00175","The Hoppo - book of 1753",1882,1882,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_88","S_41","Hirth, F.","Political science--Philosophy","Politics, Government, and Law","MASTER_00175","The Hoppo - book of 1753",1882,1882,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_1","S_30","Edkins, J.","History","History and Chronology","MASTER_00176","What did the ancient Chinese know of the Greeks and Romans",1883,1883,"1878-1887",1,"history"
"A_89","S_25","Scherzer, F., trans. Gould, C.","Manners and customs","Anthropology and Social Customs","MASTER_00177","Corea",1883,1883,"1878-1887",1,"social customs"
"A_90","S_20","Kleinwachter, G.","Geology","Natural Sciences","MASTER_00178","Researches into the geology of Formosa *",1883,1883,"1878-1887",1,"geology"
"A_91","S_6","Imbault - Huart, C.","Travel","Geography and Travel","MASTER_00179","Fragmens d'un voyage dans l'interieur de la Chine",1883,1883,"1878-1887",1,"travel and general descriptions"
"A_92","S_6","Morrison, G. J.","Travel","Geography and Travel","MASTER_00180","Some notes of a trip to Corea, in July and August, 1883",1883,1883,"1878-1887",1,"travel and general descriptions"
"A_83","S_20","Guppy, H. B.","Geology","Natural Sciences","MASTER_00181","Notes on some dikes at the mouth of the Nankow pass *",1883,1883,"1878-1887",1,"geology"
"A_83","S_14","Guppy, H. B.","Agriculture","Natural Sciences","MASTER_00182","Samshu - brewing in North China",1883,1883,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_83","S_15","Guppy, H. B.","Industries","Economy, Trade, and Technology","MASTER_00182","Samshu - brewing in North China",1883,1883,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_83","S_16","Guppy, H. B.","Commerce","Economy, Trade, and Technology","MASTER_00182","Samshu - brewing in North China",1883,1883,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_73","S_6","Little, A. J.","Travel","Geography and Travel","MASTER_00183","Notes on Szechuen and the Yangtse valley",1883,1883,"1878-1887",1,"travel and general descriptions"
"A_42","S_12","Gardener, C. T.","Zoology","Natural Sciences","MASTER_00184","Animal, fossil, mineral and vegetable products of the consular district of Ichang",1884,1884,"1878-1887",0.333333333333333,"zoology, botany, and geology"
"A_42","S_19","Gardener, C. T.","Botany","Natural Sciences","MASTER_00184","Animal, fossil, mineral and vegetable products of the consular district of Ichang",1884,1884,"1878-1887",0.333333333333333,"zoology, botany, and geology"
"A_42","S_20","Gardener, C. T.","Geology","Natural Sciences","MASTER_00184","Animal, fossil, mineral and vegetable products of the consular district of Ichang",1884,1884,"1878-1887",0.333333333333333,"zoology, botany, and geology"
"A_76","S_6","Parker, E. H.","Travel","Geography and Travel","MASTER_00185","Journey in Chekiang, A",1884,1884,"1878-1887",1,"travel and general descriptions"
"A_76","S_6","Parker, E. H.","Travel","Geography and Travel","MASTER_00186","Journey in Fukien, A *",1884,1884,"1878-1887",1,"travel and general descriptions"
"A_76","S_6","Parker, E. H.","Travel","Geography and Travel","MASTER_00187","Journey from Foochow to Wenchow, through Central Fukien, A",1884,1884,"1878-1887",1,"travel and general descriptions"
"A_55","S_1","Moule, G. E.","Buddhism","Religion and Philosophy","MASTER_00188","Buddist sheet - tract, containing an apologue of human life, A *",1884,1884,"1878-1887",1,"Buddhism"
"A_77","S_31","Hosie, A.","Telecommunication","Economy, Trade, and Technology","MASTER_00189","Trade routes to Western China",1884,1884,"1878-1887",1,"communications"
"A_91","S_7","Imbault - Huart, C.","Language and languages","Literature and Language","MASTER_00190","Poete Chinois du XVIIIe siecle, Yuan Tseu - ts ' ai, sa vie et ses oeuvres, Un",1884,1884,"1878-1887",1,"literature and language"
"A_29","S_3","Kingsmill, T. W.","Ethnology","Anthropology and Social Customs","MASTER_00191","Serica of Ptolemy and its inhabitants, The",1884,1884,"1878-1887",0.333333333333333,"ethnology, anthropology and geography"
"A_29","S_4","Kingsmill, T. W.","Anthropology","Anthropology and Social Customs","MASTER_00191","Serica of Ptolemy and its inhabitants, The",1884,1884,"1878-1887",0.333333333333333,"ethnology, anthropology and geography"
"A_29","S_37","Kingsmill, T. W.","Geography","Geography and Travel","MASTER_00191","Serica of Ptolemy and its inhabitants, The",1884,1884,"1878-1887",0.333333333333333,"ethnology, anthropology and geography"
"A_93","S_7","H., F.","Language and languages","Literature and Language","MASTER_00193","Derivation of the German word "" huhnerauger """,1885,1885,"1878-1887",1,"literature and language"
"A_85","S_7","Giles, H. A.","Language and languages","Literature and Language","MASTER_00194","The Hung Lou M<U+00EA>ng, commonly called <U+201C> The Dream of the Red Chamber """,1885,1885,"1878-1887",1,"literature and language"
"A_94","S_37","Playfair, G. M. H.","Geography","Geography and Travel","MASTER_00196","The Mystery of Ta - ts ' in",1885,1885,"1878-1887",1,"geography"
"A_95","S_7","T., C. B.","Language and languages","Literature and Language","MASTER_00197","How snow inspired verse, and a rash order made the flowers bloom ("" Ching - hua- yuan, Chapter IV)",1885,1885,"1878-1887",1,"literature and language"
"A_96","S_7","Nocentini, L.","Language and languages","Literature and Language","MASTER_00199","Sinology in Italy",1885,1885,"1878-1887",1,"literature and language"
"A_88","S_14","Hirth, F.","Agriculture","Natural Sciences","MASTER_00200","Western appliances in the Chinese printing industry",1885,1885,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_88","S_15","Hirth, F.","Industries","Economy, Trade, and Technology","MASTER_00200","Western appliances in the Chinese printing industry",1885,1885,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_88","S_16","Hirth, F.","Commerce","Economy, Trade, and Technology","MASTER_00200","Western appliances in the Chinese printing industry",1885,1885,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_97","S_37","Phillips, G.","Geography","Geography and Travel","MASTER_00202","The Seaports of India and Ceylon",1885,1885,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_97","S_39","Phillips, G.","Navigation","Geography and Travel","MASTER_00202","The Seaports of India and Ceylon",1885,1885,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_97","S_6","Phillips, G.","Travel","Geography and Travel","MASTER_00202","The Seaports of India and Ceylon",1885,1885,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_98","S_7","Gabelentz, G. von der","Language and languages","Literature and Language","MASTER_00203","Some additions to my Chinese grammar",1885,1885,"1878-1887",1,"literature and language"
"A_3","S_7","Macgowan, D. J.","Language and languages","Literature and Language","MASTER_00205","Histrionic notes",1886,1886,"1878-1887",1,"literature and language"
"A_97","S_37","Phillips, G.","Geography","Geography and Travel","MASTER_00206","Seaports of India and Ceylon, as described by Chinese voyagers of the 15th Century, together with an account of Chinese navigation, The ; Part II *",1886,1886,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_97","S_39","Phillips, G.","Navigation","Geography and Travel","MASTER_00206","Seaports of India and Ceylon, as described by Chinese voyagers of the 15th Century, together with an account of Chinese navigation, The ; Part II *",1886,1886,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_97","S_6","Phillips, G.","Travel","Geography and Travel","MASTER_00206","Seaports of India and Ceylon, as described by Chinese voyagers of the 15th Century, together with an account of Chinese navigation, The ; Part II *",1886,1886,"1878-1887",0.333333333333333,"geography, navigation and travel"
"A_99","S_36","Macintyre, J.","Religion","Religion and Philosophy","MASTER_00207","Roadside religion in Manchuria",1886,1886,"1878-1887",1,"religion"
"A_94","S_32","Playfair, G. M. H.","Chronology, Historical","History and Chronology","MASTER_00208","Alphabetical list of the dynastic and reign - titles of Chinese Emperors",1886,1886,"1878-1887",1,"chronology"
"A_100","S_37","Allen, H. J.","Geography","Geography and Travel","MASTER_00209","Where was Ta - ts ' in ?",1886,1886,"1878-1887",1,"geography"
"A_88","S_37","Hirth, F.","Geography","Geography and Travel","MASTER_00210","Reply to Mr. H. J. Allen's paper "" Where was Ta - ts ' in ? """,1886,1886,"1878-1887",1,"geography"
"A_3","S_34","Macgowan, D. J.","Economics","Economy, Trade, and Technology","MASTER_00211","Chinese guilds or chambers of commerce and trades unions",1886,1886,"1878-1887",1,"economics"
"A_100","S_21","Allen, H. J.","Confucianism","Religion and Philosophy","MASTER_00212","Is Confucius a myth ?",1886,1886,"1878-1887",1,"Confucianism"
"A_1","S_7","Edkins, J.","Language and languages","Literature and Language","MASTER_00213","Philological importance of geographical terms in the "" Shi - ki """,1886,1886,"1878-1887",1,"literature and language"
"A_100","S_37","Allen, H. J.","Geography","Geography and Travel","MASTER_00214","Ta - ts ' in and dependent states",1886,1886,"1878-1887",1,"geography"
"A_88","S_37","Hirth, F.","Geography","Geography and Travel","MASTER_00215","Reply to Mr. H. J. Allen's paper "" Ta - ts ' in and dependent states "" *",1886,1886,"1878-1887",1,"geography"
"A_88","S_7","Hirth, F.","Language and languages","Literature and Language","MASTER_00216","Chinese equivalents of the letter "" R "" in foreign names",1886,1886,"1878-1887",1,"literature and language"
"A_85","S_7","Giles, H. A.","Language and languages","Literature and Language","MASTER_00217","The Family names",1886,1886,"1878-1887",1,"literature and language"
"A_76","S_30","Parker, E. H.","History","History and Chronology","MASTER_00218","Manchu relations with Tibet, or Si - tsang",1886,1886,"1878-1887",1,"history"
"A_101","S_7","Legge, J.","Language and languages","Literature and Language","MASTER_00219","Defense of the trans. of a passage in the "" Tsochwan",1886,1886,"1878-1887",1,"literature and language"
"A_93","S_7","H., F.","Language and languages","Literature and Language","MASTER_00221","Pen - ts ' ao - meng - ch'uan",1886,1886,"1878-1887",1,"literature and language"
"A_102","S_6","Carles, W. R.","Travel","Geography and Travel","MASTER_00222","Corea",1886,1886,"1878-1887",1,"travel and general descriptions"
"A_76","S_38","Parker, E. H.","Military art and science","Military","MASTER_00223","The Military organization of China prior to 1842, as described by Wei Yuan",1887,1887,"1878-1887",1,"military"
"A_103","S_20","Becher, H. M.","Geology","Natural Sciences","MASTER_00224","Notes on the mineral resources of Eastern Shantung",1887,1887,"1878-1887",1,"geology"
"A_88","S_40","Hirth, F.","Government","Politics, Government, and Law","MASTER_00226","Notes on the early history of the salt monopoly in China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_88","S_34","Hirth, F.","Economics","Economy, Trade, and Technology","MASTER_00226","Notes on the early history of the salt monopoly in China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_88","S_41","Hirth, F.","Political science--Philosophy","Politics, Government, and Law","MASTER_00226","Notes on the early history of the salt monopoly in China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_76","S_40","Parker, E. H.","Government","Politics, Government, and Law","MASTER_00227","The Salt revenue of China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_76","S_34","Parker, E. H.","Economics","Economy, Trade, and Technology","MASTER_00227","The Salt revenue of China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_76","S_41","Parker, E. H.","Political science--Philosophy","Politics, Government, and Law","MASTER_00227","The Salt revenue of China",1887,1887,"1878-1887",0.333333333333333,"government, political economy and political theory"
"A_104","S_14","Zwehtkoff, P., Trans. Carles, W. R.","Agriculture","Natural Sciences","MASTER_00228","Remarks on the production of salt in China",1887,1887,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_104","S_15","Zwehtkoff, P., Trans. Carles, W. R.","Industries","Economy, Trade, and Technology","MASTER_00228","Remarks on the production of salt in China",1887,1887,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_104","S_16","Zwehtkoff, P., Trans. Carles, W. R.","Commerce","Economy, Trade, and Technology","MASTER_00228","Remarks on the production of salt in China",1887,1887,"1878-1887",0.333333333333333,"agriculture, industry, and trade"
"A_96","S_32","Nocentini, L.","Chronology, Historical","History and Chronology","MASTER_00229","Names of the sovereigns of the old Corean states, etc.",1887,1887,"1878-1887",1,"chronology"
"A_88","S_14","Hirth, F.","Agriculture","Natural Sciences","MASTER_00230","Ancient porcelain : a study in Chinese mediaeval industry and trade",1887,1887,"1878-1887",0.25,"agriculture, industry, trade and porcelain"
"A_88","S_15","Hirth, F.","Industries","Economy, Trade, and Technology","MASTER_00230","Ancient porcelain : a study in Chinese mediaeval industry and trade",1887,1887,"1878-1887",0.25,"agriculture, industry, trade and porcelain"
"A_88","S_16","Hirth, F.","Commerce","Economy, Trade, and Technology","MASTER_00230","Ancient porcelain : a study in Chinese mediaeval industry and trade",1887,1887,"1878-1887",0.25,"agriculture, industry, trade and porcelain"
"A_88","S_42","Hirth, F.","Porcelain","Arts and Archaeology","MASTER_00230","Ancient porcelain : a study in Chinese mediaeval industry and trade",1887,1887,"1878-1887",0.25,"agriculture, industry, trade and porcelain"
"A_88","S_11","Hirth, F.","Education","Education","MASTER_00231","The Chinese Oriental College",1887,1887,"1878-1887",0.333333333333333,"education, literature and language"
"A_88","S_33","Hirth, F.","Literature","Literature and Language","MASTER_00231","The Chinese Oriental College",1887,1887,"1878-1887",0.333333333333333,"education, literature and language"
"A_88","S_7","Hirth, F.","Language and languages","Literature and Language","MASTER_00231","The Chinese Oriental College",1887,1887,"1878-1887",0.333333333333333,"education, literature and language"
"A_76","S_7","Parker, E. H.","Language and languages","Literature and Language","MASTER_00232","Extracts from the Chinese works regarding the writing of the Ju - chih and Kitan Tartars *",1887,1887,"1878-1887",1,"literature and language"
"A_105","S_19","Henry, A.","Botany","Natural Sciences","MASTER_00233","Chinese names of plants",1887,1887,"1878-1887",1,"botany"
"A_102","S_30","Carles, W. R.","History","History and Chronology","MASTER_00234","A Corean monument to Manchu clemency",1888,1888,"1888-1897",1,"history"
"A_55","S_43","Moule, G. E.","Taoism","Religion and Philosophy","MASTER_00235","A guide to True Vacuity",1888,1888,"1888-1897",1,"Taoism"
"A_97","S_30","Phillips, G.","History","History and Chronology","MASTER_00236","Changchow, the capital of Funkien in Mongol times",1888,1888,"1888-1897",1,"history"
"A_74","S_1","Hobson, H. E.","Buddhism","Religion and Philosophy","MASTER_00237","The Porcelain Pagoda of Nanking",1888,1888,"1888-1897",0.5,"Buddhism, Architecture"
"A_74","S_28","Hobson, H. E.","Architecture","Arts and Archaeology","MASTER_00237","The Porcelain Pagoda of Nanking",1888,1888,"1888-1897",0.5,"Buddhism, Architecture"
"A_106","S_14","Jamieson, G.","Agriculture","Natural Sciences","MASTER_00238","Tenure of land in China and the condition of the rural population",1888,1888,"1888-1897",0.25,"agriculture, industry, trade and law"
"A_106","S_15","Jamieson, G.","Industries","Economy, Trade, and Technology","MASTER_00238","Tenure of land in China and the condition of the rural population",1888,1888,"1888-1897",0.25,"agriculture, industry, trade and law"
"A_106","S_16","Jamieson, G.","Commerce","Economy, Trade, and Technology","MASTER_00238","Tenure of land in China and the condition of the rural population",1888,1888,"1888-1897",0.25,"agriculture, industry, trade and law"
"A_106","S_13","Jamieson, G.","Law","Politics, Government, and Law","MASTER_00238","Tenure of land in China and the condition of the rural population",1888,1888,"1888-1897",0.25,"agriculture, industry, trade and law"
"A_107","S_10","Moore","Hydrology","Natural Sciences","MASTER_00239","The Bore of the Tsien - tang Kiang (Hang - chau Bay)",1888,1888,"1888-1897",1,"hydrology"
"A_108","S_25","Volpicelli, Z. H.","Manners and customs","Anthropology and Social Customs","MASTER_00240","Chinese chess *",1888,1888,"1888-1897",1,"social customs"
"A_75","S_7","Mollendorf, P. G. von","Language and languages","Literature and Language","MASTER_00241","Essay on Manchu literature",1889,1890,"1888-1897",1,"literature and language"
"A_109","S_2","Morse, H. B.","Numismatics","Arts and Archaeology","MASTER_00242","Currency and measures in China",1889,1890,"1888-1897",0.5,"coinage and social customs"
"A_109","S_25","Morse, H. B.","Manners and customs","Anthropology and Social Customs","MASTER_00242","Currency and measures in China",1889,1890,"1888-1897",0.5,"coinage and social customs"
"A_110","S_30","Faber, E.","History","History and Chronology","MASTER_00243","Prehistoric China",1889,1890,"1888-1897",0.2,"history, literature, language, astronomy and religion"
"A_110","S_33","Faber, E.","Literature","Literature and Language","MASTER_00243","Prehistoric China",1889,1890,"1888-1897",0.2,"history, literature, language, astronomy and religion"
"A_110","S_7","Faber, E.","Language and languages","Literature and Language","MASTER_00243","Prehistoric China",1889,1890,"1888-1897",0.2,"history, literature, language, astronomy and religion"
"A_110","S_29","Faber, E.","Astronomy","Natural Sciences","MASTER_00243","Prehistoric China",1889,1890,"1888-1897",0.2,"history, literature, language, astronomy and religion"
"A_110","S_36","Faber, E.","Religion","Religion and Philosophy","MASTER_00243","Prehistoric China",1889,1890,"1888-1897",0.2,"history, literature, language, astronomy and religion"
"A_1","S_28","Edkins, J.","Architecture","Arts and Archaeology","MASTER_00244","Chinese architecture",1889,1890,"1888-1897",1,"architecture"
"A_76","S_23","Parker, E. H.","Christianity","Religion and Philosophy","MASTER_00245","Notes on the Nestorians in China",1889,1890,"1888-1897",1,"Christianity"
"A_111","S_28","Fries, S. R. von","Architecture","Arts and Archaeology","MASTER_00246","The "" Tent theory "" of Chinese architecture",1889,1890,"1888-1897",1,"architecture"
"A_112","S_12","Hallifax, T. E.","Zoology","Natural Sciences","MASTER_00247","Note on the comparative longevity of males and females in Japan",1889,1890,"1888-1897",1,"zoology"
"A_110","S_19","Faber, E.","Botany","Natural Sciences","MASTER_00250","General remarks on "" Botanicon Sinicum """,1890,1891,"1888-1897",1,"botany"
"A_113","S_3","Fraser, E. H.","Ethnology","Anthropology and Social Customs","MASTER_00251","The Fish - skin Tartars",1891,1892,"1888-1897",0.5,"ethnology and anthropology"
"A_113","S_4","Fraser, E. H.","Anthropology","Anthropology and Social Customs","MASTER_00251","The Fish - skin Tartars",1891,1892,"1888-1897",0.5,"ethnology and anthropology"
"A_29","S_29","Kingsmill, T. W.","Astronomy","Natural Sciences","MASTER_00252","A Comparative table of the ancient lunar asterisms",1891,1892,"1888-1897",1,"astronomy"
"A_108","S_25","Volpicelli, Z. H.","Manners and customs","Anthropology and Social Customs","MASTER_00253","Wei - ch ' i *",1891,1892,"1888-1897",1,"social customs"
