master_id,filename,title,year,decade,L1,L2,model_include,model_exclusion_reason,model_unigram_count_before_df,model_token_count_before_df,model_token_count_after_df,cleaned_full_text_path,analysis_text_path
,1869_08.txt,,1869,1860s,,,True,,1397,4188,1105,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_08.txt
MASTER_00106,1869_09.txt,Chinese chemical manufactures,1869,1860s,Natural Sciences,Agriculture,True,,1656,4965,1235,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_09.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_09.txt
MASTER_00107,1869_10.txt,Journal of a mission to Lewchew in 1801,1869,1860s,History and Chronology,History,True,,4419,13254,3481,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_10.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_10.txt
MASTER_00259,1869_11.txt,Wei - ch ' i *,1891,1890s,Anthropology and Social Customs,Manners and customs,True,,875,2622,735,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_11.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_11.txt
MASTER_00109,1869_12_retrospects_of_events.txt,"Retrospect of events in China and Japan, 1869, 1870",1869,1860s,History and Chronology,"History, Modern (20th century)",True,,3668,11001,2986,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1869_12_retrospects_of_events.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1869_12_retrospects_of_events.txt
MASTER_00126,1874_01.txt,Recollections of China prior to 1840,1873,1870s,History and Chronology,"History, Modern (20th century)",True,,3444,10329,2871,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_01.txt
MASTER_00127,1874_02.txt,"The legend of Wen Wang, founder of the dynasty of the Chows in China",1873,1870s,History and Chronology,Biography,True,,1321,3960,981,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_02.txt
MASTER_00128,1874_03.txt,Extracts from the history of Shanghai,1873,1870s,History and Chronology,History,True,,2479,7434,2168,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_03.txt
MASTER_00129,1874_04.txt,Chinese fox - myths,1873,1870s,Anthropology and Social Customs,Mythology,True,,3676,11025,2856,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_04.txt
MASTER_00130,1874_05.txt,Brief account of the French Expedition of 1866 into Indo - China,1873,1870s,History and Chronology,"History, Modern (20th century)",True,,1737,5208,1381,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_05.txt
MASTER_00131,1874_06.txt,"Visit to the city of Confucius, A",1873,1870s,Religion and Philosophy,Confucianism,True,,2325,6972,1971,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_06.txt
MASTER_00132,1874_07.txt,Short notes on Chinese instruments of music *,1873,1870s,Arts and Archaeology,Music,True,,4258,12771,3576,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_07.txt
MASTER_00133,1874_08.txt,"Stone drums of the Chou Dynasty, The *",1873,1870s,Arts and Archaeology,Archaeology,True,,4262,12783,3678,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_08.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_08.txt
MASTER_00134,1874_09_retrospects_of_events.txt,"Retrospect of events in China, 1873",1873,1870s,History and Chronology,"History, Modern (20th century)",True,,43755,131262,33410,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1874_09_retrospects_of_events.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1874_09_retrospects_of_events.txt
MASTER_00154,1878_01.txt,On the Stone figures at Chinese tombs and the offering of living sacrifices,1877,1870s,Anthropology and Social Customs,Manners and customs,True,,4247,12738,3659,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_01.txt
MASTER_00155,1878_02.txt,The Comparative study of Chinese dialects,1877,1870s,Literature and Language,Literature,True,,3833,11496,2762,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_02.txt
MASTER_00156,1878_03.txt,"Droughts in China, A. D. 620-1643",1877,1870s,Natural Sciences,Meteorology,True,,3284,9849,3517,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_03.txt
MASTER_00157,1878_04.txt,"Sunspots and sun - shadows observed in China, B. C. 28 - A. D. 1617",1877,1870s,Natural Sciences,Astronomy,True,,346,1035,273,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_04.txt
MASTER_00158,1878_05.txt,"The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """,1877,1870s,Religion and Philosophy,Religion,True,,5260,15777,4086,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_05.txt
