L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Art,3,pictures,0.11570886662557363,22,8,0.38095238095238093
Art,4,porcelain,0.11266637111573675,234,11,0.5238095238095238
Art,5,wares,0.11073922647878284,216,5,0.23809523809523808
Art,6,greek,0.10769062290979128,84,5,0.23809523809523808
Art,7,rubbings,0.09286572342441186,13,4,0.19047619047619047
Art,8,city,0.08723529412954069,238,12,0.5714285714285714
Art,9,egypt,0.08381072866916288,58,7,0.3333333333333333
Art,10,temple,0.07984381291940659,318,15,0.7142857142857143
Art,11,dial,0.07831166798681861,21,2,0.09523809523809523
Art,12,shan,0.07692848023797422,255,16,0.7619047619047619
Art,13,inscriptions,0.07640865080357097,83,13,0.6190476190476191
Art,14,stone,0.07310466316027364,261,16,0.7619047619047619
Art,15,buddhist,0.07269004153144319,157,14,0.6666666666666666
Art,16,colour,0.06989897778970333,178,13,0.6190476190476191
Art,17,nature,0.06884321131125448,125,15,0.7142857142857143
Art,18,mountain,0.06337664471436345,175,15,0.7142857142857143
Art,19,mongolian,0.059470502089368056,7,2,0.09523809523809523
Art,20,human,0.05915347285521087,76,17,0.8095238095238095
Art,21,copper,0.058169444549869595,118,6,0.2857142857142857
Art,22,sir,0.0572569063907917,34,4,0.19047619047619047
Art,23,coins,0.057226797199555264,28,3,0.14285714285714285
Art,24,characters,0.055775521464457224,95,17,0.8095238095238095
Art,25,written,0.055303061370213485,71,16,0.7619047619047619
Christianity,1,christ,0.12516171189726663,89,5,0.625
Christianity,2,picture,0.08404855494494941,48,4,0.5
Christianity,3,bishop,0.0816203114370701,95,2,0.25
Christianity,4,professor_giles,0.06464390731129262,34,3,0.375
Christianity,5,priest,0.0635312115796266,150,6,0.75
Christianity,6,giles,0.06004566680071087,37,4,0.5
Christianity,7,nestorian,0.059178531557793124,70,7,0.875
Christianity,8,professor,0.057017367564448695,35,4,0.5
Christianity,9,buddha,0.049221081698747615,40,6,0.75
Christianity,10,confucius,0.04897516631344106,35,5,0.625
Christianity,11,tzu,0.04660088597567693,30,4,0.5
Christianity,12,della,0.04602950409214276,50,2,0.25
Christianity,13,lao,0.04449391791600415,27,4,0.5
Christianity,14,lao_tzu,0.04415500934291938,26,4,0.5
Christianity,15,priests,0.04272110908276175,57,8,1.0
Christianity,16,marco,0.041431322985387764,72,3,0.375
Christianity,17,jesuits,0.03773875509325945,34,1,0.125
Christianity,18,polo,0.03562705947187389,62,3,0.375
Christianity,19,marco_polo,0.0350466331205225,61,3,0.375
Christianity,20,khan,0.034585498490026616,58,3,0.375
Christianity,21,kneeling,0.03220518539760085,19,4,0.5
Christianity,22,portraits,0.03190537804622763,19,4,0.5
Christianity,23,went,0.031144116658648212,56,7,0.875
Christianity,24,city,0.030404740155171122,70,5,0.625
Christianity,25,chou,0.03018705239051487,50,3,0.375
Decorative arts,1,wood,0.05431174764525284,63,1,0.3333333333333333
Decorative arts,2,art,0.046044767572207386,78,3,1.0
Decorative arts,3,design,0.045579654150567195,87,3,1.0
Decorative arts,4,silk,0.03560984149590361,53,1,0.3333333333333333
Decorative arts,5,bronze,0.035344584745195744,31,2,0.6666666666666666
Decorative arts,6,carving,0.03448364929857323,40,1,0.3333333333333333
Decorative arts,7,brass,0.027481198602415706,18,1,0.3333333333333333
Decorative arts,8,decorative,0.025615002517002265,48,3,1.0
Decorative arts,9,forms,0.023896972475809946,40,3,1.0
Decorative arts,10,colour,0.021844993267248505,46,3,1.0
Decorative arts,11,metal,0.020238794121982772,24,3,1.0
Decorative arts,12,fine,0.01899585791415094,35,3,1.0
Decorative arts,13,embroidery,0.017518145932807056,34,2,0.6666666666666666
Decorative arts,14,stitch,0.017468978847047054,26,1,0.3333333333333333
Decorative arts,15,beautiful,0.016233908143832316,32,3,1.0
Decorative arts,16,decoration,0.015147217303799535,27,3,1.0
Decorative arts,17,chinese_art,0.015121554637255652,21,3,1.0
Decorative arts,18,panel,0.014211833948696795,23,2,0.6666666666666666
Decorative arts,19,thread,0.014109559837999545,21,1,0.3333333333333333
Decorative arts,20,ming,0.014083605131293087,13,2,0.6666666666666666
Decorative arts,21,textile,0.01276579223438054,19,1,0.3333333333333333
Decorative arts,22,gold_thread,0.01276579223438054,19,1,0.3333333333333333
Decorative arts,23,relief,0.01266235642271998,17,2,0.6666666666666666
Decorative arts,24,worked,0.0122814821830375,26,3,1.0
Decorative arts,25,designs,0.012053806363600879,25,3,1.0
Bronzes,1,bronze,0.03104484471390946,39,2,1.0
Bronzes,2,bronzes,0.021781886530087967,30,2,1.0
Bronzes,3,forms,0.020741343043501316,28,2,1.0
Bronzes,4,ideas,0.019211393564068435,19,1,0.5
Bronzes,5,tripod,0.017189141609955966,17,1,0.5
Bronzes,6,ideographs,0.015166889655843502,15,1,0.5
Bronzes,7,inscriptions,0.014155763678787266,14,1,0.5
Bronzes,8,earliest,0.012827673978753115,17,2,1.0
Bronzes,9,unicorn,0.012661847820794273,11,1,0.5
Bronzes,10,wei,0.012661847820794273,11,1,0.5
Bronzes,11,objects,0.0121335117246748,12,1,0.5
Bronzes,12,mind,0.0121335117246748,12,1,0.5
Bronzes,13,writing,0.0121335117246748,12,1,0.5
Bronzes,14,ting,0.01161036772547564,16,2,1.0
Bronzes,15,chou,0.011122385747618568,11,1,0.5
Bronzes,16,statues,0.010359693671558952,9,1,0.5
Bronzes,17,tsung,0.010359693671558952,9,1,0.5
Bronzes,18,tripods,0.010111259770562334,10,1,0.5
Bronzes,19,shang,0.010111259770562334,10,1,0.5
Bronzes,20,decorated,0.009728433469440663,12,2,1.0
Bronzes,21,yuan,0.009230551676594843,12,2,1.0
Bronzes,22,shapes,0.009100133793506101,9,1,0.5
Bronzes,23,suggest,0.009100133793506101,9,1,0.5
Bronzes,24,specimens,0.009031398959456514,12,2,1.0
Bronzes,25,vessels,0.00893182260088735,12,2,1.0
Sculpture,1,han,0.015551537070524412,43,1,1.0
Sculpture,2,pillars,0.009403254972875226,26,1,1.0
Sculpture,3,ssu,0.009041591320072333,25,1,1.0
