L2,rank,term,tfidf_score
Confucianism,1,confucius,0.047538261178714666
Confucianism,2,one,0.02536355904080934
Confucianism,3,altar,0.024466114700770276
Confucianism,4,heaven,0.023421122444360183
Confucianism,5,chinese,0.022340871349645627
Confucianism,6,sage,0.020374867715729494
Confucianism,7,temple,0.01789680525794082
Confucianism,8,two,0.017088910061904484
Confucianism,9,tsi,0.01591302170908046
Confucianism,10,north,0.015458845304582901
Confucianism,11,south,0.014800707728596998
Confucianism,12,east,0.01476568706614222
Confucianism,13,west,0.014609186356881408
Confucianism,14,great,0.014542797668334804
Confucianism,15,paper,0.014469861877161568
Confucianism,16,three,0.014073126754659122
Confucianism,17,court,0.013287976112535696
Confucianism,18,china,0.01285571677752408
Confucianism,19,emperor,0.01272062349564369
Confucianism,20,said,0.012650594116635548
Confucianism,21,would,0.012548180060751056
Confucianism,22,terrace,0.012325931744012855
Confucianism,23,hall,0.012253774840135625
Confucianism,24,also,0.011976878640461647
Confucianism,25,first,0.011655986291948814
Confucianism,26,may,0.011634630491130966
Confucianism,27,spirits,0.011601712638186032
Confucianism,28,time,0.011469780621334634
Confucianism,29,worship,0.011406843835348238
Confucianism,30,men,0.010769212746924153
Decorative arts,1,chinese,0.0434428244740148
Decorative arts,2,wood,0.03123255795795921
Decorative arts,3,work,0.028964577320189457
Decorative arts,4,bronze,0.026838926316514914
Decorative arts,5,art,0.021772043329437767
Decorative arts,6,design,0.020482802829503446
Decorative arts,7,carving,0.01983019552886299
Decorative arts,8,used,0.018856994668579645
Decorative arts,9,brass,0.016103355789908947
Decorative arts,10,decorative,0.013979570185808251
Decorative arts,11,metal,0.0137200156720632
Decorative arts,12,china,0.012929452140145965
Decorative arts,13,forms,0.012860522005440316
Decorative arts,14,dynasty,0.010107582651609812
Decorative arts,15,made,0.00960890568359272
Decorative arts,16,fine,0.009394032266936999
Decorative arts,17,often,0.008972368446164329
Decorative arts,18,panel,0.00842783309976677
Decorative arts,19,one,0.008189887926785868
Decorative arts,20,ming,0.007707376983846324
Decorative arts,21,bronzes,0.007354643297779304
Decorative arts,22,though,0.007277630150534882
Decorative arts,23,decoration,0.007277630150534882
Decorative arts,24,two,0.006985743586634739
Decorative arts,25,relief,0.006847883317223441
Decorative arts,26,show,0.006710023047812142
Decorative arts,27,may,0.006572162778400843
Decorative arts,28,beautiful,0.006357289361745122
Decorative arts,29,motive,0.006357289361745122
Decorative arts,30,form,0.0062883592270394735
East Asian languages,1,manchu,0.12135666856199934
East Asian languages,2,wen,0.10727373647667485
East Asian languages,3,classifier,0.1054367106444991
East Asian languages,4,shuo,0.09777013304593528
East Asian languages,5,radical,0.07436324572752888
East Asian languages,6,ang,0.06444711089078435
East Asian languages,7,form,0.06090063207909713
East Asian languages,8,hsi,0.057717337440074755
East Asian languages,9,chinese,0.056963091816167474
East Asian languages,10,new,0.052546622054285674
East Asian languages,11,found,0.04697949905055457
East Asian languages,12,plates,0.04045946069782467
East Asian languages,13,characters,0.038305639203315735
East Asian languages,14,system,0.03731257107466002
East Asian languages,15,language,0.036080476126374675
East Asian languages,16,character,0.0342290390882414
East Asian languages,17,modern,0.03282154179966155
East Asian languages,18,given,0.030151377357369363
East Asian languages,19,words,0.028789627835420648
East Asian languages,20,old,0.02848149824661331
East Asian languages,21,one,0.028218505446121953
East Asian languages,22,terms,0.02707886824087884
East Asian languages,23,dictionary,0.02693481302621933
East Asian languages,24,forms,0.026661977266399246
East Asian languages,25,sound,0.025235190439321292
East Asian languages,26,use,0.02422261213606686
East Asian languages,27,meaning,0.024168333129221654
East Asian languages,28,writing,0.024110335619761343
East Asian languages,29,chalfant,0.02193083581405581
East Asian languages,30,english,0.02140278833877654
Economics,1,taels,0.1517689304976292
Economics,2,salt,0.11607432168138816
Economics,3,associ,0.09036453214453512
Economics,4,gold,0.0857114432984595
Economics,5,union,0.0824184424964712
Economics,6,soci,0.07185613399444961
Economics,7,sommes,0.06750121678266478
Economics,8,year,0.06441508322290822
Economics,9,vers,0.05879138235909514
Economics,10,chinese,0.05274945980686069
Economics,11,tls,0.052281152102455354
Economics,12,china,0.05086714740872253
Economics,13,tax,0.04476227166310698
Economics,14,tangut,0.04462904310411027
Economics,15,shanghai,0.04347823245373071
Economics,16,kiang,0.04309011222234062
Economics,17,silver,0.04200574914720788
