from,to,author,subject_l2,subject_l1,time_window,article_count,weight,first_year,last_year,titles
A_44,S_30,"Mayers, W. F.",Religion,Religion and Philosophy,1868-1877,1,1,1869,1870,"On Wen - ch'ang, the god of literature, his history and worship"
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,1878-1887,1,1,1884,1884,"Serica of Ptolemy and its inhabitants, The"
A_80,S_20,"Rhein, J.",Antiquities,Arts and Archaeology,1878-1887,1,1,1879,1879,Rock inscriptions at the north side of Yentai Hill *
A_64,S_2,"Bushell, S. W.",Numismatics,Arts and Archaeology,1878-1887,1,1,1880,1880,Coins of the present dynasty of China *
A_81,S_2,"Haas, J.",Numismatics,Arts and Archaeology,1878-1887,1,1,1879,1879,Siamese coinage *
A_87,S_2,"Toda, E.",Numismatics,Arts and Archaeology,1878-1887,1,1,1882,1882,Annam and its minor currency
A_88,S_34,"Hirth, F.",Porcelain,Arts and Archaeology,1878-1887,1,1,1887,1887,Ancient porcelain : a study in Chinese mediaeval industry and trade
A_3,S_28,"Macgowan, D. J.",Economics,"Economy, Trade, and Technology",1878-1887,1,1,1886,1886,Chinese guilds or chambers of commerce and trades unions
A_74,S_28,"Parker, E. H.",Economics,"Economy, Trade, and Technology",1878-1887,1,1,1887,1887,The Salt revenue of China
A_88,S_10,"Hirth, F.",Education,Education,1878-1887,1,1,1887,1887,The Chinese Oriental College
A_99,S_31,"Allen, H. J.",Geography,Geography and Travel,1878-1887,2,2,1886,1886,Where was Ta - ts ' in ? | Ta - ts ' in and dependent states
A_88,S_31,"Hirth, F.",Geography,Geography and Travel,1878-1887,2,2,1886,1886,"Reply to Mr. H. J. Allen's paper "" Where was Ta - ts ' in ? "" | Reply to Mr. H. J. Allen's paper "" Ta - ts ' in and dependent states "" *"
A_96,S_31,"Phillips, G.",Geography,Geography and Travel,1878-1887,2,2,1885,1886,"The Seaports of India and Ceylon | Seaports of India and Ceylon, as described by Chinese voyagers of the 15th Century, together with an account of Chinese navigation, The ; Part II *"
A_93,S_31,"Playfair, G. M. H.",Geography,Geography and Travel,1878-1887,1,1,1885,1885,The Mystery of Ta - ts ' in
A_86,S_5,"Anderson, G. C.",Travel,Geography and Travel,1878-1887,1,1,1882,1882,Notes on the south coast of Saghalien
A_101,S_5,"Carles, W. R.",Travel,Geography and Travel,1878-1887,1,1,1886,1886,Corea
A_90,S_5,"Imbault-Huart, C.",Travel,Geography and Travel,1878-1887,1,1,1883,1883,Fragmens d'un voyage dans l'interieur de la Chine
A_100,S_5,"Legge, J.",Travel,Geography and Travel,1878-1887,1,1,1886,1886,"Defense of the trans. of a passage in the "" Tsochwan"
A_71,S_5,"Little, A. J.",Travel,Geography and Travel,1878-1887,1,1,1883,1883,Notes on Szechuen and the Yangtse valley
A_91,S_5,"Morrison, G. J.",Travel,Geography and Travel,1878-1887,1,1,1883,1883,"Some notes of a trip to Corea, in July and August, 1883"
A_74,S_5,"Parker, E. H.",Travel,Geography and Travel,1878-1887,3,3,1884,1884,"Journey in Chekiang, A | Journey in Fukien, A * | Journey from Foochow to Wenchow, through Central Fukien, A"
A_29,S_29,"Kingsmill, T. W.",Biography,History and Chronology,1878-1887,1,1,1879,1879,"The story of Shun, the Emperor"
A_95,S_27,"Nocentini, L.","Chronology, Historical",History and Chronology,1878-1887,1,1,1887,1887,"Names of the sovereigns of the old Corean states, etc."
A_93,S_27,"Playfair, G. M. H.","Chronology, Historical",History and Chronology,1878-1887,1,1,1886,1886,Alphabetical list of the dynastic and reign - titles of Chinese Emperors
A_1,S_26,"Edkins, J.",History,History and Chronology,1878-1887,1,1,1883,1883,What did the ancient Chinese know of the Greeks and Romans
A_29,S_26,"Kingsmill, T. W.",History,History and Chronology,1878-1887,1,1,1879,1879,The Intercourse of China with Central and Western Asia in the Second Century B.C.
A_74,S_26,"Parker, E. H.",History,History and Chronology,1878-1887,1,1,1886,1886,"Manchu relations with Tibet, or Si - tsang"
A_92,S_33,"H., F.",Language and languages,Literature and Language,1878-1887,1,1,1885,1885,"Derivation of the German word "" huhnerauger """
A_1,S_6,"Edkins, J.",Literature,Literature and Language,1878-1887,1,1,1886,1886,"Philological importance of geographical terms in the "" Shi - ki """
