master_id,year,volume,author,page,page_original,content_page_number,subject,title,year_start,year_end,Article?,In PDF?,notes,url,article_id,source,In Index?,need to check subject?,toc_source_pdf
MASTER_00110,1869-70,NS 6,North China Daily News,,,,Manners and customs,Example of Chinese torture,1869,1870,,n,,,,,,,v.6-7 1869-72.pdf
MASTER_00111,1871-72,NS 7,"Mayers, W. F.",1,q,,History,A Historical and statistical sketch of the island of Hainan,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00112,1871-72,NS 7,"Swinhoe, R.",25,25-40,,Ethnology,The Aborigines of Hainan,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00113,1871-72,NS 7,"Swinhoe, R.",41,41-92,,Travel,Narrative of an exploring visit to Hainan,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00114,1871-72,NS 7,"Stent, G. C.",93,93-136,,Music,Chinese lyrics,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00115,1871-72,NS 7,"Kingsmill, T. W.",137,137-146,,History,"The Mythical origin of the Chow or Djow Dynasty, as set forth in the ""Shoo-king"" ",1871,1872,,,"THE CHOW OR DJOW DYNASTY, Zhou Dynasty, 周朝; THE SHOO-KING. Shujing or Shangshu, 《书经》或作《尚书》",,,,,,v.6-7 1869-72.pdf
MASTER_00116,1871-72,NS 7,"Moule, G. E.",147,147-164,,Science,The Obligations of China to Europe in the matter of physical science acknowledged by eminent Chinese,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00117,1871-72,NS 7,"Watters, T.",165,165-182,,"History, Ancient",The Life and works of Han Yu or Han Wen-Kung,1871,1872,,,"HAN Yu OR HAN WeN-KUNG, Han Yu or Han Wengong, 韩愈，人称韩文公",,VII_1871_09,source_a,,,v.6-7 1869-72.pdf
MASTER_00118,1871-72,NS 7,"Stent, G. C.",183,183-196,,Mythology,Chinese legends,1871,1872,,,,,VII_1871_10,source_a,,,v.6-7 1869-72.pdf
MASTER_00119,1871-72,NS 7,"Thompson, J.",197,197-204,,Archaeology,On the Antiquities of Cambodia,1871,1872,,,,,VII_1871_11,source_a,,,v.6-7 1869-72.pdf
MASTER_00120,1871-72,NS 7,"David, Le P. A.",205,205-234,,Zoology,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale,1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00121,1871-72,NS 7,"Macgowan, D. J.",235,235-236,,Medicine,Chinese use of shad in consumption and iodine Plants in scrofula,1871,1872,,,,,VII_1871_13,source_a,,,v.6-7 1869-72.pdf
MASTER_00122,1871-72,NS 7,"Macgowan, D. J.",247,237-240,,Medicine,"On the "" Mutton wine "" of the Mongols and analagous preparations of the Chinese",1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00123,1871-72,NS 7,Editorial Committee,241,241-250,,Contemporary History,"Retrospect of events in China, etc., 1871, 1872",1871,1872,n,,,,,,,,v.6-7 1869-72.pdf
MASTER_00124,1871-72,NS 7,Meteorological Committee,251,251-260,,Meteorology,"Meteorological observations, April - December 1872",1871,1872,,,,,,,,,v.6-7 1869-72.pdf
MASTER_00125,1873,NS 8,Shanghai Meteorological Committee,vii - viii,vii - viii,,Meteorology,Weather report for 1873,1873,1873,,,,,,,,,v.8-9 1873-1874.pdf
MASTER_00126,1873,NS 8,"Williams, S. W.",1,46044,,Contemporary History,Recollections of China prior to 1840,1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=23,_1874_01,source_b,,,v.8-9 1873-1874.pdf
MASTER_00127,1873,NS 8,"Kingsmill, T. W.",23,23-30,,Biography,"The legend of Wen Wang, founder of the dynasty of the Chows in China",1874,1874,,,,,,,,,v.8-9 1873-1874.pdf
MASTER_00128,1873,NS 8,"Schmidt, C.",31,31-44,,History,Extracts from the history of Shanghai,1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=53,_1874_03,source_b,,,v.8-9 1873-1874.pdf
MASTER_00129,1873,NS 8,"Watters, T.",45,45-66,,Mythology,Chinese fox - myths,1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=67,_1874_04,source_b,,,v.8-9 1873-1874.pdf
MASTER_00130,1873,NS 8,"Viguier, S. A.",67,67-78,,Contemporary History,Brief account of the French Expedition of 1866 into Indo - China,1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=89,_1874_05,source_b,,,v.8-9 1873-1874.pdf
MASTER_00131,1873,NS 8,"Edkins, J.",79,79-92,,Confucianism,"Visit to the city of Confucius, A",1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=101,_1874_06,source_b,,,v.8-9 1873-1874.pdf
MASTER_00132,1873,NS 8,"Dennys, N. B.",93,93-132,,Music,Short notes on Chinese instruments of music *,1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=115,_1874_07,source_b,,,v.8-9 1873-1874.pdf
MASTER_00133,1873,NS 8,"Bushell, S. W.",133,133-180,,Archaeology,"Stone drums of the Chou Dynasty, The *",1874,1874,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079446666&seq=155,_1874_08,source_b,,,v.8-9 1873-1874.pdf
MASTER_00134,1873,NS 8,Editorial Committee,181,181-187,,Contemporary History,"Retrospect of events in China, 1873",1874,1874,n,,,,,,,,v.8-9 1873-1874.pdf
MASTER_00135,1874,NS 9,"Moule, G. E.",47,47-70,,Literature,"Notes on Col. Yule's edition of Marco Polo's "" Quinsay "" *",1875,1875,,,,,IX_1875_01,source_a,,,v.8-9 1873-1874.pdf
MASTER_00136,1874,NS 9,"Camajee, D. N.",71,71-98,,Religion,"Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster",1875,1875,,,,,IX_1875_02,source_a,,,v.8-9 1873-1874.pdf
MASTER_00137,1874,NS 9,"Taintor, E. C.",2,99-134,,Ethnology,The Aborigines of Northern Formosa,1875,1875,,,"Formosa, the old name of Taiwan, 台湾",,IX_1875_03,source_a,,,v.8-9 1873-1874.pdf
MASTER_00138,1874,NS 9,"Watters, T.",7,135-160,,Buddhism,"Notes on the "" Miao - fa - lien - hua - ching "", a Buddhist sutra in Chinese",1875,1875,,,,,IX_1875_04,source_a,,,v.8-9 1873-1874.pdf
