time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Natural Sciences,Agriculture,agricole,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,generale,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,l'empire,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,texte,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,preface,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,legende,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,repertoire,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,pigeons,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,doves,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,bituminous,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,mines,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,bibliography,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Philosophy,character,1,1,0.1,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,species,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,found,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,small,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Mythology,sketch,1,1,0.125,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,"History, Modern (20th century)",narrative,1,1,0.05555555555555555,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,"History, Modern (20th century)",american,1,1,0.05555555555555555,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Ethnology,miau,1,1,0.16666666666666666,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Astronomy,past,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Astronomy,centuries,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Confucianism,sketch,1,1,0.3333333333333333,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Philosophy,sin,1,1,0.1,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Literature,criminal,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,mineral,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,resources,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,weather,1,1,0.024390243902439025,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,chefoo,1,1,0.024390243902439025,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,physical,1,1,0.024390243902439025,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,climate,1,1,0.024390243902439025,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,hunan,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,hankow,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
