master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00124,1871-72,NS 7,Meteorological Committee,Meteorological Committee,Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,"Meteorological observations, April - December 1872",1871,1872,,1868-1877,1,1,1.0,
MASTER_00125,1873,NS 8,Shanghai Meteorological Committee,Shanghai Meteorological Committee,Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,Weather report for 1873,1873,1873,,1868-1877,1,1,1.0,
MASTER_00126,1873,NS 8,"Williams, S. W.","Williams, S. W.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,Recollections of China prior to 1840,1874,1874,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00127,1873,NS 8,"Kingsmill, T. W.","Kingsmill, T. W.",Biography,History and Chronology,Biography,Biography,biography,biography,"The legend of Wen Wang, founder of the dynasty of the Chows in China",1874,1874,,1868-1877,1,1,1.0,
MASTER_00128,1873,NS 8,"Schmidt, C.","Schmidt, C.",History,History and Chronology,History,History,history,history,Extracts from the history of Shanghai,1874,1874,,1868-1877,1,1,1.0,
MASTER_00129,1873,NS 8,"Watters, T.","Watters, T.",Mythology,Anthropology and Social Customs,Mythology,Mythology,mythology,mythology,Chinese fox - myths,1874,1874,,1868-1877,1,1,1.0,
MASTER_00130,1873,NS 8,"Viguier, S. A.","Viguier, S. A.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,Brief account of the French Expedition of 1866 into Indo - China,1874,1874,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00131,1873,NS 8,"Edkins, J.","Edkins, J.",Confucianism,Religion and Philosophy,Confucianism,Confucianism,confucianism,confucianism,"Visit to the city of Confucius, A",1874,1874,,1868-1877,1,1,1.0,
MASTER_00132,1873,NS 8,"Dennys, N. B.","Dennys, N. B.",Music,Arts and Archaeology,Music,Music,music,music,Short notes on Chinese instruments of music *,1874,1874,,1868-1877,1,1,1.0,
MASTER_00133,1873,NS 8,"Bushell, S. W.","Bushell, S. W.",Archaeology,Arts and Archaeology,Archaeology,Archaeology,archaeology,archaeology,"Stone drums of the Chou Dynasty, The *",1874,1874,,1868-1877,1,1,1.0,
MASTER_00134,1873,NS 8,Editorial Committee,Editorial Committee,"History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,"Retrospect of events in China, 1873",1874,1874,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00135,1874,NS 9,"Moule, G. E.","Moule, G. E.",Literature,Literature and Language,Literature,Literature,literature,literature,"Notes on Col. Yule's edition of Marco Polo's "" Quinsay "" *",1875,1875,,1868-1877,1,1,1.0,
MASTER_00136,1874,NS 9,"Camajee, D. N.","Camajee, D. N.",Religion,Religion and Philosophy,Religion,Religion,religion,religion,"Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster",1875,1875,,1868-1877,1,1,1.0,
MASTER_00137,1874,NS 9,"Taintor, E. C.","Taintor, E. C.",Ethnology,Anthropology and Social Customs,Ethnology,Ethnology,ethnology,ethnology,The Aborigines of Northern Formosa,1875,1875,"Formosa, the old name of Taiwan, <U+53F0><U+6E7E>",1868-1877,1,1,1.0,
MASTER_00138,1874,NS 9,"Watters, T.","Watters, T.",Buddhism,Religion and Philosophy,Buddhism,Buddhism,buddhism,buddhism,"Notes on the "" Miao - fa - lien - hua - ching "", a Buddhist sutra in Chinese",1875,1875,,1868-1877,1,1,1.0,
MASTER_00139,1874,NS 9,"Cordier, H.","Cordier, H.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,Narrative of recent events in Tong - king,1875,1875,"TONG-KING, Tonkin <U+4E1C><U+4EAC>, northern part of Vietnam",1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00140,1874,NS 9,"Macgowan, D. J.","Macgowan, D. J.",Medicine,Natural Sciences,Medicine,Medicine,medicine,medicine,Notes on Chinese toxicology,1875,1875,,1868-1877,1,1,1.0,
MASTER_00141,1875,NS 10,"Palladius, A.","Palladius, A.",Geography,Geography and Travel,Geography,Geography,geography,geography,"Elucidations of Marco Polo's travels in North China, drawn from Chinese sources",1876,1876,,1868-1877,1,1,1.0,
MASTER_00142,1875,NS 10,"Holcombe, C.","Holcombe, C.",Travel,Geography and Travel,Travel,Travel,travel,travel,Notes made on a tour through Shan - hsi and Shen - hsi,1876,1876,"Shan-HSI, Shanxi Province, <U+5C71><U+897F><U+7701>; Shen-HSI, Shaanxi Province, <U+9655><U+897F><U+7701>",1868-1877,1,1,1.0,
MASTER_00143,1875,NS 10,"Kingsmill, T. W.","Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,Ethnology,Ethnology,ethnology,ethnology,Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history,1876,1876,"YUE-TI, Yuezhi, <U+6708><U+6C0F>; KIANG, Qiang, <U+7F8C><U+65CF>",1868-1877,1,1,1.0,
MASTER_00144,1875,NS 10,"Bretschneider, E.","Bretschneider, E.",Ethnology,Anthropology and Social Customs,Ethnology,Ethnology,ethnology,ethnology,Notices of the mediaeval geography and history of Central and Western Asia *,1876,1876,,1868-1877,1,1,1.0,
MASTER_00145,1875,NS 10,"Little, A. J.","Little, A. J.","History, Modern (20th century)",History and Chronology,"History, Modern (20th century)",Contemporary History,contemporary history,contemporary history,"Retrospect of events in China, 1875",1876,1876,,1868-1877,1,1,1.0,"Use 20th century, not docx 21st century"
MASTER_00146,1875,NS 10,,,Agriculture,Natural Sciences,Agriculture,Agriculture,agriculture,agriculture,List of the principal tea districts in China,1876,1876,,1868-1877,1,1,1.0,
MASTER_00147,1875,NS 10,,,Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,"Observatoire Meteorologique et Magnetique des Peres de la Compagnie de Jesus a Zi- ka - wei, Septembre 1874 - Septembre 1875",1876,1876,,1868-1877,1,1,1.0,
MASTER_00148,1877,NS 11,"Kingsmill, T. W.","Kingsmill, T. W.",Geology,Natural Sciences,Geology,Geology / History,geology / history,geology / history,The Borderlands of geology and history,1877,1877,,1868-1877,1,1,1.0,Corrected compound Geology / History
MASTER_00149,1877,NS 11,"Hobson, H. E.","Hobson, H. E.",History,History and Chronology,History,History,history,history,"Fort Zelandia, and the Dutch occupation of Formosa",1877,1877,,1868-1877,1,1,1.0,
MASTER_00150,1877,NS 11,"Mollendorf, 0. F. von","Mollendorf, 0. F. von",Zoology,Natural Sciences,Zoology,Zoology,zoology,zoology,"The Vertebrata of the Province of Chihli, with notes on Chinese zoological nomenclature",1877,1877,,1868-1877,1,1,1.0,
MASTER_00151,1877,NS 11,"Martin, W. A. P.","Martin, W. A. P.",Literature,Literature and Language,Literature,Literature,literature,literature,On the Styles of Chinese epistolary composition,1877,1877,,1868-1877,1,1,1.0,
MASTER_00152,1877,NS 11,"Edkins, J.","Edkins, J.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,On Chinese names for boats and boat gear with remarks on the Chinese use of the mariner's compass,1877,1877,,1868-1877,1,1,1.0,
