time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1898-1907,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1898-1907,Religion and Philosophy,Judaism,1.0,1,1,1,0.0
1898-1907,Religion and Philosophy,Philosophy,3.0,3,3,3,17.0
1898-1907,Religion and Philosophy,Religion,1.0,1,1,1,0.0
1908-1917,Anthropology and Social Customs,Ethnology,1.0,1,1,1,0.0
1908-1917,Anthropology and Social Customs,Mythology,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Antiquities,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Archaeology,6.0,6,6,6,388.0
1908-1917,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Decorative arts,3.0,3,1,1,0.0
1908-1917,Arts and Archaeology,Music,2.0,2,2,2,31.0
1908-1917,Arts and Archaeology,Numismatics,1.0,1,1,1,0.0
1908-1917,Arts and Archaeology,Painting,2.0,2,1,1,0.0
1908-1917,Arts and Archaeology,Sculpture,1.0,1,1,1,0.0
1908-1917,Geography and Travel,Travel,2.0,2,2,2,1.0
1908-1917,History and Chronology,"Chronology, Historical",1.0,1,1,1,0.0
1908-1917,History and Chronology,History,3.0,3,3,3,7.0
1908-1917,History and Chronology,"History, Modern (20th century)",1.0,1,1,1,0.0
1908-1917,Literature and Language,Language and languages,1.0,1,1,1,0.0
1908-1917,Literature and Language,Literature,7.0,7,5,5,92.0
1908-1917,Natural Sciences,Astronomy,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Botany,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Geology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Hydrology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Meteorology,1.0,1,1,1,0.0
1908-1917,Natural Sciences,Zoology,8.0,8,7,7,171.0
1908-1917,"Politics, Government, and Law",Law,2.0,2,2,2,4.0
1908-1917,Religion and Philosophy,Buddhism,3.0,3,1,1,0.0
1908-1917,Religion and Philosophy,Christianity,3.0,3,1,1,0.0
1908-1917,Religion and Philosophy,Confucianism,2.0,2,2,2,1.0
1908-1917,Religion and Philosophy,Philosophy,1.0,1,1,1,0.0
1908-1917,Religion and Philosophy,Religion,4.0,4,4,4,90.0
1908-1917,Religion and Philosophy,Taoism,1.0,1,1,1,0.0
1918-1927,Anthropology and Social Customs,Ethnology,10.0,10,9,9,994.2738095238096
1918-1927,Anthropology and Social Customs,Folklore,2.0,2,2,2,7.0
1918-1927,Arts and Archaeology,Antiquities,2.0,2,2,2,69.0
1918-1927,Arts and Archaeology,Archaeology,2.0,2,1,1,0.0
1918-1927,Arts and Archaeology,Painting,1.0,1,1,1,0.0
