from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_187,S_3,"Moninger, M. M.",Ethnology,Anthropology and Social Customs,MASTER_00425,"Hainanese Miao, The *",NS 52,1921,1921,1918-1927,1,Ethnology
A_165,S_5,"Ayscough, F. W.",Travel,Geography and Travel,MASTER_00426,Notes on the symbolism of the Purple Forbidden City *,NS 52,1921,1921,1918-1927,1,Travel
A_179,S_13,"Skvortzow, B. W.",Agriculture,Natural Sciences,MASTER_00427,"Notes on the agriculture, botany and the zoology of China, Sections xxxix - xlvi *",NS 52,1921,1921,1918-1927,1,Agriculture
A_188,S_3,"Wilkinson, H. P.",Ethnology,Anthropology and Social Customs,MASTER_00428,Exogamy in China,NS 52,1921,1921,1918-1927,1,Ethnology
A_106,S_31,"Morse, H. B.",Geography,Geography and Travel,MASTER_00429,"Lampacao, a mystery of the Far East",NS 52,1921,1921,1918-1927,1,Geography
A_176,S_6,"Kliene, C.",Literature,Literature and Language,MASTER_00430,"Marriage maker, The",NS 52,1921,1921,1918-1927,1,Literature
A_189,S_5,"Kemp, E. G.",Travel,Geography and Travel,MASTER_00431,"Highways and byways of Kweichow, The *",NS 52,1921,1921,1918-1927,1,Travel
A_190,S_21,"Werner, E. T. C.",Christianity,Religion and Philosophy,MASTER_00432,"Christ in the "" Li Tai Shen Hsien T'ung Chien """,NS 52,1921,1921,1918-1927,1,Christianity
A_191,S_6,"Fletcher, W. J. B.",Literature,Literature and Language,MASTER_00433,"Trip to Hua Kang, A",NS 52,1921,1921,1918-1927,1,Literature
A_191,S_6,"Fletcher, W. J. B.",Literature,Literature and Language,MASTER_00434,"Song of a skirt, The",NS 52,1921,1921,1918-1927,1,Literature
A_159,S_11,"Sowerby, A. de C.",Zoology,Natural Sciences,MASTER_00435,"Natural history of China, The",NS 53,1922,1922,1918-1927,1,Zoology
A_192,S_18,Heidenstem,Geology,Natural Sciences,MASTER_00436,"Growth of the Yangtze delta, The *",NS 53,1922,1922,1918-1927,1,Geology
A_173,S_23,Hutson J.,Archaeology,Arts and Archaeology,MASTER_00437,"Shuh country, The",NS 53,1922,1922,1918-1927,1,Archaeology
A_151,S_3,"Edgar, J. H.",Ethnology,Anthropology and Social Customs,MASTER_00438,Notes on names of non - Chinese tribes in Western Szechwan,NS 53,1922,1922,1918-1927,1,Ethnology
A_151,S_30,"Edgar, J. H.",Religion,Religion and Philosophy,MASTER_00439,Note on Chiang sacrifice and litholatry,NS 53,1922,1922,1918-1927,1,Religion
A_131,S_6,"Ferguson, J. C.",Literature,Literature and Language,MASTER_00440,""" Fir - flower Tablets """,NS 53,1922,1922,1918-1927,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00441,Lan - tsih *,NS 53,1922,1922,1918-1927,1,Literature
A_194,S_6,"Gaunt, T.",Literature,Literature and Language,MASTER_00442,Ling Yin monastery poem,NS 53,1922,1922,1918-1927,1,Literature
A_195,S_18,"Norin, E.",Geology,Natural Sciences,MASTER_00443,Notes on the coal and Iron Ore deposits of Central Shansi,NS 53,1922,1922,1918-1927,1,Geology
A_196,S_22,"Hers, J.",Botany,Natural Sciences,MASTER_00444,Chinese names of plants ; a preliminary list of the trees and shrubs of North Honan,NS 53,1922,1922,1918-1927,1,Botany
A_197,S_11,"Jacot, A. P.",Zoology,Natural Sciences,MASTER_00445,"Oribatoidae Sinensis, Part I",NS 53,1922,1922,1918-1927,1,Zoology
A_198,S_11,"Sjolander, D.",Zoology,Natural Sciences,MASTER_00446,"Distribution and habits of the Argali sheep of Central Asia, The *",NS 53,1922,1922,1918-1927,1,Zoology
A_199,S_22,"Cowdry, N. H.",Botany,Natural Sciences,MASTER_00447,Plants from Peitaiho,NS 53,1922,1922,1918-1927,1,Botany
A_179,S_13,"Skvortzow, B. W.",Agriculture,Natural Sciences,MASTER_00448,"Notes on the agriculture, botany and the zoology of China, Sections xlvii - xlix *",NS 53,1922,1922,1918-1927,1,Agriculture
A_200,S_11,"Riley, J. H. and Richmond, C. W.",Zoology,Natural Sciences,MASTER_00449,"Partial bibliography of Chinese birds, A",NS 53,1922,1922,1918-1927,1,Zoology
A_190,S_21,"Werner, E. T. C.",Christianity,Religion and Philosophy,MASTER_00450,"Christ in the "" Li Tai Shen Hsien Tung Chien "" *",NS 53,1922,1922,1918-1927,1,Christianity
A_201,S_6,"Budd, C.",Literature,Literature and Language,MASTER_00451,"Snowstorm, A",NS 54,1923,1923,1918-1927,1,Literature
A_202,S_6,"Jamieson, C. A.",Literature,Literature and Language,MASTER_00452,Chu - goh Leang and the arrows,NS 54,1923,1923,1918-1927,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00453,"Drought, The",NS 54,1923,1923,1918-1927,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00454,Then and now,NS 54,1923,1923,1918-1927,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00455,"Night in the mountains, A",NS 54,1923,1923,1918-1927,1,Literature
A_203,S_1,"Stael-Holstein, Baron A. von",Buddhism,Religion and Philosophy,MASTER_00456,Hsuan - tsang and modern research,NS 54,1923,1923,1918-1927,1,Buddhism
A_173,S_23,Hutson J.,Archaeology,Arts and Archaeology,MASTER_00457,The Shuh country,NS 54,1923,1923,1918-1927,1,Archaeology
A_204,S_5,"Fischer, E. S.",Travel,Geography and Travel,MASTER_00460,Modern travel from Tai Yuan Fu via Mount Wu Tai to the Mongolian frontier,NS 54,1923,1923,1918-1927,1,Travel
A_205,S_29,"Darroch, J.",Biography,History and Chronology,MASTER_00461,A page of ancient Chinese history,NS 54,1923,1923,1918-1927,1,Biography
A_165,S_5,"Ayscough, F. W.",Travel,Geography and Travel,MASTER_00462,"Preliminary notes on the literary background of the "" Great River """,NS 54,1923,1923,1918-1927,1,Travel
A_206,S_30,"Torrance, T.",Religion,Religion and Philosophy,MASTER_00463,"Religion of the Ch'iang, The *",NS 54,1923,1923,1918-1927,1,Religion
A_197,S_11,"Jacot, A. P.",Zoology,Natural Sciences,MASTER_00464,"Oribatoidae Sinensis, Part II",NS 54,1923,1923,1918-1927,1,Zoology
A_207,S_21,"Heeren, J. J.",Christianity,Religion and Philosophy,MASTER_00465,Bishop Della Chiesa and the story of his lost grave *,NS 54,1923,1923,1918-1927,1,Christianity
A_176,S_3,"Kliene, C.",Ethnology,Anthropology and Social Customs,MASTER_00466,Some similarities in Chinese and ancient Egyptian culture,NS 54,1923,1923,1918-1927,1,Ethnology
A_200,S_11,"Riley, J. H. and Richmond, C. W.",Zoology,Natural Sciences,MASTER_00467,"Partial bibliography of Chinese birds, A (complementary to the List given in Vol 53, pp. 196-237)",NS 54,1922,1922,1918-1927,1,Zoology
A_175,S_35,"Morgan, E.",Taoism,Religion and Philosophy,MASTER_00469,"Taoist superman, The",NS 54,1923,1923,1918-1927,1,Taoism
A_208,S_30,"Shirokogoroff, S. M.",Religion,Religion and Philosophy,MASTER_00470,General theory of shamanism among the Tungus,NS 54,1923,1923,1918-1927,1,Religion
A_190,S_30,"Werner, E. T. C.",Religion,Religion and Philosophy,MASTER_00471,Chinese composite deities,NS 54,1923,1923,1918-1927,1,Religion
A_208,S_3,"Shirokogoroff, S. M.",Ethnology,Anthropology and Social Customs,MASTER_00472,Who are the Northern Chinese ?,NS 55,1924,1924,1918-1927,1,Ethnology
A_131,S_3,"Ferguson, J. C.",Ethnology,Anthropology and Social Customs,MASTER_00473,Southern Migration of the Sung Dynasty,NS 55,1924,1924,1918-1927,1,Ethnology
A_143,S_8,"Warren, G. G.",Philosophy,Religion and Philosophy,MASTER_00474,Was Chu Hsi a materialist ?,NS 55,1924,1924,1918-1927,1,Philosophy
A_163,S_41,"Chatley, H.",Folklore,Anthropology and Social Customs,MASTER_00475,"Dead Hand in China, The",NS 55,1924,1924,1918-1927,1,Folklore
A_206,S_13,"Torrance, T.",Agriculture,Natural Sciences,MASTER_00476,Origin and history of the irrigation work of the Chengtu Plain,NS 55,1924,1924,1918-1927,1,Agriculture
A_206,S_31,"Torrance, T.",Geography,Geography and Travel,MASTER_00477,History of Shuh a free translation of the Shuh Chi,NS 55,1924,1924,1918-1927,1,Geography
A_197,S_11,"Jacot, A. P.",Zoology,Natural Sciences,MASTER_00478,"Oribatoidea Sinensis, Part III",NS 55,1924,1924,1918-1927,1,Zoology
A_209,S_41,"Mironov, N. D. and Shirokogoroff, S. M.",Folklore,Anthropology and Social Customs,MASTER_00480,Sramana - Shaman,NS 55,1924,1924,1918-1927,1,Folklore
A_210,S_11,"Wilder, G. D. and Hubbard, H. W.",Zoology,Natural Sciences,MASTER_00482,List of the birds of Chihli Province,NS 55,1924,1924,1918-1927,1,Zoology
A_211,S_42,"MacNair, H. F.",Asia,Geography and Travel,MASTER_00484,Some observation on China's international relations,NS 56,1925,1925,1918-1927,1,Asia
A_212,S_6,"Sheppard, G. W. (ed.)",Literature,Literature and Language,MASTER_00485,"Edict of Ch ' in Shih Huang, A",NS 56,1925,1925,1918-1927,1,Literature
A_213,S_8,"Pott, F. L. H.",Philosophy,Religion and Philosophy,MASTER_00486,"Teaching of Micius, The",NS 56,1925,1925,1918-1927,1,Philosophy
A_214,S_18,"Barbour, G. B.",Geology,Natural Sciences,MASTER_00488,"Springs of Tsinanfu, The",NS 56,1925,1925,1918-1927,1,Geology
A_197,S_11,"Jacot, A. P.",Zoology,Natural Sciences,MASTER_00489,Shantung foraminifera,NS 56,1925,1925,1918-1927,1,Zoology
A_190,S_31,"Werner, E. T. C.",Geography,Geography and Travel,MASTER_00490,"Burial place of Genghis Kwan, The",NS 56,1925,1925,1918-1927,1,Geography
A_207,S_30,"Heeren, J. J.",Religion,Religion and Philosophy,MASTER_00491,Some new light on the life and times of Bishop Della Chiesa,NS 56,1925,1925,1918-1927,1,Religion
A_131,S_6,"Ferguson, J. C.",Literature,Literature and Language,MASTER_00492,"Stories in Chinese paintings, I",NS 56,1925,1925,1918-1927,1,Literature
A_186,S_40,"Mason, I.",Islam,Religion and Philosophy,MASTER_00495,Notes on Chinese Mohammedan Literature,NS 56,1925,1925,1918-1927,1,Islam
A_215,S_18,"Turner, F. B.",Geology,Natural Sciences,MASTER_00496,Flood and famine in North China,NS 57,1926,1926,1918-1927,1,Geology
A_216,S_31,Hosie,Geography,Geography and Travel,MASTER_00497,"Map of China in the making, A",NS 57,1926,1926,1918-1927,1,Geography
A_151,S_31,"Edgar, J. H.",Geography,Geography and Travel,MASTER_00498,"Tibetan and his environment : an interpretation, The",NS 57,1926,1926,1918-1927,1,Geography
A_175,S_26,"Morgan, E.",History,History and Chronology,MASTER_00499,League of nations in ancient China,NS 57,1926,1926,1918-1927,1,"History, Ancient"
A_131,S_42,"Ferguson, J. C.",Asia,Geography and Travel,MASTER_00500,General survey of standard Chinese histories,NS 57,1926,1926,1918-1927,1,Asia
