master_id,time_window,author_raw,title,year_start,term
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,taken
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,september
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,view
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,determining
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,height
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,lew
MASTER_00043,1858-1867,Hollingworth and Piry,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,shan
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,specimen
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,font
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,movable
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,type
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,belonging
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,american
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,presbyterian
MASTER_00044,1858-1867,"Gamble, W.",Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,mission
MASTER_00045,1858-1867,Lamprey,Notes on the geology of the Great Plain *,1865,geology
MASTER_00045,1858-1867,Lamprey,Notes on the geology of the Great Plain *,1865,great
MASTER_00045,1858-1867,Lamprey,Notes on the geology of the Great Plain *,1865,plain
MASTER_00046,1858-1867,"Kingsmill, T. W.",A Sketch of the Geology of Quang -tung Province,1865,sketch
MASTER_00046,1858-1867,"Kingsmill, T. W.",A Sketch of the Geology of Quang -tung Province,1865,geology
MASTER_00046,1858-1867,"Kingsmill, T. W.",A Sketch of the Geology of Quang -tung Province,1865,quang
MASTER_00046,1858-1867,"Kingsmill, T. W.",A Sketch of the Geology of Quang -tung Province,1865,tung
MASTER_00046,1858-1867,"Kingsmill, T. W.",A Sketch of the Geology of Quang -tung Province,1865,province
MASTER_00047,1858-1867,"Swinhoe, R.",Birds and beasts of Formosa,1865,birds
MASTER_00047,1858-1867,"Swinhoe, R.",Birds and beasts of Formosa,1865,beasts
