time_window,subject_l1,subject_l2,strength,article_count,author_count,degree,betweenness
1918-1927,Religion and Philosophy,China--Religion,5.0,5,5,5,552.210714285714
1918-1927,Religion and Philosophy,Christianity,3.0,3,2,2,8.375
1918-1927,Religion and Philosophy,Islam,3.0,3,2,2,1.0
1918-1927,Religion and Philosophy,Philosophy,5.0,5,5,5,330.0
1918-1927,Religion and Philosophy,Religion,7.0,7,7,7,1635.4416666666668
1918-1927,Religion and Philosophy,Taoism,3.0,3,2,2,84.0
1928-1937,Anthropology and Social Customs,Anthropology,2.0,2,2,2,1.0
1928-1937,Anthropology and Social Customs,Ethnology,3.0,3,3,3,113.0
1928-1937,Anthropology and Social Customs,Folklore,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Antiquities,2.0,2,2,2,1.0
1928-1937,Arts and Archaeology,Archaeology,7.0,7,5,5,311.1666666666667
1928-1937,Arts and Archaeology,Architecture,1.0,1,1,1,0.0
1928-1937,Arts and Archaeology,Art,2.0,2,2,2,57.0
1928-1937,Arts and Archaeology,Painting,3.0,3,2,2,57.0
1928-1937,Arts and Archaeology,Porcelain,3.0,3,2,2,57.0
1928-1937,"Economy, Trade, and Technology",Economics,3.0,3,3,3,3.0
1928-1937,Education,Education,1.0,1,1,1,0.0
1928-1937,Geography and Travel,Asia,2.0,2,2,2,1.0
1928-1937,Geography and Travel,Geography,9.0,9,9,9,619.5
1928-1937,Geography and Travel,Travel,4.0,4,3,3,167.0
1928-1937,History and Chronology,Biography,1.0,1,1,1,0.0
1928-1937,History and Chronology,"Chronology, Historical",2.0,2,1,1,0.0
1928-1937,History and Chronology,History,7.0,9,9,9,904.3333333333333
1928-1937,History and Chronology,"History, Ancient",1.5,3,3,3,3.5
1928-1937,History and Chronology,"History, Modern (20th century)",0.5,1,1,1,0.0
1928-1937,Literature and Language,East Asian languages,4.0,4,4,4,264.66666666666674
1928-1937,Literature and Language,Language and languages,2.0,2,2,2,1.0
1928-1937,Literature and Language,Literature,8.0,8,8,8,538.8333333333335
1928-1937,Natural Sciences,Agriculture,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Astronomy,2.0,2,2,2,57.0
1928-1937,Natural Sciences,Botany,3.0,3,3,3,3.0
1928-1937,Natural Sciences,Geology,2.0,2,1,1,0.0
1928-1937,Natural Sciences,Medicine,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Science,1.0,1,1,1,0.0
1928-1937,Natural Sciences,Zoology,1.0,1,1,1,0.0
1928-1937,"Politics, Government, and Law","Associations, institutions, etc.",1.0,1,1,1,0.0
1928-1937,"Politics, Government, and Law",Political science,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Buddhism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,China--Religion,6.0,6,6,6,20.0
1928-1937,Religion and Philosophy,Christianity,4.0,4,1,1,0.0
1928-1937,Religion and Philosophy,Confucianism,1.0,1,1,1,0.0
1928-1937,Religion and Philosophy,Islam,2.0,2,1,1,0.0
1928-1937,Religion and Philosophy,Philosophy,4.0,4,4,4,221.0
1928-1937,Religion and Philosophy,Religion,5.0,5,4,4,6.0
1938-1948,Anthropology and Social Customs,Ethnology,3.0,3,3,3,23.0
1938-1948,Arts and Archaeology,Archaeology,5.0,5,5,5,42.0
1938-1948,"Economy, Trade, and Technology",Economics,1.0,1,1,1,0.0
1938-1948,Geography and Travel,Geography,1.0,1,1,1,0.0
1938-1948,History and Chronology,History,3.0,3,3,3,25.0
1938-1948,Literature and Language,Language and languages,4.0,4,4,4,36.0
1938-1948,Literature and Language,Literature,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Medicine,1.0,1,1,1,0.0
1938-1948,Natural Sciences,Science,2.0,2,2,2,22.0
1938-1948,Natural Sciences,Zoology,2.0,2,2,2,12.0
1938-1948,"Politics, Government, and Law",Law,1.0,1,1,1,0.0
