L1,rank,term,tfidf_score,raw_count,document_count,document_frequency
"Politics, Government, and Law",2,law,0.23796465596496405,743,19,0.7916666666666666
"Politics, Government, and Law",3,taels,0.22977035252342506,671,14,0.5833333333333334
"Politics, Government, and Law",4,family,0.15800613380090825,408,18,0.75
"Politics, Government, and Law",5,tls,0.1367812409164738,123,8,0.3333333333333333
"Politics, Government, and Law",6,magistrate,0.13061043437023595,262,13,0.5416666666666666
"Politics, Government, and Law",7,tax,0.1125317071531803,238,12,0.5
"Politics, Government, and Law",8,mencius,0.10562669882204558,155,8,0.3333333333333333
"Politics, Government, and Law",9,wife,0.10489506722818677,249,9,0.375
"Politics, Government, and Law",10,marriage,0.09913954619694362,265,13,0.5416666666666666
"Politics, Government, and Law",11,pao,0.09569407622888064,168,11,0.4583333333333333
"Politics, Government, and Law",12,father,0.09205983717914754,223,17,0.7083333333333334
"Politics, Government, and Law",13,emperor,0.08794918710786069,236,20,0.8333333333333334
"Politics, Government, and Law",14,kiang,0.08613249962446864,151,8,0.3333333333333333
"Politics, Government, and Law",15,code,0.08572537839519255,174,10,0.4166666666666667
"Politics, Government, and Law",16,nan,0.08229775264199499,173,11,0.4583333333333333
"Politics, Government, and Law",17,province,0.08205312566051443,204,16,0.6666666666666666
"Politics, Government, and Law",18,chou,0.08088758728604453,152,12,0.5
"Politics, Government, and Law",19,husband,0.08083274762768168,209,11,0.4583333333333333
"Politics, Government, and Law",20,esq,0.08076988982109426,78,3,0.125
"Politics, Government, and Law",21,government,0.07956180241683483,199,22,0.9166666666666666
"Politics, Government, and Law",22,land,0.0795432333456292,222,19,0.7916666666666666
"Politics, Government, and Law",23,son,0.07908449862635177,202,17,0.7083333333333334
"Politics, Government, and Law",24,property,0.07733973930867286,117,14,0.5833333333333334
"Politics, Government, and Law",25,hoppo,0.0765557269139203,48,3,0.125
"Economy, Trade, and Technology",1,salt,0.44739873244626793,617,20,0.6060606060606061
"Economy, Trade, and Technology",2,taels,0.29604956132080823,803,19,0.5757575757575758
"Economy, Trade, and Technology",3,river,0.2390399753853751,610,22,0.6666666666666666
"Economy, Trade, and Technology",4,cash,0.19739382393142044,308,18,0.5454545454545454
"Economy, Trade, and Technology",5,gold,0.18270327935685737,245,15,0.45454545454545453
"Economy, Trade, and Technology",6,soci,0.1735199456157135,66,1,0.030303030303030304
"Economy, Trade, and Technology",7,union,0.17117083845022013,123,5,0.15151515151515152
"Economy, Trade, and Technology",8,magistrate,0.1706734461170553,256,9,0.2727272727272727
"Economy, Trade, and Technology",9,une,0.1664008204334173,124,3,0.09090909090909091
"Economy, Trade, and Technology",10,rockhill,0.1584791046638229,16,1,0.030303030303030304
"Economy, Trade, and Technology",11,silver,0.15239321187481442,194,17,0.5151515151515151
