model,K,topic_id,top_words,cross_model_matches,human_readable_interpretation
corex_unanchored,10,7,yu; yen; chu; ai; wang; lu; wu; ti; yuan; ang; ien; ts; wei; jen; chin; chi; kao; ho; chih; feng,59,
corex_unanchored,10,8,office; pay; capital; twenty; government; paid; going; public; native; money; officials; authorities; last; carrying; civil; large; empire; ready; issued; send,70,
corex_unanchored,10,9,france; chine; paris; se; french; une; ports; voyage; commerce; treaty; aux; deux; canton; dans; des; de; august; published; st; hongkong,83,
corex_unanchored,15,0,death; return; went; took; gave; died; told; set; peace; court; son; emperor; asked; affairs; sent; brother; received; hands; young; soldiers,89,
corex_unanchored,15,1,red; thick; fine; sides; wood; white; low; yellow; green; flat; blue; foot; grass; covered; dry; heavy; top; dark; stones; smaller,58,
corex_unanchored,15,2,evil; away; men; women; wife; home; father; dead; husband; go; story; children; spirits; person; heart; keep; life; good; family; put,88,
corex_unanchored,15,3,consider; case; cannot; least; really; whether; even; always; less; say; special; certain; general; quite; perhaps; gives; reason; clearly; different; character,31,
corex_unanchored,15,4,trade; miles; coast; river; boats; port; sea; east; town; south; natives; island; bank; southern; thence; mile; cargo; northern; considerable; shore,79,
corex_unanchored,15,5,night; water; head; back; morning; left; cut; near; fall; making; evening; road; house; make; gate; spot; ten; rest; looking; passing,69,
corex_unanchored,15,6,book; words; means; state; language; real; shall; understand; ancient; know; word; authority; imperial; read; rule; subject; given; meaning; order; title,94,
corex_unanchored,15,7,passed; reached; pass; carried; going; since; course; towards; whole; taking; land; account; city; reach; along; soon; twenty; open; right; already,83,
corex_unanchored,15,8,yen; chu; yu; wang; wu; lu; chen; ts; chung; chi; ti; kung; shen; yuan; feng; ku; chin; chang; ai; tien,49,
corex_unanchored,15,9,government; public; office; money; circumstances; pay; paid; arrival; business; months; charge; condition; effect; local; duties; native; interests; trouble; late; establishment,42,
corex_unanchored,15,10,thought; things; without; come; everything; says; nothing; look; nature; let; saying; idea; day; behind; upon; find; forth; might; began; looked,70,
corex_unanchored,15,11,de; et; vol; origin; le; les; india; century; des; la; points; au; asiatic; viii; french; iv; asia; paris; edition; sur,79,
corex_unanchored,15,12,heaven; world; spirit; principles; human; desire; god; virtue; moral; self; law; mind; ideas; influence; earth; wisdom; religious; become; worship; wise,73,
corex_unanchored,15,13,feet; mountains; mountain; west; stone; walls; height; cross; rivers; noticed; deep; square; level; broken; beyond; seen; waters; occupied; across; eye,66,
corex_unanchored,15,14,dynasty; confucius; doctrine; literature; mencius; sages; confucian; scholar; conception; age; born; sage; piety; classics; disciples; filial; dragon; philosophy; music; writings,74,
corex_unanchored,20,0,night; told; away; go; set; heard; come; women; head; keep; home; behind; everything; look; story; young; food; poor; bring; tell,29,
corex_unanchored,20,1,death; father; person; evil; wife; son; life; friends; things; men; spirits; asked; husband; peace; brother; man; law; conduct; act; put,84,
corex_unanchored,20,2,idea; cannot; case; without; means; course; whole; full; even; never; become; less; whether; reason; right; either; nothing; fact; necessary; every,30,
corex_unanchored,20,3,return; went; took; hands; received; passed; gave; became; came; days; sent; returned; brought; left; army; city; entered; fire; troops; ill,74,
corex_unanchored,20,4,died; emperor; court; capital; imperial; appointed; military; official; held; throne; empire; family; chief; government; office; state; account; year; title; whose,133,
corex_unanchored,20,5,words; meaning; ancient; book; says; thought; dynasty; origin; king; lived; ideas; forth; wrote; translated; word; states; quoted; modern; term; authority,129,
corex_unanchored,20,6,heaven; world; spirit; affairs; self; heart; virtue; wisdom; moral; prince; born; lord; principles; doctrine; wise; ruler; influence; sacred; mind; religion,49,
corex_unanchored,20,7,trade; natives; england; port; per; customs; canton; foreign; treaty; merchants; ports; company; greater; goods; commercial; commerce; months; report; cargo; supply,62,
corex_unanchored,20,8,eastern; south; river; east; level; west; across; low; steep; sea; along; wide; bank; mile; end; walls; plain; north; rivers; built,81,
corex_unanchored,20,9,foot; stone; appearance; trees; high; side; wood; mountain; morning; looking; height; ground; eye; noticed; bright; stones; heavy; broken; beautiful; sight,42,
corex_unanchored,20,10,thick; fine; sides; white; flat; brown; top; green; tail; dark; blue; smaller; yellow; grass; size; species; black; surface; upper; soft,61,
corex_unanchored,20,11,sense; perhaps; complete; rather; forms; goes; sound; say; yet; simple; peculiar; true; elements; show; essential; differences; expression; play; seem; pure,20,
corex_unanchored,20,12,back; carried; going; open; reached; taking; best; instead; way; make; position; enough; old; next; soon; together; immediately; upon; call; leave,38,
corex_unanchored,20,13,des; chine; vol; les; paris; et; la; de; der; iv; une; le; sur; dans; qu; se; chinois; au; un; vi,52,
corex_unanchored,20,14,yuan; yu; shih; chu; yen; feng; ai; ch; ao; chih; wu; fu; ti; ien; tzu; chi; ang; eng; chien; ku,67,
corex_unanchored,20,15,always; subject; shall; understand; know; already; respect; consider; possess; power; language; force; established; circumstances; regard; works; us; take; important; age,67,
corex_unanchored,20,16,feet; water; boats; red; dry; near; mud; covered; cut; fields; salt; reach; rice; round; deep; iron; winter; season; inches; rises,105,
corex_unanchored,20,17,ho; su; lung; hu; tung; tien; lan; pi; mu; shan; chang; ma; tu; ting; ping; yao; san; lin; kan,30,
corex_unanchored,20,18,southern; coast; valley; miles; islands; island; plains; coal; town; extensive; rapid; westward; ranges; shore; route; valleys; lying; siberia; pacific; bay,39,
corex_unanchored,20,19,country; since; general; although; new; progress; difficulty; previously; serious; past; intercourse; cities; view; felt; introduced; proved; establishment; settled; entirely; views,42,
corex_unanchored,25,0,evil; heaven; world; spirit; things; law; heart; god; mind; life; earth; forth; human; saying; ideas; spirits; man; virtue; worship; soul,72,
corex_unanchored,25,1,come; without; carried; everything; day; make; days; back; every; since; never; still; arrived; whole; brought; times; road; soon; done; means,64,
corex_unanchored,25,2,death; died; emperor; court; return; went; took; son; capital; military; throne; prince; appointed; sent; army; became; peace; set; king; people,134,
corex_unanchored,25,3,idea; case; understand; know; cannot; subject; even; find; whether; term; origin; question; believe; say; general; reason; consider; think; perhaps; others,30,
corex_unanchored,25,4,thought; asked; home; wife; family; gave; nothing; heard; bring; lived; story; affairs; put; held; father; husband; says; friends; replied; let,55,
corex_unanchored,25,5,men; hands; women; told; away; go; passed; head; full; brother; saw; going; power; young; making; rule; purpose; said; entered; stood,52,
corex_unanchored,25,6,words; book; states; modern; history; meaning; translated; shall; ancient; author; scholars; terms; historical; wrote; works; based; translation; referring; sense; knowledge,73,
corex_unanchored,25,7,yen; chen; ho; chung; chin; lu; chang; lung; chih; eng; ts; fu; ching; ku; yuan; feng; hu; chi; ting; tien,48,
corex_unanchored,25,8,thick; flat; low; upper; sides; fine; covered; height; inches; smaller; brown; size; hills; steep; edge; rock; surface; wide; square; base,51,
corex_unanchored,25,9,person; received; keep; house; fire; act; money; month; receive; follow; duty; body; danger; conduct; practice; buried; ceremony; wine; deceased; lives,33,
corex_unanchored,25,10,coast; miles; sea; river; port; east; island; town; islands; eastern; thence; boats; south; southern; natives; direction; north; navigation; land; lying,77,
corex_unanchored,25,11,behind; open; feet; immediately; walls; distance; pass; near; along; left; side; reach; gate; spot; running; looking; cut; city; round; wall,72,
corex_unanchored,25,12,government; official; pay; private; public; charge; political; officials; provinces; native; local; relations; late; hung; future; post; issued; events; majesty; legal,34,
corex_unanchored,25,13,grass; red; wild; green; black; wood; blue; white; fish; tree; hair; tail; birds; grow; dried; bird; yellow; eggs; species; bamboo,78,
corex_unanchored,25,14,trade; foreign; canton; foreigners; treaty; shanghai; england; commerce; information; board; customs; merchants; exchange; per; provisions; august; goods; requested; 16th; taels,81,
corex_unanchored,25,15,des; de; century; languages; vol; asia; et; la; paris; french; edition; iv; india; viii; describes; persian; etc; par; le; en,71,
corex_unanchored,25,16,beautiful; door; woman; stone; eyes; child; beauty; animals; eye; happy; priests; dragon; streets; bridges; clothes; famous; bound; doors; wooden; neck,33,
corex_unanchored,25,17,greater; less; least; either; west; rather; alone; natural; passing; although; gradually; extraordinary; features; apparently; previously; connected; characteristic; formed; point; mass,19,
