model,K,topic_id,top_words,representative_documents,dominant_decades,dominant_L1,dominant_L2,suggested_label,researcher_label,interpretation_notes,keep_merge_drop
lda,30,2,old; man; little; fish; children; small; back; head; round; women; away; young; day; get; men; feet; water; sea; house; good,"The Fish - skin Tartars - Fraser, E. H. - 1891 - XXVI_1891_01.txt | The Fish - skin Tartars - Fraser, E. H. - 1891 - 1891_03.txt | SEALING AND WHALING IN THE NORTHERN PACIFIC. - E. BRASS - 1898 - _1898-1899_04.txt | SEALING AND WHALING IN THE NORTHERN PACIFIC. - E. BRASS - 1898 - XXXII_1897_04.txt | Chinese children's games - Headland, I. T. - 1906 - XXXVII_1906_05.txt",1890s | 1900s | 1920s,Literature and Language | Anthropology and Social Customs | Geography and Travel,Agriculture | Ethnology | Literature,,,,
lda,30,3,vol; de; orn; der; bull; soc; form; birds; wen; und; shuo; pl; la; notes; des; classifier; pp; zool; new; von,"Partial bibliography of Chinese birds, A - Riley, J. H. and Richmond, C. W. - 1922 - _1922_13.txt | Critical review of Chalfant's notes upon the "" Shuo Wen "" - Gillis, I. V. - 1925 - _1925_11.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - 1885_12_list_of_books.txt | List of plant names included in the Cowdry Chihli flora, not recorded in the Index Florae Sinensis and its two supplements, A - Liu, J. C. - 1929 - _1928-1929_24.txt | A German translation of the Hsi Hsiang Chi, A review - Meerkerk, M. E. R. F. - 1928 - _1928-1929_07.txt",1920s | 1880s | 1930s,Literature and Language | Natural Sciences | Anthropology and Social Customs,East Asian languages | Zoology | Porcelain,,,,
lda,30,4,manchu; shih; characters; ch; works; book; pp; chih; han; work; ching; wen; translation; ma; library; dynasty; emperor; ssu; written; text,"Essay on Manchu literature - Mollendorf, P. G. von - 1889 - XXIV_1890_01.txt | Siege of Saianfu and the murder of Achmach Bailo, The - Moule, A. C. - 1927 - _1926-1927_14.txt | 1887 - XXII_1887_14_literary_notes.txt | Notes on Chinese Mohammedan Literature - Mason, I. - 1925 - _1925_12.txt | Why the sinologue should study manchu ? - Hauer, Erich - 1930 - _1930-1931_13.txt",1930s | 1880s | 1910s,Military | Natural Sciences | Education | Literature and Language,"Asia | Chronology, Historical | Military art and science | Science",,,,
lda,30,5,shanghai; dr; mr; work; society; books; book; new; history; foreign; road; british; author; peking; recent; subject; given; esq; general; members,"Three score years and ten - Mason, I. - 1928 - _1928-1929_01.txt | On Cyclones , or the Law of Storms - Nicolson, F. W. - 1858 - _1930-1931_29.txt | Relation of Chinese and Siamese, The * - Dodd, W. C. - 1920 - LI_1920_reviews_of_recent_books.txt | Collection of Chinese reptiles in the Shanghai Museum, The - Stanley, A. - 1914 - XLV_1914_01.txt | Chinese bibliography - Macgowan, D. J. - 1859 - XVII_1882_misc.txt",1850s | 1880s | 1910s,Education | Literature and Language | History and Chronology,"Associations, institutions, etc. | Science | Medicine",,,,
lda,30,6,road; river; fu; city; journey; cheo; roads; route; large; trade; province; north; west; us; way; small; si; along; bridge; good,"Inland communications in China * - Kingsmill, T. W. - 1893 - _1893-1894_01.txt | Trade routes to Western China - Hosie, A. - 1884 - XIX_1884_05.txt | Journey in Chekiang, A - Parker, E. H. - 1884 - XIX_1884_02.txt | Journey in Fukien, A * - Parker, E. H. - 1884 - XIX_1884_04.txt | Journey to Sungp ' an * - Watson, W. C. H. - 1905 - XXXVI_1905_03.txt",1900s | 1860s | 1880s,"Economy, Trade, and Technology | Geography and Travel | Natural Sciences","Telecommunication | Travel | History | History, Modern (20th century)",,,,
lda,30,7,name; shi; city; yuan; see; country; khan; mongol; ch; history; western; ancient; polo; century; mongols; west; ta; called; river; asia,"Notices of the mediaeval geography and history of Central and Western Asia * - Bretschneider, E. - 1875 - X_1876_05.txt | What did the ancient Chinese know of the Greeks and Romans - Edkins, J. - 1883 - 1883_01.txt | What did the ancient Chinese know of the Greeks and Romans - Edkins, J. - 1883 - XVIII_1884_01.txt | Notices of Christianity in China. Extracted from Marco Polo * - Moule, A. C. - 1915 - XLVI_1915_02.txt | Elucidations of Marco Polo's travels in North China, drawn from Chinese sources - Palladius, A. - 1875 - X_1876_01.txt",1940s | 1870s | 1880s,Military | Natural Sciences | History and Chronology | Anthropology and Social Customs,Christianity | History | Ethnology,,,,
lda,30,8,lour; linn; sin; osb; cochin; canton; fl; hgk; et; tab; plant; fig; plants; folio; name; chinensis; foliis; cult; india; chin,"Early European researches into the flora of China - Bretschneider, E. - 1880 - 1880_04.txt | Early European researches into the flora of China - Bretschneider, E. - 1880 - _1880-1881_01.txt | Early European researches into the flora of China - Bretschneider, E. - 1880 - 1880_03.txt | List of plant names included in the Cowdry Chihli flora, not recorded in the Index Florae Sinensis and its two supplements, A - Liu, J. C. - 1929 - _1928-1929_24.txt | Contribution to the nomenclature of Chinese plants - Faber, E. - 1907 - XXXVIII_1907_03.txt",1880s | 1900s | 1940s,"Natural Sciences | Politics, Government, and Law | Geography and Travel",Botany | Language and languages | Law,,,,
lda,30,9,flowers; leaves; porcelain; white; colour; green; species; short; side; wares; mm; small; red; blue; base; slender; flower; specimens; yellow; black,"The Great wall - Edgar, J. H. - 1914 - _1930-1931_12.txt | Contributions from the Herbarium of the Shantung Christian University - Jacot, A. P. - 1928 - _1930-1931_20.txt | Genus gueldenstaedtia (leguminoseae), The - Jacot, A. P. - 1927 - _1926-1927_20.txt | The Family names - Giles, H. A. - 1886 - _1922_09.txt | Then and now - Hudson, E. - 1923 - _1923-1924_13.txt",1920s | 1910s | 1930s,Natural Sciences | Arts and Archaeology | Literature and Language,Decorative arts | Art | Botany,,,,
lda,30,10,emperor; wang; upon; dynasty; men; said; year; king; shall; death; people; son; father; sent; state; prince; chang; mr; became; order,"Kwo Tsi, an eminent military commander of the Tang Dynasty - Edkins, J. - 1903 - XXXV_1903_01.txt | Li Sin Cheng, the Chung Wang or "" Faithful Prince "" - Teesdale, J. H. - 1926 - _1926-1927_07.txt | Militant spirit of the Buddhist clergy in China - Groot, J. J. M. de - 1891 - 1891_06.txt | Chinese eunuchs - Stent, G. C. - 1877 - XI_1877_05.txt | Militant spirit of the Buddhist clergy in China - Groot, J. J. M. de - 1891 - XXVI_1891_04.txt",1900s | 1890s | 1870s,"Politics, Government, and Law | History and Chronology | Military | Natural Sciences",Biography | Political science | Law,,,,
lda,30,11,species; genus; birds; seen; common; family; bird; peking; winter; swinhoe; black; white; north; chinkiang; april; styan; specimens; summer; pall; chihli,"1913 - 1913_08.txt | Collection of birds in the Shanghai Museum, The - Touche, J. D. D. La - 1909 - XL_1909_04.txt | List of the birds in the Museum of the Anglo - Chinese College of Foochow, China - Kellogg, C. R. - 1919 - L_1919_08.txt | 1913 - 1913_03.txt | List of the birds of Chihli Province - Wilder, G. D. and Hubbard, H. W. - 1924 - _1923-1924_30.txt",1910s | 1850s | 1900s,Natural Sciences | Literature and Language | Anthropology and Social Customs,Zoology | Botany | Mythology,,,,
