"from","to","author","subject_l2","subject_l1","time_window","article_count","weight","first_year","last_year","titles"
"A_2","S_6","Wylie, A.","Travel","Geography and Travel","1868-1877",1,1,1868,1868,"Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se"
"A_29","S_35","Kingsmill, T. W.","Biography","History and Chronology","1868-1877",1,1,1874,1874,"The legend of Wen Wang, founder of the dynasty of the Chows in China"
"A_51","S_35","Preston, C. F.","Biography","History and Chronology","1868-1877",1,1,1868,1868,"Lok Ping Chiung, late Governor General of Sze - chuen, Notices of"
"A_72","S_30","Bretschneider, E.","History","History and Chronology","1868-1877",1,0.25,1876,1876,"Notices of the mediaeval geography and history of Central and Western Asia *"
"A_74","S_30","Hobson, H. E.","History","History and Chronology","1868-1877",1,1,1877,1877,"Fort Zelandia, and the Dutch occupation of Formosa"
"A_29","S_30","Kingsmill, T. W.","History","History and Chronology","1868-1877",1,1,1871,1872,"The Mythical origin of the Chow or Djow Dynasty, as set forth in the ""Shoo-king"""
"A_45","S_30","Mayers, W. F.","History","History and Chronology","1868-1877",1,1,1871,1872,"A Historical and statistical sketch of the island of Hainan"
"A_63","S_30","Schmidt, C.","History","History and Chronology","1868-1877",1,1,1874,1874,"Extracts from the history of Shanghai"
"A_11","S_30","Williams, S. W.","History","History and Chronology","1868-1877",1,0.5,1869,1870,"Journal of a mission to Lewchew in 1801"
"A_69","S_18","Cordier, H.","History, Modern (20th century)","History and Chronology","1868-1877",1,1,1875,1875,"Narrative of recent events in Tong - king"
"A_17","S_18","Editorial Committee","History, Modern (20th century)","History and Chronology","1868-1877",3,3,1868,1874,"Retrospect of events in China and Japan, 1868 | Retrospect of events in China, etc., 1871, 1872 | Retrospect of events in China, 1873"
"A_73","S_18","Little, A. J.","History, Modern (20th century)","History and Chronology","1868-1877",1,1,1876,1876,"Retrospect of events in China, 1875"
"A_64","S_18","Viguier, S. A.","History, Modern (20th century)","History and Chronology","1868-1877",1,1,1874,1874,"Brief account of the French Expedition of 1866 into Indo - China"
"A_11","S_18","Williams, S. W.","History, Modern (20th century)","History and Chronology","1868-1877",1,1,1874,1874,"Recollections of China prior to 1840"
"A_3","S_7","Macgowan, D. J.","Language and languages","Literature and Language","1868-1877",1,1,1871,1872,"Chinese use of shad in consumption and iodine Plants in scrofula"
"A_36","S_7","Martin, W. A. P.","Language and languages","Literature and Language","1868-1877",1,1,1877,1877,"On the Styles of Chinese epistolary composition"
"A_55","S_7","Moule, G. E.","Language and languages","Literature and Language","1868-1877",1,1,1875,1875,"Notes on Col. Yule's edition of Marco Polo's "" Quinsay "" *"
"A_58","S_7","Stent, G. C.","Language and languages","Literature and Language","1868-1877",2,1.33333333333333,1871,1872,"Chinese lyrics | Chinese legends"
"A_12","S_7","Swinhoe, R.","Language and languages","Literature and Language","1868-1877",1,0.25,1871,1872,"The Aborigines of Hainan"
"A_48","S_7","Watters, T.","Language and languages","Literature and Language","1868-1877",1,1,1871,1872,"The Life and works of Han Yu or Han Wen-Kung"
