master_id,author_id
MASTER_00481,AUTH_00136
MASTER_00482,AUTH_00112
MASTER_00483,AUTH_00186
MASTER_00484,AUTH_00011
MASTER_00485,AUTH_00290
MASTER_00486,AUTH_00243
MASTER_00487,AUTH_00172
MASTER_00488,AUTH_00241
MASTER_00489,AUTH_00217
MASTER_00490,AUTH_00059
MASTER_00491,AUTH_00014
MASTER_00492,AUTH_00136
MASTER_00493,AUTH_00288
MASTER_00494,AUTH_00114
MASTER_00495,AUTH_00075
MASTER_00496,AUTH_00288
MASTER_00497,AUTH_00100
MASTER_00498,AUTH_00178
MASTER_00499,AUTH_00273
MASTER_00500,AUTH_00127
MASTER_00501,AUTH_00064
MASTER_00502,AUTH_00191
MASTER_00503,AUTH_00075
MASTER_00504,AUTH_00084
MASTER_00505,AUTH_00263
MASTER_00506,AUTH_00096
MASTER_00507,AUTH_00270
MASTER_00508,AUTH_00243
MASTER_00509,AUTH_00290
MASTER_00510,AUTH_00288
MASTER_00511,AUTH_00087
MASTER_00512,AUTH_00194
MASTER_00513,AUTH_00075
MASTER_00514,AUTH_00161
MASTER_00515,AUTH_00001
MASTER_00516,AUTH_00131
MASTER_00517,AUTH_00136
MASTER_00518,AUTH_00191
MASTER_00519,AUTH_00152
MASTER_00520,AUTH_00049
MASTER_00521,AUTH_00178
MASTER_00522,AUTH_00171
MASTER_00523,AUTH_00075
MASTER_00524,AUTH_00112
MASTER_00525,AUTH_00084
MASTER_00526,AUTH_00280
MASTER_00527,AUTH_00183
MASTER_00528,AUTH_00210
MASTER_00529,AUTH_00071
MASTER_00530,AUTH_00289
MASTER_00531,AUTH_00288
MASTER_00532,AUTH_00136
MASTER_00533,AUTH_00130
MASTER_00534,AUTH_00019
MASTER_00535,AUTH_00131
MASTER_00536,AUTH_00194
MASTER_00537,AUTH_00041
MASTER_00538,AUTH_00130
MASTER_00539,AUTH_00178
MASTER_00540,AUTH_00043
MASTER_00541,AUTH_00144
MASTER_00542,AUTH_00071
MASTER_00543,AUTH_00064
MASTER_00544,AUTH_00167
MASTER_00545,AUTH_00261
MASTER_00546,AUTH_00191
MASTER_00547,AUTH_00034
MASTER_00548,AUTH_00275
MASTER_00549,AUTH_00076
MASTER_00550,AUTH_00075
MASTER_00551,AUTH_00191
MASTER_00552,AUTH_00043
MASTER_00553,AUTH_00286
MASTER_00554,AUTH_00250
MASTER_00555,AUTH_00030
MASTER_00556,AUTH_00079
MASTER_00557,AUTH_00011
MASTER_00558,AUTH_00136
MASTER_00559,AUTH_00110
MASTER_00560,AUTH_00031
MASTER_00561,AUTH_00300
MASTER_00562,AUTH_00046
MASTER_00563,AUTH_00215
