from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_29,S_4,"Kingsmill, T. W.",Anthropology,Anthropology and Social Customs,MASTER_00276,"Huns of Europe, The (Notes on E. H. Parker's paper "" Inscriptions de l'Orkhon "")",NS 31,1896,1897,1888-1897,0.5,ethnology and anthropology
A_120,S_9,"Forke, A.",Philosophy,Religion and Philosophy,MASTER_00277,Wang - chung and Plato on death and immortality,NS 31,1896,1897,1888-1897,1.0,philosophy
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,MASTER_00278,"Chinese system of family relationship and its Aryan affinities, The",NS 31,1896,1897,1888-1897,0.25,"ethnology, anthropology, literature and language"
A_29,S_4,"Kingsmill, T. W.",Anthropology,Anthropology and Social Customs,MASTER_00278,"Chinese system of family relationship and its Aryan affinities, The",NS 31,1896,1897,1888-1897,0.25,"ethnology, anthropology, literature and language"
A_29,S_34,"Kingsmill, T. W.",Literature,Literature and Language,MASTER_00278,"Chinese system of family relationship and its Aryan affinities, The",NS 31,1896,1897,1888-1897,0.25,"ethnology, anthropology, literature and language"
A_29,S_7,"Kingsmill, T. W.",Language and languages,Literature and Language,MASTER_00278,"Chinese system of family relationship and its Aryan affinities, The",NS 31,1896,1897,1888-1897,0.25,"ethnology, anthropology, literature and language"
A_121,S_2,"Taylor, F. E.",Numismatics,Arts and Archaeology,MASTER_00279,Scarcity of copper cash and the rise in prices,NS 31,1896,1897,1888-1897,0.5,coinage and economics
A_121,S_35,"Taylor, F. E.",Economics,"Economy, Trade, and Technology",MASTER_00279,Scarcity of copper cash and the rise in prices,NS 31,1896,1897,1888-1897,0.5,coinage and economics
A_76,S_7,"Mollendorf, P. G. von",Language and languages,Literature and Language,MASTER_00280,"Limitations of comparative philology, On the",NS 31,1896,1897,1888-1897,1.0,literature and language
A_104,S_32,"Carles, W. R.",Telecommunication,"Economy, Trade, and Technology",MASTER_00281,"Grand Canal of China, The",NS 31,1896,1897,1888-1897,0.5,communications and hydrology
A_104,S_10,"Carles, W. R.",Hydrology,Natural Sciences,MASTER_00281,"Grand Canal of China, The",NS 31,1896,1897,1888-1897,0.5,communications and hydrology
A_29,S_26,"Kingsmill, T. W.",Manners and customs,Anthropology and Social Customs,MASTER_00282,"THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.",NS 32,1898,1899,1898-1907,1.0,social customs
A_122,S_42,BYRON BRENAN,Government,"Politics, Government, and Law",MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,0.333333333333333,"government, political economy and political theory"
A_122,S_35,BYRON BRENAN,Economics,"Economy, Trade, and Technology",MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,0.333333333333333,"government, political economy and political theory"
A_122,S_43,BYRON BRENAN,Political science--Philosophy,"Politics, Government, and Law",MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,0.333333333333333,"government, political economy and political theory"
A_123,S_47,NATALIS RONDOT,Art,Arts and Archaeology,MASTER_00284,ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.,NS 32,1898,1899,1898-1907,0.5,arts and archaeology
A_123,S_25,NATALIS RONDOT,Archaeology,Arts and Archaeology,MASTER_00284,ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.,NS 32,1898,1899,1898-1907,0.5,arts and archaeology
A_124,S_14,E. BRASS,Agriculture,Natural Sciences,MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,0.333333333333333,"agriculture, industry, and trade"
A_124,S_15,E. BRASS,Industries,"Economy, Trade, and Technology",MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,0.333333333333333,"agriculture, industry, and trade"
A_124,S_16,E. BRASS,Commerce,"Economy, Trade, and Technology",MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,0.333333333333333,"agriculture, industry, and trade"
A_125,S_42,"Bourne, F. S. A.",Government,"Politics, Government, and Law",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,0.333333333333333,"government, political economy and political theory"
A_125,S_35,"Bourne, F. S. A.",Economics,"Economy, Trade, and Technology",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,0.333333333333333,"government, political economy and political theory"
A_125,S_43,"Bourne, F. S. A.",Political science--Philosophy,"Politics, Government, and Law",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,0.333333333333333,"government, political economy and political theory"
A_126,S_37,"Williams, E. T.",Religion,Religion and Philosophy,MASTER_00287,Some popular religious literature of the Chinese,NS 33,1900,1901,1898-1907,1.0,religion
A_67,S_2,"Bushell, S. W.",Numismatics,Arts and Archaeology,MASTER_00288,Additional coins of the present dynasty *,NS 33,1900,1901,1898-1907,1.0,coinage
A_1,S_9,"Edkins, J.",Philosophy,Religion and Philosophy,MASTER_00289,"Siun King, the philosopher, and his relations with contemporary schools of thought",NS 33,1900,1901,1898-1907,1.0,philosophy
A_127,S_3,"Betts, G. E.",Ethnology,Anthropology and Social Customs,MASTER_00290,Social life of the Miao Tsi,NS 33,1900,1901,1898-1907,0.5,ethnology and anthropology
A_127,S_4,"Betts, G. E.",Anthropology,Anthropology and Social Customs,MASTER_00290,Social life of the Miao Tsi,NS 33,1900,1901,1898-1907,0.5,ethnology and anthropology
