time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,"Economy, Trade, and Technology",Commerce,carte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,agricole,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,agricole,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,agricole,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,generale,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,generale,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,generale,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,l'empire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,l'empire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,l'empire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,texte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,texte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,texte,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,preface,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,preface,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,preface,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,legende,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,legende,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,legende,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,repertoire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Industries,repertoire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,"Economy, Trade, and Technology",Commerce,repertoire,1,1,0.0526315789473684,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,pigeons,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,pigeons,1,1,0.0588235294117647,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,doves,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,doves,1,1,0.0588235294117647,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,bituminous,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,mines,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,bibliography,1,1,0.0454545454545454,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Philosophy,character,1,1,0.1,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,species,1,1,0.0588235294117647,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,found,1,1,0.0588235294117647,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,small,1,1,0.0588235294117647,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Mythology,sketch,1,1,0.125,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,"History, Modern (20th century)",narrative,1,1,0.0555555555555555,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,"History, Modern (20th century)",american,1,1,0.0555555555555555,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Ethnology,miau,1,1,0.1666666666666666,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Anthropology,miau,1,1,0.1666666666666666,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Botany,past,1,1,0.0833333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,past,1,1,0.0238095238095238,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,past,1,1,0.0263157894736842,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,past,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Botany,centuries,1,1,0.0833333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,centuries,1,1,0.0238095238095238,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,centuries,1,1,0.0263157894736842,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,centuries,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Confucianism,sketch,1,1,0.3333333333333333,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Philosophy,sin,1,1,0.1,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Language and languages,criminal,1,1,0.0454545454545454,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,resources,1,1,0.0238095238095238,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,weather,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,chefoo,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,physical,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Meteorology,climate,1,1,0.0204081632653061,2.203972804325936,2.203972804325936
