author_name,master_id,title,volume,year_start,year_end,time_window,subject_l1,subject_l2
"Ellias, N.",MASTER_00076,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal,NS 4,1867,1867,1858-1867,Natural Sciences,Hydrology
"Ellias, N.",MASTER_00093,Report of an exploration of the new course of the Yellow River,NS 5,1868,1868,1868-1877,Natural Sciences,Hydrology
"Englaender, A. L.",MASTER_00529,"Origin and growth of deserts and the encroachment of the desert on North - China, The",NS 59,1928,1928,1928-1937,Natural Sciences,Geology
"Englaender, A. L.",MASTER_00542,Some notes on Aisa's Ice Age,NS 60,1929,1929,1928-1937,Natural Sciences,Geology
"Faber, E.",MASTER_00243,Prehistoric China,NS 24,1889,1890,1888-1897,Natural Sciences,Astronomy
"Faber, E.",MASTER_00243,Prehistoric China,NS 24,1889,1890,1888-1897,History and Chronology,History
"Faber, E.",MASTER_00243,Prehistoric China,NS 24,1889,1890,1888-1897,Literature and Language,Language and languages
"Faber, E.",MASTER_00243,Prehistoric China,NS 24,1889,1890,1888-1897,Literature and Language,Literature
"Faber, E.",MASTER_00243,Prehistoric China,NS 24,1889,1890,1888-1897,Religion and Philosophy,Religion
"Faber, E.",MASTER_00250,"General remarks on "" Botanicon Sinicum """,NS 25,1890,1891,1888-1897,Natural Sciences,Botany
"Faber, E.",MASTER_00317,Contribution to the nomenclature of Chinese plants,NS 38,1907,1907,1898-1907,Natural Sciences,Botany
"Fauvel, A. A.",MASTER_00157,Alligators in China *,NS 13,1879,1879,1878-1887,Natural Sciences,Zoology
"Fedorovitch, J.",MASTER_00012,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",OS 1 Part 2,1859,1859,1858-1867,Natural Sciences,Meteorology
"Ferguson, J. C.",MASTER_00302,Wang An - shih,NS 35,1903,1904,1898-1907,History and Chronology,Biography
"Ferguson, J. C.",MASTER_00312,Notes on Chinese banking system in Shanghai,NS 37,1906,1906,1898-1907,"Economy, Trade, and Technology",Economics
"Ferguson, J. C.",MASTER_00312,Notes on Chinese banking system in Shanghai,NS 37,1906,1906,1898-1907,Arts and Archaeology,Numismatics
"Ferguson, J. C.",MASTER_00349,""" Ink Remains "", by An I - chou",NS 45,1914,1914,1908-1917,Arts and Archaeology,Painting
"Ferguson, J. C.",MASTER_00368,Early Chinese bronzes *,NS 47,1916,1916,1908-1917,Arts and Archaeology,Bronzes
