time_window,author_name,article_count,subject_count,first_year,last_year
1918-1927,"Morse, H. B.",1,1,1921,1921
1918-1927,"Moule, A. C.",1,1,1927,1927
1918-1927,"Norin, E.",1,1,1922,1922
1918-1927,"Ottewill, H. A.",1,1,1918,1918
1918-1927,"Pott, F. L. H.",1,1,1925,1925
1918-1927,"Sheppard, G. W. (ed.)",1,1,1925,1925
1918-1927,"Sjolander, D.",1,1,1922,1922
1918-1927,"Sowerby, A. de C.",1,1,1922,1922
1918-1927,"Stael-Holstein, Baron A. von",1,1,1923,1923
1918-1927,"Stanley, A.",1,1,1920,1920
1918-1927,"Teesdale, J. H.",1,1,1926,1926
1918-1927,"Turner, F. B.",1,1,1926,1926
1918-1927,"Warren, G. G.",1,1,1924,1924
1918-1927,"Wilkinson, H. P.",1,1,1921,1921
1918-1927,"Williams, C. A. S.",1,1,1919,1919
1918-1927,Yan Taz Chiu,1,1,1919,1919
1918-1927,"Zwemer, S. M.",1,1,1918,1918
1928-1937,"Ferguson, J. C.",8,5,1928,1936
1928-1937,"Chatley, H.",6,5,1929,1936
1928-1937,"Morgan, E.",4,4,1929,1932
1928-1937,"Saeki, P. Y.",4,1,1932,1936
1928-1937,"Mason, I.",3,2,1928,1931
1928-1937,Cheng Te-k'un,2,1,1933,1934
1928-1937,"Drake, F. S.",2,2,1935,1936
1928-1937,"Dubs, H. H.",2,3,1935,1936
1928-1937,"Englaender, A. L.",2,1,1928,1929
1928-1937,"Fischer, E. S.",2,2,1930,1933
1928-1937,"Freeman, M.",2,2,1928,1933
1928-1937,"Gale, E. M.",2,2,1933,1937
1928-1937,"Gibson, H. E.",2,1,1936,1937
1928-1937,Hu Shih（胡适）,2,2,1928,1929
1928-1937,"Moyer, R. T.",2,2,1932,1937
1928-1937,"Williams, E. T.",2,1,1935,1936
1928-1937,Wu Lieh-teh（伍连德）,2,2,1931,1933
1928-1937,"Abraham, R. D.",1,1,1931,1931
1928-1937,"Andrew, G. F.",1,1,1935,1935
1928-1937,"Ayscough, F. W.",1,1,1930,1930
1928-1937,"Biallas, F. X.",1,1,1928,1928
1928-1937,"Bishop, C. W.",1,1,1933,1933
1928-1937,"Brown, M. H.",1,1,1936,1936
1928-1937,"Bruce, P.",1,1,1930,1930
1928-1937,"Budd, C.",1,1,1930,1930
1928-1937,"Buxton, D.",1,2,1930,1930
1928-1937,"Ch'en, S. C.",1,1,1936,1936
1928-1937,Chang Hsin-hai（张歆海）,1,1,1929,1929
1928-1937,Coching Chu（竺可桢）,1,1,1931,1931
1928-1937,"Edgar, J. H.",1,1,1929,1929
1928-1937,"Forke, A.",1,1,1930,1930
1928-1937,"Gale, E. M., Boodberg, P. A. and Lin, T. C.",1,1,1934,1934
1928-1937,"Gapanovich, J. J.",1,1,1931,1931
1928-1937,"Gardner, C. S.",1,1,1931,1931
1928-1937,"Goodrich, L. C.",1,1,1937,1937
1928-1937,"Grabau, A. W.",1,1,1934,1934
1928-1937,"Hauer, Erich",1,1,1930,1930
1928-1937,"Haward, E.",1,2,1931,1931
1928-1937,"Hayes, L. N.",1,1,1928,1928
1928-1937,"Hudson, E.",1,1,1928,1928
1928-1937,"Hughes, E. R.",1,1,1932,1932
1928-1937,"Jacot, A. P.",1,1,1928,1928
1928-1937,"Johnston, R. F.",1,1,1932,1932
1928-1937,"Kann, E.",1,1,1929,1929
1928-1937,"Kulp, D. H",1,1,1932,1932
1928-1937,Lee Shao-chang（李绍昌）,1,1,1934,1934
1928-1937,Lin Tung-chi（林同济）,1,1,1935,1935
1928-1937,Lin Yu-tang（林语堂）,1,1,1935,1935
1928-1937,"Liu, J. C.",1,1,1929,1929
1928-1937,Lu Yen-Ying,1,1,1931,1931
1928-1937,"Lyon, D. W.",1,1,1934,1934
1928-1937,"MacGillivray, D.",1,1,1928,1928
1928-1937,"Meerkerk, M. E. R. F.",1,1,1928,1928
1928-1937,"Moule, A. C.",1,1,1928,1928
1928-1937,"Murphy, D. C.",1,1,1932,1932
1928-1937,"Nystrom, E. T.",1,1,1936,1936
1928-1937,"Penniston, J. B.",1,1,1933,1933
1928-1937,"Phelps, D. L.",1,1,1928,1928
1928-1937,"Ping, C.",1,1,1931,1931
1928-1937,"Porterfield, W. M.",1,1,1931,1931
1928-1937,"Prip-Moller, J.",1,1,1936,1936
1928-1937,"Rispaud, P. J.",1,1,1933,1933
1928-1937,"Siren, O.",1,1,1935,1935
1928-1937,"Soothill, W. E.",1,2,1930,1930
